FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m18c0r209.htb	0.106	0.175	50	1.083	0.902	50	0.764	0.695	-0.289	0.12	0.23
m19c0r55.htb	0.512	0.798	16	2.426	2.916	16	2.43	2.187	0.819	0.94	0.656
m19c0r55.htb	0.011	0.585	50	0.359	2.442	50	2.35	2.304	1.355	0.765	0.404
m19c0r55.htb	0.512	0.798	16	2.426	2.916	16	2.43	2.187	0.819	0.94	0.656
m19c0r55.htb	0.011	0.585	50	0.359	2.442	50	2.35	2.304	1.355	0.765	0.404
m18c0r210.htb	0.38	0.716	11	1.599	3.326	11	2.887	2.668	-0.339	0.659	0.772
m18c0r210.htb	0.181	0.185	50	1.104	0.822	50	0.965	1.037	-0.361	0.238	0.132
m19c0r56.htb	0.285	0.707	14	2.499	4.772	14	3.61	3.029	0.037	0.732	0.682
m19c0r56.htb	0.078	0.662	35	1.31	2.675	35	2.677	2.678	0.568	0.754	0.569
m24c0r244.htb	0.619	1.286	14	1.725	1.641	14	1.558	1.516	-1.552	1.728	0.844
m24c0r244.htb	0.252	0.114	50	1.101	1.158	50	0.959	0.859	-0.45	0.184	0.043
m19c0r57.htb	0.907	0.969	12	1.822	4.141	12	3.574	3.291	0.511	0.866	1.073
m19c0r57.htb	0.238	0.576	45	0.934	1.759	45	1.982	2.093	0.882	0.581	0.572
m19c0r58.htb	0.595	0.831	12	3.033	4.48	12	3.111	2.426	-0.302	0.963	0.699
m19c0r58.htb	0.148	0.362	45	1.515	1.171	45	1.781	2.086	0.177	0.287	0.437
m24c0r242.htb	0.751	0.867	14	2.768	2.741	14	2.422	2.262	-0.941	0.708	1.026
m24c0r242.htb	0.218	-0.012	50	1.491	1.296	50	1.058	0.939	-0.102	-0.011	-0.013
m19c0r59.htb	0.734	0.856	12	2.685	3.616	12	3.046	2.76	-0.526	0.995	0.718
m19c0r59.htb	0.076	0.464	45	0.861	2.339	45	2.101	1.981	0.43	0.4	0.528
