FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m19c0r98.htb	0.145	0.671	24	2.104	2.329	24	1.683	1.359	0.096	0.709	0.632
m19c0r98.htb	0.026	0.32	96	0.887	1.25	96	1.388	1.456	0.114	0.349	0.29
m5c0r1039.htb	0.907	0.848	24	0.825	0.798	24	0.976	1.066	0.392	0.811	0.884
m5c0r1039.htb	0.643	0.573	48	0.695	1.113	48	1.135	1.146	0.134	0.485	0.66
m5c0r1039.htb	0.907	0.848	24	0.825	0.798	24	0.976	1.066	0.392	0.811	0.884
m5c0r1039.htb	0.643	0.573	48	0.695	1.113	48	1.135	1.146	0.134	0.485	0.66
m13c0r710.htb	0.13	0.514	60	0.848	1.608	60	1.577	1.562	-0.219	0.515	0.513
m13c0r710.htb	0.09	0.363	90	0.707	0.914	90	0.936	0.948	0.177	0.325	0.402
m13c0r711.htb	0.688	0.732	20	1.816	1.304	20	1.736	1.952	-0.863	0.646	0.818
m13c0r711.htb	0.072	0.466	70	0.59	0.544	70	1.057	1.313	0.062	0.536	0.396
m13c0r712.htb	0.716	0.813	20	1.746	2.34	20	2.269	2.234	-0.33	0.76	0.867
m13c0r712.htb	0.177	0.51	70	0.869	1.379	70	1.234	1.161	0.071	0.509	0.512
m13c0r713.htb	0.938	0.755	20	1.635	2.997	20	2.451	2.178	0.093	0.652	0.858
m13c0r713.htb	0.094	0.716	70	0.518	2.031	70	2.12	2.164	0.82	0.893	0.54
m19c0r99.htb	0.092	0.62	24	0.974	1.689	24	1.6	1.556	0.368	0.766	0.473
m19c0r99.htb	0.037	0.272	96	0.618	0.997	96	1.144	1.218	0.617	0.224	0.32
m13c0r714.htb	0.668	1.064	20	2.694	2.528	20	2.622	2.67	-0.016	0.819	1.309
m13c0r714.htb	0.184	0.748	70	1.414	2.045	70	1.877	1.793	0.525	0.629	0.868
m5c0r1041.htb	0.624	0.7	24	2.007	1.211	24	0.914	0.765	0.913	0.762	0.638
m5c0r1041.htb	0.147	0.332	96	0.974	0.638	96	0.86	0.972	0.839	0.423	0.241
m19c0r100.htb	0.121	0.652	24	1.022	1.179	24	1.561	1.752	-0.355	0.687	0.618
m19c0r100.htb	0.083	0.244	96	0.848	0.979	96	1.095	1.154	0.396	0.166	0.323
m5c0r1042.htb	0.929	0.928	12	1.059	1.669	12	1.618	1.593	0.125	0.867	0.989
m5c0r1042.htb	0.851	0.929	24	1.014	1.228	24	1.314	1.357	0.517	0.906	0.951
m13c0r715.htb	0.523	0.823	20	1.668	1.77	20	1.792	1.803	0.147	0.691	0.956
m13c0r715.htb	0.178	0.471	70	0.973	0.977	70	1.138	1.219	0.675	0.62	0.323
m5c0r1043.htb	0.602	0.53	48	1.409	0.727	48	0.844	0.903	0.787	0.553	0.508
m5c0r1043.htb	0.267	0.282	96	0.938	0.32	96	0.613	0.759	1.412	0.441	0.124
m5c0r1045.htb	0.549	0.715	48	1.169	1.13	48	0.781	0.606	0.862	0.796	0.634
m5c0r1045.htb	0.02	0.374	96	0.224	0.921	96	0.687	0.569	0.661	0.337	0.41
m5c0r1045.htb	0.549	0.715	48	1.169	1.13	48	0.781	0.606	0.862	0.796	0.634
m5c0r1045.htb	0.02	0.374	96	0.224	0.921	96	0.687	0.569	0.661	0.337	0.41
m19c0r101.htb	0.376	0.567	24	1.063	1.708	24	1.464	1.342	-0.189	0.638	0.497
m19c0r101.htb	0.295	0.231	96	0.94	1.175	96	1.111	1.08	0.606	0.319	0.144
m19c0r102.htb	0.045	0.339	24	1.089	1.965	24	2.193	2.306	-0.42	0.495	0.184
m19c0r102.htb	0.038	0.287	96	1.003	1.306	96	1.198	1.143	0.33	0.239	0.336
m5c0r1046.htb	0.934	0.959	12	1.459	1.451	12	1.358	1.312	0.821	1.047	0.871
m5c0r1046.htb	0.22	0.291	96	0.707	0.267	96	0.596	0.761	1.277	0.243	0.338
m19c0r103.htb	0.432	0.633	12	2.512	2.843	12	2.288	2.011	0.939	0.712	0.554
m19c0r103.htb	0.068	0.284	48	0.998	1.359	48	1.203	1.125	0.689	0.318	0.25
m24c38r2.htb	0.806	0.773	16	3.547	2.907	16	2.653	2.526	-1.865	0.763	0.784
m24c38r2.htb	0.205	0.016	60	1.787	1.082	60	1.197	1.254	0.676	0.1	-0.068
m24c21r2.htb	0.8	0.847	15	2.811	2.935	15	2.907	2.893	-0.246	0.984	0.711
m24c21r2.htb	0.058	0.032	60	0.756	1.097	60	0.975	0.914	0.287	-0.043	0.106
m24c21r2.htb	0.8	0.847	15	2.811	2.935	15	2.907	2.893	-0.246	0.984	0.711
m24c21r2.htb	0.058	0.032	60	0.756	1.097	60	0.975	0.914	0.287	-0.043	0.106
m5c0r1047.htb	0.884	0.972	12	1.108	1.004	12	1.328	1.49	0.787	1.151	0.793
m5c0r1047.htb	0.169	0.593	48	0.484	1.427	48	0.789	0.47	0.734	0.656	0.531
m24c21r2.htb	0.8	0.847	15	2.811	2.935	15	2.907	2.893	-0.246	0.984	0.711
m24c21r2.htb	0.058	0.032	60	0.756	1.097	60	0.975	0.914	0.287	-0.043	0.106
m19c0r104.htb	0.325	0.181	24	1.725	2.505	24	2.453	2.427	-2.648	0.252	0.109
m19c0r104.htb	0.116	0.173	96	1.029	0.613	96	0.576	0.557	0.01	0.178	0.168
m24c29r2.htb	0.782	0.856	15	2.075	2.327	15	2.638	2.793	-1.306	1.255	0.458
m24c29r2.htb	0.293	0.036	60	1.27	1.128	60	1.462	1.63	-0.265	-0.082	0.153
m5c0r1047.htb	0.884	0.972	12	1.108	1.004	12	1.328	1.49	0.787	1.151	0.793
m5c0r1047.htb	0.169	0.593	48	0.484	1.427	48	0.789	0.47	0.734	0.656	0.531
m24c29r2.htb	0.782	0.856	15	2.075	2.327	15	2.638	2.793	-1.306	1.255	0.458
m24c29r2.htb	0.293	0.036	60	1.27	1.128	60	1.462	1.63	-0.265	-0.082	0.153
m24c29r2.htb	0.782	0.856	15	2.075	2.327	15	2.638	2.793	-1.306	1.255	0.458
m24c29r2.htb	0.293	0.036	60	1.27	1.128	60	1.462	1.63	-0.265	-0.082	0.153
m24c21r2.htb	0.8	0.847	15	2.811	2.935	15	2.907	2.893	-0.246	0.984	0.711
m24c21r2.htb	0.058	0.032	60	0.756	1.097	60	0.975	0.914	0.287	-0.043	0.106
m24c36r2.htb	0.817	0.864	18	2.043	3.89	18	3.076	2.668	-2.8	0.597	1.132
m24c36r2.htb	0.235	0.078	60	1.096	0.993	60	1.19	1.289	-0.098	-0.129	0.284
m24c36r2.htb	0.781	0.925	18	2.286	4.287	18	3.415	2.979	-2.398	0.662	1.188
m24c36r2.htb	0.256	0.068	60	1.309	1.147	60	1.341	1.438	-0.141	-0.22	0.355
m19c0r105.htb	0.23	0.58	12	2.847	3.752	12	3.065	2.721	2.177	0.699	0.461
m19c0r105.htb	0.029	0.122	96	1.018	1.648	96	1.347	1.196	1.114	0.125	0.12
m5c0r1048.htb	0.958	0.9	12	1.097	0.715	12	0.876	0.956	0.484	0.869	0.931
m5c0r1048.htb	0.745	0.808	24	0.968	1.205	24	0.978	0.864	0.556	0.716	0.9
m13c0r716.htb	0.557	0.927	20	1.867	1.24	20	2.303	2.835	0.099	0.941	0.913
m13c0r716.htb	0.124	0.425	70	0.879	1.446	70	1.412	1.396	0.56	0.552	0.297
m13c0r718.htb	0.702	0.71	20	2.24	3.018	20	2.279	1.91	-0.17	0.913	0.508
m13c0r718.htb	0.061	0.52	70	0.66	1.315	70	1.116	1.017	0.11	0.712	0.328
m13c0r719.htb	0.965	0.796	20	1.975	2.447	20	2.339	2.284	0.832	0.865	0.727
m13c0r719.htb	0.481	0.675	70	1.394	2.583	70	2.318	2.185	0.661	0.751	0.598
m13c0r720.htb	0.972	0.908	20	1.513	1.49	20	1.736	1.859	1.885	0.889	0.927
m13c0r720.htb	0.536	0.855	70	1.124	1.668	70	1.9	2.017	1.17	0.718	0.992
m13c0r721.htb	0.756	0.834	20	1.715	2.038	20	2.119	2.159	0.253	0.908	0.761
m13c0r721.htb	0.074	0.495	70	0.537	0.893	70	1.187	1.334	0.544	0.639	0.351
m24c37r2.htb	0.626	0.718	18	2.533	2.847	18	2.482	2.299	-0.739	0.724	0.712
m24c37r2.htb	0.08	0.083	60	0.908	0.646	60	0.906	1.035	0.414	0.008	0.157
m24c37r2.htb	0.626	0.718	18	2.533	2.847	18	2.482	2.299	-0.739	0.724	0.712
m24c37r2.htb	0.08	0.083	60	0.908	0.646	60	0.906	1.035	0.414	0.008	0.157
m24c37r2.htb	0.626	0.718	18	2.533	2.847	18	2.482	2.299	-0.739	0.724	0.712
m24c37r2.htb	0.08	0.083	60	0.908	0.646	60	0.906	1.035	0.414	0.008	0.157
m24c38r2.htb	0.806	0.773	16	3.547	2.907	16	2.653	2.526	-1.865	0.763	0.784
m24c38r2.htb	0.205	0.016	60	1.787	1.082	60	1.197	1.254	0.676	0.1	-0.068
m24c41r2.htb	0.714	0.925	16	1.832	2.855	16	1.871	1.379	-1.739	0.903	0.948
m24c41r2.htb	0.398	-0.039	60	1.368	0.945	60	1.163	1.273	-0.132	-0.088	0.01
m24c41r2.htb	0.656	0.911	16	1.916	2.519	16	1.816	1.465	-2.034	0.823	0.999
m24c41r2.htb	0.325	-0.014	60	1.35	0.994	60	1.191	1.29	-0.276	-0.068	0.041
m24c43r3.htb	0.584	0.922	18	2.146	1.916	18	2.148	2.263	-0.836	0.936	0.907
m24c43r3.htb	0.322	0.143	60	1.594	0.786	60	1.04	1.167	0.033	0.068	0.218
m24c49r2.htb	0.753	0.713	18	2.107	2.472	18	1.954	1.695	-2.299	0.656	0.771
m24c49r2.htb	0.488	0.043	60	1.695	0.715	60	0.816	0.867	0.084	0.071	0.015
m24c52r2.htb	0.318	1.028	18	2.109	3.266	18	2.291	1.804	-0.926	1.02	1.035
m24c52r2.htb	0.093	0.077	60	1.14	1.916	60	1.302	0.996	0.617	0.031	0.123
m24c56r2.htb	0.776	0.853	18	2.433	1.714	18	1.745	1.76	-2.366	0.868	0.839
m24c56r2.htb	0.276	0.077	60	1.451	1.233	60	1.021	0.915	-0.478	0.016	0.138
m24c38r2.htb	0.806	0.773	16	3.547	2.907	16	2.653	2.526	-1.865	0.763	0.784
m24c38r2.htb	0.205	0.016	60	1.787	1.082	60	1.197	1.254	0.676	0.1	-0.068
m19c0r106.htb	0.339	0.534	12	2.121	3.293	12	3.245	3.222	2.317	0.637	0.431
m19c0r106.htb	0.07	-0.189	48	0.965	0.916	48	1.406	1.65	1.298	-0.508	0.129
m19c0r106.htb	0.339	0.534	12	2.121	3.293	12	3.245	3.222	2.317	0.637	0.431
m19c0r106.htb	0.07	-0.189	48	0.965	0.916	48	1.406	1.65	1.298	-0.508	0.129
m5c0r1049.htb	0.848	0.932	24	1.162	1.112	24	0.862	0.738	0.772	0.78	1.085
m5c0r1049.htb	0.434	0.386	96	0.831	0.315	96	0.502	0.596	1.205	0.452	0.32
m19c0r107.htb	0.151	0.291	24	1.605	1.945	24	2.122	2.21	1.907	0.385	0.198
m19c0r107.htb	0.05	-0.211	48	0.927	1.494	48	1.685	1.781	0.835	-0.583	0.161
m5c0r1050.htb	0.922	0.973	12	1.393	1.178	12	1.113	1.081	0.821	0.934	1.012
m5c0r1050.htb	0.698	0.831	24	1.212	2.008	24	1.31	0.961	1.953	0.854	0.807
m7c0r229.htb	 NaN	 NaN	80	 NaN	2.639	80	 NaN	 NaN	0.38	 NaN	 NaN
m5c0r1051.htb	0.17	0.726	48	0.744	1.516	48	1.349	1.266	0.14	0.619	0.834
m5c0r1051.htb	0.233	0.378	96	0.87	1.02	96	1.004	0.995	0.751	0.476	0.28
m13c0r722b.htb	0.404	1.003	20	1.59	2.293	20	2.284	2.279	0.951	0.922	1.084
m13c0r722b.htb	0.172	0.488	70	1.037	1.317	70	1.187	1.122	0.775	0.569	0.407
m13c0r723.htb	0.643	0.887	20	1.473	1.897	20	2.207	2.362	0.512	1.007	0.768
m13c0r723.htb	0.253	0.414	70	0.924	1.149	70	1.116	1.099	0.786	0.526	0.302
m13c0r724.htb	0.723	0.884	20	2.546	2.5	20	2.6	2.649	0.489	0.863	0.904
m13c0r724.htb	0.158	0.6	70	1.188	1.604	70	1.659	1.686	0.874	0.774	0.426
m13c0r725.htb	0.94	0.923	20	1.973	1.602	20	1.871	2.005	-0.022	0.881	0.966
m13c0r725.htb	0.362	0.683	70	1.224	1.303	70	1.247	1.218	0.339	0.723	0.643
m5c0r1052.htb	0.977	0.958	12	1.138	1.174	12	1.046	0.982	0.457	1.032	0.884
m5c0r1052.htb	0.466	0.436	96	0.786	0.261	96	0.792	1.057	0.162	0.414	0.458
m5c0r1053.htb	0.869	0.877	24	1.237	0.267	24	1.031	1.414	1.264	0.999	0.756
m5c0r1053.htb	0.337	0.683	48	0.77	0.774	48	0.624	0.549	1.262	0.79	0.575
m5c0r1054.htb	0.519	0.727	48	0.963	0.261	48	0.868	1.172	1.171	0.827	0.626
m5c0r1054.htb	0.246	0.393	96	0.663	1.201	96	0.964	0.845	0.591	0.366	0.419
m5c0r1055.htb	0.911	0.808	24	0.933	1.296	24	1.164	1.098	0.362	0.756	0.86
m5c0r1055.htb	0.686	0.435	96	0.81	0.905	96	0.649	0.521	0.293	0.539	0.33
m5c0r1056.htb	0.912	1.093	12	1.494	1.497	12	1.263	1.146	0.19	0.929	1.256
m5c0r1056.htb	0.354	0.621	48	0.931	0.81	48	0.784	0.771	0.169	0.547	0.696
m5c0r1057.htb	0.945	1.064	12	1.124	0.897	12	1.133	1.252	0.321	0.967	1.162
m5c0r1057.htb	0.469	0.309	96	0.792	0.837	96	0.857	0.867	0.063	0.335	0.284
m5c0r1058.htb	0.605	0.861	24	1.157	1.128	24	1.397	1.531	0.884	0.911	0.811
m5c0r1058.htb	0.351	0.758	48	0.881	0.673	48	0.98	1.134	0.539	0.633	0.883
m5c0r1059.htb	0.906	0.881	12	1.16	0.869	12	1.125	1.253	0.021	0.687	1.076
m5c0r1059.htb	0.505	0.867	24	0.866	1.236	24	0.925	0.77	0.126	0.679	1.054
m5c0r1060.htb	0.842	0.749	48	0.873	1.499	48	1.108	0.912	0.462	0.794	0.703
m5c0r1060.htb	0.067	0.409	96	0.246	0.883	96	0.759	0.697	0.079	0.441	0.376
m5c0r1061.htb	0.88	0.99	24	1.096	1.042	24	1.117	1.155	0.947	0.898	1.082
m5c0r1061.htb	0.393	0.473	96	0.732	0.989	96	0.879	0.825	0.698	0.58	0.366
m5c0r1062.htb	0.935	1.059	12	1.258	1.246	12	1.38	1.447	0.457	1.218	0.901
m5c0r1062.htb	0.318	0.8	48	0.733	0.79	48	0.85	0.879	0.345	0.652	0.948
m5c0r1063.htb	0.976	0.863	12	0.759	1.372	12	1.185	1.092	0.797	0.929	0.798
m5c0r1063.htb	0.812	0.506	96	0.692	0.776	96	0.939	1.021	0.84	0.702	0.309
m5c0r1064.htb	0.756	0.846	24	1.322	1.122	24	1.243	1.303	0.659	0.727	0.965
m5c0r1064.htb	0.538	0.836	48	1.115	0.906	48	1.032	1.094	1.079	0.935	0.738
m24c0r256.htb	0.292	0.594	24	1.94	1.105	24	1.485	1.675	-0.258	0.731	0.457
m24c0r256.htb	0.146	0.211	48	1.374	1.164	48	0.99	0.903	-0.036	0.186	0.236
m5c0r1065.htb	0.924	0.966	12	1.159	1.222	12	1.246	1.258	1.286	1.153	0.779
m5c0r1065.htb	0.79	0.901	24	1.071	1.065	24	1.176	1.232	0.52	0.737	1.065
m24c0r257.htb	0.957	0.956	12	2.678	4.034	12	3.224	2.82	-0.215	0.83	1.083
m24c0r257.htb	0.06	-0.071	96	0.672	0.578	96	0.702	0.763	0.324	-0.014	-0.129
m5c0r1069.htb	0.349	0.722	48	0.906	1.188	48	1.179	1.174	0.028	0.786	0.657
m5c0r1069.htb	0.38	0.325	96	0.944	0.783	96	0.681	0.63	-0.183	0.407	0.243
m5c0r1070.htb	0.668	0.859	24	0.869	1.529	24	0.861	0.526	0.705	0.777	0.94
m5c0r1070.htb	0.583	0.414	96	0.813	0.99	96	1.043	1.069	0.273	0.418	0.41
m24c0r258.htb	0.253	0.579	48	1.241	1.945	48	1.626	1.466	-1.177	0.45	0.708
m24c0r258.htb	0.146	0.044	96	0.942	1.08	96	0.903	0.815	-0.872	-0.004	0.093
m24c0r259.htb	0.806	0.758	12	2.06	3.287	12	2.385	1.935	-0.354	0.651	0.864
m24c0r259.htb	0.678	0.568	24	1.889	1.523	24	2.12	2.418	0.089	0.702	0.434
m24c64r2.htb	0.898	0.544	16	1.961	4.103	16	2.027	0.989	-6.059	-0.044	1.133
m24c64r2.htb	0.224	0.086	60	0.979	1.69	60	1.856	1.939	-1.942	-0.014	0.185
m24c68r2.htb	0.893	0.793	16	2.547	2.74	16	2.716	2.705	-1.104	0.899	0.688
m24c68r2.htb	0.156	0.131	60	1.064	0.952	60	0.821	0.755	0.252	0.172	0.089
m24c72r2.htb	0.739	0.759	16	3.056	3.481	16	3.256	3.144	-4.135	0.649	0.869
m24c72r2.htb	0.102	0.186	60	1.136	1.299	60	1.328	1.342	-0.59	0.41	-0.038
m24c0r255.htb	0.911	0.787	12	2.079	3.963	12	3.182	2.791	-3.676	0.576	0.999
m24c0r255.htb	0.187	0.287	48	0.942	0.946	48	0.951	0.954	-1.261	0.338	0.235
m24c0r254.htb	0.822	0.785	24	1.861	1.726	24	2.008	2.148	-2.502	0.698	0.871
m24c0r254.htb	0.12	-0.084	96	0.712	0.56	96	0.592	0.608	-1.022	-0.103	-0.065
m5c0r1071.htb	0.956	0.937	12	1.371	1.43	12	0.921	0.666	0.475	0.919	0.954
m5c0r1071.htb	0.541	0.651	48	1.032	0.845	48	1.127	1.268	0.336	0.645	0.657
m5c0r1073.htb	0.969	0.924	12	1.257	1.221	12	1.116	1.064	0.52	0.88	0.969
m5c0r1073.htb	0.397	0.35	96	0.805	0.974	96	0.852	0.792	0.561	0.411	0.289
m5c0r1074.htb	0.848	0.849	24	1.285	1.468	24	1.254	1.148	0.637	0.877	0.82
m5c0r1074.htb	0.328	0.621	48	0.8	1.001	48	1.095	1.142	0.499	0.675	0.567
m5c0r1074.htb	0.848	0.849	24	1.285	1.468	24	1.254	1.148	0.637	0.877	0.82
m5c0r1074.htb	0.328	0.621	48	0.8	1.001	48	1.095	1.142	0.499	0.675	0.567
m5c0r1075.htb	 NaN	 NaN	12	 NaN	3.871	12	 NaN	 NaN	0.622	 NaN	 NaN
m5c0r1076.htb	0.906	0.925	12	1.261	1.107	12	1.277	1.362	-0.076	0.877	0.974
m5c0r1076.htb	0.859	0.87	24	1.228	1.358	24	1.125	1.008	0.111	0.927	0.813
m18c101r2.htb	0.714	0.88	16	2.719	3.094	16	2.913	2.823	1.232	0.714	1.047
m18c101r2.htb	0.142	0.212	90	1.213	0.69	90	1.017	1.18	0.672	0.123	0.3
m18c127r2.htb	0.569	0.935	16	1.779	1.945	16	2.834	3.278	-1.804	0.822	1.049
m18c127r2.htb	0.106	0.214	90	0.767	1.277	90	0.944	0.777	-0.96	0.041	0.387
m18c127r2.htb	0.569	0.935	16	1.779	1.945	16	2.834	3.278	-1.804	0.822	1.049
m18c127r2.htb	0.106	0.214	90	0.767	1.277	90	0.944	0.777	-0.96	0.041	0.387
m5c0r1077.htb	0.428	0.611	48	1.03	1.203	48	1.041	0.96	0.476	0.609	0.613
m5c0r1077.htb	0.126	0.411	96	0.559	0.752	96	0.868	0.926	0.422	0.472	0.351
m5c0r1078.htb	0.753	0.903	24	1.289	0.889	24	1.057	1.14	1.193	0.928	0.877
m5c0r1078.htb	0.341	0.392	96	0.867	0.916	96	0.874	0.853	1.298	0.484	0.301
m24c0r260.htb	0.712	2.487	16	1.644	1.593	16	1.821	1.935	-0.55	1.061	3.913
m24c0r260.htb	0.07	-0.838	60	0.517	0.85	60	1.064	1.171	-0.684	-3.249	1.572
m24c0r261.htb	0.722	0.797	24	1.695	1.644	24	1.976	2.142	-2.227	0.782	0.813
m24c0r261.htb	0.458	0.277	48	1.349	0.553	48	0.911	1.09	-0.722	0.274	0.28
m24c0r262.htb	0.206	0.448	48	1.353	2.166	48	1.306	0.876	-1.328	0.391	0.505
m24c0r262.htb	0.195	0.02	96	1.317	0.951	96	0.851	0.8	-2.216	-0.086	0.125
m24c0r263.htb	0.843	0.884	12	2.928	2.717	12	2.479	2.36	-1.177	0.91	0.857
m24c0r263.htb	0.264	0.237	48	1.638	0.961	48	0.787	0.701	-0.394	0.193	0.28
m24c0r264.htb	0.405	0.773	24	1.86	3.82	24	2.704	2.147	-2.499	0.659	0.888
m24c0r264.htb	0.084	0.029	96	0.847	0.232	96	0.77	1.039	-1.229	0.027	0.032
m24c0r265.htb	0.793	0.898	12	2.282	2.707	12	2.133	1.846	-0.67	0.863	0.932
m24c0r265.htb	0.464	0.744	24	1.746	2.431	24	2.082	1.908	-0.567	0.719	0.77
m24c0r266.htb	0.787	0.908	12	2.517	2.691	12	2.11	1.82	-0.372	0.863	0.953
m24c0r266.htb	0.101	0.011	96	0.901	0.866	96	0.646	0.535	-1.123	0.059	-0.037
m5c0r1080.htb	0.933	0.93	12	1.369	1.435	12	1.015	0.806	0.847	0.921	0.939
m5c0r1080.htb	0.455	0.422	96	0.956	0.74	96	0.874	0.941	1.164	0.472	0.372
m24c0r267.htb	0.865	0.902	12	2.471	1.669	12	2.185	2.443	-1.056	0.908	0.897
m24c0r267.htb	0.268	0.579	24	1.375	1.262	24	1.862	2.162	-0.144	0.642	0.516
m5c0r1082.htb	0.949	0.963	12	1.078	1.269	12	1.198	1.163	0.54	0.915	1.01
m5c0r1082.htb	0.543	0.653	48	0.815	1.167	48	1.278	1.333	0.894	0.751	0.555
m5c0r1066.htb	0.833	0.857	48	0.816	0.66	48	0.567	0.521	0.583	0.917	0.797
m5c0r1066.htb	0.069	0.397	96	0.235	1.256	96	0.948	0.795	0.42	0.576	0.217
m5c0r1083.htb	0.708	0.892	24	0.957	1.119	24	0.941	0.853	0.332	0.794	0.99
m5c0r1083.htb	0.582	0.65	48	0.868	1.128	48	1.078	1.053	0.884	0.674	0.627
m5c0r1067.htb	0.833	0.857	48	0.816	0.66	48	0.567	0.521	0.583	0.917	0.797
m5c0r1067.htb	0.069	0.397	96	0.235	1.256	96	0.948	0.795	0.42	0.576	0.217
m5c0r1069.htb	0.349	0.722	48	0.906	1.188	48	1.179	1.174	0.028	0.786	0.657
m5c0r1069.htb	0.38	0.325	96	0.944	0.783	96	0.681	0.63	-0.183	0.407	0.243
m5c0r1070.htb	0.668	0.859	24	0.869	1.529	24	0.861	0.526	0.705	0.777	0.94
m5c0r1070.htb	0.583	0.414	96	0.813	0.99	96	1.043	1.069	0.273	0.418	0.41
m5c0r1071.htb	0.956	0.937	12	1.371	1.43	12	0.921	0.666	0.475	0.919	0.954
m5c0r1071.htb	0.541	0.651	48	1.032	0.845	48	1.127	1.268	0.336	0.645	0.657
m5c0r1073.htb	0.969	0.924	12	1.257	1.221	12	1.116	1.064	0.52	0.88	0.969
m5c0r1073.htb	0.397	0.35	96	0.805	0.974	96	0.852	0.792	0.561	0.411	0.289
m5c0r1074.htb	0.848	0.849	24	1.285	1.468	24	1.254	1.148	0.637	0.877	0.82
m5c0r1074.htb	0.328	0.621	48	0.8	1.001	48	1.095	1.142	0.499	0.675	0.567
m5c0r1076.htb	0.906	0.925	12	1.261	1.107	12	1.277	1.362	-0.076	0.877	0.974
m5c0r1076.htb	0.859	0.87	24	1.228	1.358	24	1.125	1.008	0.111	0.927	0.813
m5c0r1077.htb	0.428	0.611	48	1.03	1.203	48	1.041	0.96	0.476	0.609	0.613
m5c0r1077.htb	0.126	0.411	96	0.559	0.752	96	0.868	0.926	0.422	0.472	0.351
m5c0r1078.htb	0.753	0.903	24	1.289	0.889	24	1.057	1.14	1.193	0.928	0.877
m5c0r1078.htb	0.341	0.392	96	0.867	0.916	96	0.874	0.853	1.298	0.484	0.301
m5c0r1080.htb	0.933	0.93	12	1.369	1.435	12	1.015	0.806	0.847	0.921	0.939
m5c0r1080.htb	0.455	0.422	96	0.956	0.74	96	0.874	0.941	1.164	0.472	0.372
m5c0r1082.htb	0.949	0.963	12	1.078	1.269	12	1.198	1.163	0.54	0.915	1.01
m5c0r1082.htb	0.543	0.653	48	0.815	1.167	48	1.278	1.333	0.894	0.751	0.555
m5c0r1083.htb	0.708	0.892	24	0.957	1.119	24	0.941	0.853	0.332	0.794	0.99
m5c0r1083.htb	0.582	0.65	48	0.868	1.128	48	1.078	1.053	0.884	0.674	0.627
m24c0r268.htb	0.578	0.546	24	1.861	2.278	24	2.412	2.479	-1.508	0.367	0.725
m24c0r268.htb	0.415	0.164	48	1.577	1.366	48	1.38	1.387	-0.536	0.247	0.08
m5c0r1085.htb	0.94	0.951	12	1.168	1.394	12	0.882	0.626	0.778	0.947	0.955
m5c0r1085.htb	0.717	0.868	24	1.019	1.047	24	0.964	0.922	0.929	0.84	0.895
m5c0r1086.htb	0.486	0.656	48	0.919	1.335	48	1.062	0.925	1.275	0.784	0.527
m5c0r1086.htb	0.526	0.399	96	0.956	1.095	96	1.069	1.055	0.43	0.391	0.406
m5c0r1087.htb	0.99	0.852	24	0.345	0.897	24	1.15	1.277	0.762	0.795	0.909
m5c0r1087.htb	0.919	0.378	96	0.333	0.635	96	0.779	0.851	0.895	0.38	0.377
m5c0r1088.htb	 NaN	 NaN	12	 NaN	7.989	12	 NaN	 NaN	-1.23	 NaN	 NaN
m5c0r1089.htb	0.942	0.945	12	1.512	1.915	12	1.26	0.933	0.32	0.852	1.039
m5c0r1089.htb	0.529	0.753	48	1.133	1.354	48	1.061	0.915	0.352	0.733	0.774
m5c0r1090.htb	 NaN	 NaN	12	 NaN	7.909	12	 NaN	 NaN	-0.875	 NaN	 NaN
m5c0r1091.htb	0.99	0.934	12	1.283	0.922	12	1.337	1.545	0.169	1.058	0.809
m5c0r1091.htb	0.322	0.401	96	0.732	0.605	96	0.855	0.981	-0.331	0.281	0.521
m5c0r1086.htb	0.486	0.656	48	0.919	1.335	48	1.062	0.925	1.275	0.784	0.527
m5c0r1086.htb	0.526	0.399	96	0.956	1.095	96	1.069	1.055	0.43	0.391	0.406
m5c0r1092.htb	0.925	0.894	24	1.034	1.091	24	1.039	1.014	-0.585	0.88	0.909
m5c0r1092.htb	0.712	0.712	48	0.907	1.157	48	0.925	0.809	0.17	0.77	0.655
m5c0r1094.htb	0.978	1.05	12	0.931	1.7	12	1.46	1.34	0.321	1.08	1.02
m5c0r1094.htb	0.936	0.817	24	0.911	1.221	24	1.219	1.218	0.606	0.877	0.757
m5c0r1095.htb	0.658	0.671	48	0.934	0.752	48	0.797	0.819	0.422	0.669	0.673
m5c0r1095.htb	0.406	0.383	96	0.733	0.44	96	0.65	0.754	0.382	0.381	0.385
m5c0r1096.htb	0.88	0.998	24	0.888	1.075	24	0.928	0.854	0.449	0.841	1.155
m5c0r1096.htb	0.298	0.424	96	0.517	0.778	96	0.719	0.689	0.56	0.44	0.408
m5c0r1097.htb	0.75	0.952	24	1.258	1.185	24	1.179	1.177	0.096	0.904	0.999
m5c0r1097.htb	0.396	0.726	48	0.914	1.197	48	1.011	0.918	0.46	0.756	0.696
m5c0r1099.htb	0.983	0.988	12	0.902	1.236	12	1.129	1.076	0.145	0.881	1.094
m5c0r1099.htb	0.741	0.639	48	0.783	1.131	48	1.104	1.091	0.191	0.602	0.675
m5c0r1101.htb	0.981	0.992	12	1.22	0.893	12	1.221	1.385	-0.188	0.934	1.05
m5c0r1101.htb	0.433	0.433	96	0.811	0.88	96	0.606	0.469	0.415	0.431	0.436
