FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c181r2.htb 0.000 0.000 0.019 0.288 0.423 0.615 0.904 1.000 1.000 0.000 0.000 0.173 0.327 0.365 0.481 0.827 0.981 1.000 0.000 0.000 0.058 0.423 0.481 0.596 0.923 1.000 1.000 0.014 0.135 0.325 0.409 0.591 0.675 0.865 0.986 0.059 0.233 0.388 0.398 0.602 0.612 0.767 0.941 0.018 0.109 0.364 0.488 0.512 0.636 0.891 0.982 
m2c182r2.htb 0.000 0.000 0.133 0.250 0.517 0.583 0.950 1.000 1.000 0.000 0.000 0.100 0.267 0.517 0.583 0.750 0.983 1.000 0.000 0.000 0.033 0.433 0.450 0.717 0.917 1.000 1.000 0.104 0.282 0.372 0.463 0.537 0.628 0.718 0.896 0.385 0.378 0.513 0.465 0.535 0.487 0.622 0.615 0.125 0.235 0.456 0.557 0.443 0.544 0.765 0.875 
m2c183r2.htb 0.000 0.000 0.033 0.300 0.367 0.567 0.933 1.000 1.000 0.000 0.000 0.200 0.300 0.500 0.700 0.900 1.000 1.000 0.000 0.000 0.100 0.400 0.433 0.733 0.967 1.000 1.000 0.051 0.332 0.403 0.461 0.539 0.597 0.668 0.949 0.262 0.373 0.411 0.581 0.419 0.589 0.627 0.738 0.035 0.232 0.420 0.479 0.521 0.580 0.768 0.965 
m2c184r2.htb 0.000 0.000 0.211 0.378 0.432 0.568 0.892 1.000 1.000 0.000 0.026 0.158 0.216 0.351 0.553 0.684 0.946 1.000 0.000 0.000 0.026 0.405 0.553 0.703 0.895 1.000 1.000 0.003 0.183 0.346 0.446 0.554 0.654 0.817 0.997 0.366 0.355 0.375 0.477 0.523 0.625 0.645 0.634 0.094 0.385 0.390 0.401 0.599 0.610 0.615 0.906 
m2c185r2.htb 0.000 0.000 0.150 0.375 0.500 0.650 0.825 1.000 1.000 0.000 0.000 0.075 0.350 0.550 0.700 0.875 1.000 1.000 0.000 0.000 0.050 0.425 0.550 0.825 1.000 1.000 1.000 0.001 0.034 0.257 0.282 0.718 0.743 0.966 0.999 0.014 0.112 0.199 0.412 0.588 0.801 0.888 0.986 0.000 0.053 0.167 0.397 0.603 0.833 0.947 1.000 
m2c186r2.htb 0.000 0.033 0.233 0.333 0.667 0.600 0.900 1.000 1.000 0.000 0.000 0.167 0.267 0.433 0.700 0.867 1.000 1.000 0.000 0.000 0.133 0.500 0.600 0.700 1.000 1.000 1.000 0.443 0.470 0.408 0.441 0.559 0.592 0.530 0.557 0.303 0.333 0.427 0.523 0.477 0.573 0.667 0.697 0.352 0.493 0.542 0.322 0.678 0.458 0.507 0.648 
m2c187r2.htb 0.000 0.000 0.061 0.121 0.364 0.529 0.818 1.000 1.000 0.000 0.000 0.182 0.303 0.485 0.788 0.909 0.970 1.000 0.000 0.000 0.059 0.182 0.545 0.758 1.000 1.000 1.000 0.446 0.416 0.540 0.473 0.527 0.460 0.584 0.554 0.332 0.455 0.494 0.475 0.525 0.506 0.545 0.668 0.313 0.455 0.488 0.466 0.534 0.512 0.545 0.687 
m2c189r2.htb 0.000 0.000 0.031 0.219 0.406 0.688 0.938 0.969 1.000 0.000 0.000 0.125 0.469 0.406 0.563 0.781 1.000 1.000 0.000 0.000 0.031 0.344 0.406 0.656 0.813 1.000 1.000 0.480 0.508 0.365 0.539 0.461 0.635 0.492 0.520 0.409 0.436 0.578 0.500 0.500 0.422 0.564 0.591 0.433 0.508 0.595 0.533 0.467 0.405 0.492 0.567 
m2c190r2.htb 0.000 0.000 0.114 0.278 0.314 0.686 0.771 1.000 1.000 0.000 0.000 0.086 0.143 0.314 0.657 0.714 0.971 1.000 0.000 0.000 0.029 0.333 0.457 0.600 0.857 1.000 1.000 0.368 0.446 0.480 0.417 0.583 0.520 0.554 0.632 0.127 0.139 0.321 0.440 0.560 0.679 0.861 0.873 0.035 0.338 0.444 0.463 0.537 0.556 0.662 0.965 
m2c191r2.htb 0.000 0.000 0.306 0.400 0.722 0.800 0.889 1.000 1.000 0.000 0.000 0.167 0.333 0.556 0.667 0.743 1.000 1.000 0.000 0.000 0.229 0.429 0.722 0.833 0.944 1.000 1.000 0.248 0.314 0.447 0.485 0.515 0.553 0.686 0.752 0.334 0.304 0.455 0.386 0.614 0.545 0.696 0.666 0.494 0.463 0.483 0.524 0.476 0.517 0.537 0.506 
