m1c534r33.htb 30.000 -0.353 2.775 0.000 1.000 
m1c534r34.htb 30.000 -1.249 2.366 0.000 0.963 
m1c534r35.htb 20.000 -1.093 1.961 0.000 1.000 
m1c534r36.htb 50.000 -0.219 4.094 0.000 1.000 
m1c534r37.htb 10.000 -0.370 4.117 0.067 1.000 
m1c534r38.htb 100.000 0.415 0.765 0.025 0.750 
m1c534r39.htb 50.000 0.071 4.339 0.000 1.000 
m1c534r40.htb 10.000 -1.611 2.781 0.053 1.000 
m1c534r41.htb 100.000 -1.787 1.559 0.000 1.000 
m1c534r42.htb 50.000 -0.456 2.311 0.000 1.000 
m1c534r43.htb 100.000 -0.638 1.713 0.000 1.000 
m1c534r44.htb 30.000 0.807 1.988 0.000 1.000 
m1c534r45.htb 10.000 3.253 5.086 0.000 1.000 
m1c534r46.htb 0.000 0.075 4.988 0.000 1.000 
m1c534r47.htb 30.000 1.589 1.489 0.000 1.000 
m1c534r48.htb 20.000 1.042 1.609 0.000 1.000 
m1c534r49.htb 0.000 -0.102 3.699 0.000 1.000 
m1c534r50.htb 0.000 -0.105 3.515 0.000 1.000 
m1c534r51.htb 10.000 0.471 2.468 0.000 1.000 
m1c534r52.htb 0.000 0.387 3.011 0.167 1.000 
m1c534r53.htb 0.000 0.167 2.786 0.000 1.000 
m1c534r54.htb 10.000 -0.511 2.142 0.000 1.000 
m1c534r55.htb 0.000 -0.315 2.879 0.000 1.000 
m1c534r56.htb 0.000 0.655 1.926 0.000 1.000 
m1c534r57.htb 10.000 0.015 1.673 0.000 1.000 
m1c534r58.htb 0.000 0.172 3.434 0.000 1.000 
m1c534r59.htb 10.000 0.119 1.797 0.000 1.000 
m1c534r60.htb 100.000 0.154 0.410 0.000 1.000 
m1c534r61.htb 0.000 -1.133 4.130 0.000 1.000 
m1c534r62.htb 10.000 -0.225 1.604 0.000 1.000 
m1c534r63.htb 10.000 0.201 1.174 0.000 1.000 
m1c534r64.htb 0.000 0.298 3.629 0.000 1.000 
m1c534r65.htb 0.000 -0.070 2.401 0.000 1.000 
m1c534r66.htb 10.000 -0.052 1.565 0.000 1.000 
m1c534r67.htb 0.000 0.408 3.946 0.000 1.000 
m1c534r68.htb 100.000 0.324 0.548 0.000 1.000 
m1c534r69.htb 10.000 -0.246 1.471 0.000 1.000 
m1c534r70.htb 0.000 0.639 4.755 0.000 1.000 
m1c534r71.htb 10.000 -0.088 1.589 0.000 1.000 
m1c534r72.htb 100.000 0.184 0.525 0.000 1.000 
m1c534r73.htb 0.000 -0.673 3.113 0.000 1.000 
m1c534r74.htb 10.000 0.428 1.690 0.000 1.000 
m1c534r75.htb 10.000 1.533 2.764 0.143 1.000 
m1c534r76.htb 0.000 1.491 4.739 0.000 1.000 
m1c534r77.htb 0.000 0.096 2.252 0.000 0.500 
m1c534r78.htb 10.000 -0.448 1.849 0.000 1.000 
m1c534r79.htb 10.000 -0.143 1.744 0.000 1.000 
m1c534r80.htb 0.000 -0.282 2.144 0.000 1.000 
m1c534r81.htb 100.000 0.039 0.433 0.200 1.000 
m1c534r82.htb 10.000 0.134 2.009 0.000 1.000 
m1c534r83.htb 0.000 0.197 2.928 0.000 1.000 
m1c534r84.htb 10.000 0.351 1.919 0.000 1.000 
m1c534r85.htb 10.000 0.318 1.272 0.333 1.000 
m1c534r86.htb 0.000 0.171 3.681 0.000 1.000 
m1c534r87.htb 10.000 -0.198 2.249 0.400 1.000 
