FILE	
m5c74r2.htb 126.181 0.523 0.674 0.483 0.449 0.185 0.541 0.536 
m5c75r2.htb 10.881 0.745 0.000 0.703 0.482 0.186 0.491 0.476 
m5c79r2.htb 37.696 0.568 0.182 0.450 0.295 0.744 0.521 0.528 
m5c81r2.htb 16.327 0.665 0.004 0.573 0.146 0.106 0.509 0.492 
m5c82r2.htb 15.664 0.618 0.134 0.404 0.037 0.719 0.569 0.545 
m5c83r2.htb 26.213 0.638 0.028 0.009 0.115 0.257 0.614 0.628 
m5c87r2.htb 30.699 0.609 0.126 0.257 0.302 0.191 0.547 0.558 
m5c92r2.htb 21.265 0.774 0.000 0.027 0.241 0.400 0.615 0.619 
m5c94r2.htb 38.829 0.594 0.216 0.776 0.851 0.192 0.490 0.491 
m5c95r2.htb 20.476 0.821 0.000 0.727 0.456 0.652 0.553 0.523 
m5c100r2.htb 1307.139 0.556 0.274 0.960 0.587 0.646 0.514 0.511 
m5c103r2.htb 1852.482 0.923 0.000 0.952 0.352 0.167 0.598 0.509 
m5c107r2.htb 23.743 0.584 0.092 0.296 0.956 0.013 0.518 0.517 
m5c108r3.htb -265.553 0.632 0.008 0.350 0.285 0.324 0.519 0.532 
m5c109r2.htb 41.528 0.703 0.000 0.034 0.779 0.107 0.398 0.435 
m5c111r2.htb 54.609 0.678 0.010 0.866 0.955 0.565 0.511 0.507 
m5c118r2.htb 127.218 0.626 0.006 0.667 0.220 0.012 0.535 0.521 
m5c125r2.htb -604.941 0.594 0.038 0.519 0.699 0.918 0.503 0.505 
m5c128r2.htb 58.196 0.621 0.004 0.617 0.669 0.761 0.484 0.480 
m5c129r2.htb 46.410 0.482 0.698 0.264 0.504 0.184 0.573 0.568 
m5c135r2.htb 77.578 0.563 0.532 0.534 0.503 0.129 0.567 0.548 
m5c140r2.htb 33.052 0.621 0.010 0.225 0.166 0.058 0.539 0.549 
m5c152r2.htb 72.455 0.422 0.224 0.072 0.385 0.680 0.616 0.621 
m5c154r2.htb 90.293 0.480 0.634 0.000 0.851 0.119 0.647 0.646 
m5c156r2.htb 174.572 0.665 0.004 0.255 0.240 0.309 0.565 0.578 
m5c159r2.htb 56.635 0.432 0.500 0.485 0.367 0.646 0.578 0.579 
m5c163r2.htb 41.052 0.623 0.016 0.396 0.661 0.578 0.455 0.452 
m5c164r3.htb 49.008 0.627 0.040 0.264 0.607 0.684 0.597 0.605 
m5c166r2.htb 21.704 0.804 0.000 0.625 0.529 0.133 0.572 0.544 
m5c167r2.htb 621.564 0.563 0.448 0.864 0.631 0.633 0.512 0.511 
m5c170r2.htb 20.522 0.656 0.002 0.069 0.224 0.134 0.566 0.575 
