FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m24c49r2.htb	0.797	0.862	18	15.913	22.877	18	21.178	20.328	1.791	0.568	1.156
m24c49r2.htb	0.363	1.31	60	10.742	24.317	60	31.804	35.547	-1.694	2.392	0.228
m24c52r2.htb	0.258	0.353	18	26.784	5.468	18	6.115	6.438	-0.29	0.412	0.295
m24c52r2.htb	0.02	0.205	60	7.395	3.53	60	3.797	3.931	-1.011	0.149	0.261
m24c56r2.htb	0.89	0.848	18	14.805	13.798	18	15.819	16.829	-4.063	1.051	0.644
m24c56r2.htb	0.27	0.63	60	8.153	16.001	60	12.394	10.59	-0.954	0.774	0.486
m24c38r2.htb	0.802	0.763	16	6.022	3.46	16	3.374	3.332	0.54	0.791	0.735
m24c38r2.htb	0.088	0.165	60	1.995	1.139	60	1.449	1.604	-0.104	0.266	0.063
m24c64r2.htb	0.518	0.684	16	17.124	7.535	16	7.068	6.835	-0.267	0.644	0.724
m24c64r2.htb	0.05	0.052	60	5.304	5.174	60	6.559	7.252	0.484	0.501	-0.397
