FILE	
m2c162r2.htb 21.009 19.752 17.846 18.087 16.757 15.990 16.708 14.480 14.282 47.471 37.098 48.303 40.683 27.669 26.973 55.358 31.806 40.614 22.302 17.580 15.624 15.347 14.703 14.579 14.802 14.653 14.554 34.636 30.771 25.415 25.789 29.034 26.643 22.117 23.688 24.543 19.247 15.421 14.282 14.658 15.074 15.045 14.431 14.707 16.059 23.579 22.315 25.934 26.185 31.997 31.870 42.424 40.269 37.865 
m2c163r2.htb 13.688 12.922 13.455 12.104 13.658 12.846 11.559 12.896 14.902 14.925 20.996 22.429 18.122 27.922 18.599 25.759 27.976 20.738 7.005 6.460 6.855 7.870 6.905 7.565 7.362 7.337 8.144 10.225 12.567 16.582 29.406 14.472 17.258 17.996 12.884 12.643 7.768 7.185 7.185 7.104 8.175 7.185 7.438 9.010 11.411 15.197 15.619 18.095 12.311 15.619 10.150 13.511 12.910 29.107 
m2c168r3.htb 6.082 8.020 9.703 8.722 6.782 8.465 9.288 8.713 5.045 24.633 30.740 27.820 18.686 15.300 22.544 31.122 27.820 28.125 12.822 17.162 18.861 17.376 16.188 15.446 16.535 16.926 15.323 34.308 20.619 68.360 40.499 50.178 40.904 41.286 28.027 60.153 12.475 16.238 16.238 18.663 16.337 18.168 18.960 16.832 10.941 39.563 52.771 24.807 37.176 40.089 76.182 46.257 61.707 49.373 
m2c170r2.htb 27.822 30.198 26.436 24.752 26.485 24.010 26.436 23.218 23.564 91.622 35.239 38.500 62.945 35.278 47.454 43.969 27.394 33.598 15.941 18.366 17.327 17.970 17.525 18.416 18.218 19.109 25.396 35.074 36.578 21.515 19.222 28.594 29.966 31.720 30.864 23.452 23.168 23.713 21.238 22.030 21.584 22.624 24.158 22.822 27.624 20.782 49.167 32.966 33.833 17.810 42.542 41.420 33.689 24.033 
m2c172r2.htb 5.360 6.931 9.547 6.931 9.547 8.451 11.033 9.936 12.907 19.642 20.840 27.972 28.465 26.956 22.037 36.141 31.041 40.917 10.962 10.007 7.956 7.709 7.461 7.921 6.577 6.931 3.854 17.132 14.402 13.178 17.453 18.334 12.562 14.321 8.786 6.197 4.031 3.359 2.793 3.925 4.986 5.092 5.658 4.066 5.941 8.563 5.325 5.305 10.274 12.525 14.284 13.859 6.269 9.585 
m2c174r2.htb 24.832 22.360 20.050 20.380 18.455 19.967 17.079 15.965 14.191 30.464 13.973 16.218 36.733 20.005 23.499 16.814 13.666 43.105 29.662 23.639 18.936 18.317 19.010 17.987 16.295 14.521 12.706 20.073 24.918 16.308 11.508 38.232 22.305 15.512 14.633 13.696 36.139 31.931 26.485 25.206 24.422 23.185 21.328 17.698 14.026 43.985 32.243 15.365 23.866 22.561 21.389 15.598 16.905 21.709 
m2c175r2.htb 22.812 21.411 23.515 24.010 22.195 22.071 25.413 25.495 23.804 43.826 63.234 70.347 49.889 58.811 82.641 61.858 78.956 59.626 6.642 7.384 5.899 6.559 8.993 7.178 7.366 6.574 8.622 15.385 23.099 20.329 20.101 35.454 29.004 23.452 7.996 25.017 18.812 17.120 16.873 17.244 13.738 16.911 17.781 15.800 17.987 45.520 31.410 51.613 32.300 69.926 23.766 50.420 31.666 57.937 
m2c176r2.htb 24.666 24.392 21.782 22.142 22.862 22.502 24.662 23.627 31.098 65.939 71.006 108.206 62.323 68.145 54.633 62.917 81.439 66.068 14.311 16.337 15.347 14.401 15.752 13.951 17.262 16.382 20.027 47.682 60.008 72.612 41.054 27.813 37.710 90.796 75.131 69.361 20.252 18.857 17.147 18.092 21.266 24.212 19.667 21.917 22.007 106.407 47.192 42.516 73.679 54.974 65.701 40.733 61.459 53.677 
m2c177r2.htb 20.821 18.272 19.982 19.262 20.102 17.942 18.632 18.602 22.022 41.677 36.828 46.347 40.688 38.874 50.287 34.461 43.302 75.914 10.051 11.761 11.521 11.311 12.841 11.461 13.021 12.601 15.002 20.655 27.862 27.192 26.654 38.874 26.164 24.944 24.463 23.718 15.482 16.502 16.592 15.722 16.412 17.732 16.832 18.152 19.502 46.737 57.878 40.378 29.823 30.820 35.742 31.553 50.710 48.125 
m2c178r2.htb 47.195 47.360 44.785 44.983 47.129 46.733 46.799 49.142 49.670 67.088 36.919 48.791 41.083 88.064 57.357 64.492 62.839 98.373 25.875 27.525 27.657 27.261 25.908 25.743 25.941 26.007 20.561 53.256 50.326 80.718 85.910 34.755 64.362 72.704 73.011 53.388 47.855 45.710 41.485 42.541 41.254 41.155 40.990 38.944 34.983 48.767 45.302 49.444 40.123 51.539 91.450 62.441 57.488 52.553 
