m5c0r1.htb	  100.00	       0.9649	      4.4208	     
m5c0r2.htb	  100.00	       0.4104	      5.9610	     
m5c0r3.htb	  100.00	       0.5982	      5.3226	     
m5c0r4.htb	  100.00	       0.5013	      5.3644	     
m5c0r5.htb	  100.00	       -0.1637	      4.4286	     
m5c0r6.htb	  100.00	       0.6499	      3.3536	     
m5c0r7.htb	  100.00	       -1.1897	      4.6568	     
m5c0r8.htb	  100.00	       -0.1807	      3.8428	     
m5c0r9.htb	  100.00	       -0.4620	      5.6840	     
m5c0r10.htb	  100.00	       -0.6541	      3.6110	     
m5c0r11.htb	  100.00	       -0.3271	      5.0620	     
m5c0r12.htb	  100.00	       -0.2880	      3.8354	     
m5c0r13.htb	  100.00	       -1.6333	      6.1433	     
m5c0r14.htb	  100.00	       -0.5029	      5.0933	     
m5c0r15.htb	  100.00	       -0.0935	      3.6579	     
m5c0r16.htb	  100.00	       0.3599	      3.3773	     
m5c0r17.htb	  100.00	       1.0715	      5.1659	     
m5c0r18.htb	  100.00	       0.2991	      3.6904	     
m5c0r19.htb	  100.00	       -0.4348	      5.7277	     
m5c0r20.htb	  100.00	       -0.3330	      3.4065	     
m5c0r21.htb	  100.00	       0.2984	      4.6378	     
m5c0r22.htb	  100.00	       -0.3144	      4.2363	     
m5c0r23.htb	  100.00	       -1.6188	      6.5344	     
m5c0r24.htb	  100.00	       -0.1064	      3.8147	     
m5c0r25.htb	  100.00	       0.9178	      3.9059	     
m5c0r26.htb	  100.00	       0.1675	      3.3857	     
m5c0r27.htb	  0.00	       -1.7885	      3.6348	     -1.7615	      5.7599	     
m5c0r28.htb	  0.00	       -0.9950	      5.2699	     0.0217	      3.7501	     
m5c0r29.htb	  0.00	       -0.1286	      4.1936	     -0.8804	      2.9846	     
m5c0r30.htb	  0.00	       -0.4224	      4.4145	     -1.4118	      5.3482	     
m5c0r32.htb	  0.00	       -0.0870	      4.6252	     0.3649	      3.9682	     
m5c0r33.htb	  3.00	       3.9094	      5.3112	     0.6000	      5.8068	     
m5c0r34.htb	  5.00	       1.9629	      4.4629	     0.7865	      3.3848	     
m5c0r35.htb	  7.00	       0.5040	      4.9763	     -0.5193	      4.1376	     
m5c0r36.htb	  7.00	       -1.0719	      5.3959	     0.7661	      5.1678	     
m5c0r37.htb	  10.00	       -0.3799	      4.7993	     -3.0372	      4.2755	     
m5c0r38.htb	  10.00	       2.3199	      4.3302	     -8.4537	      5.0225	     
m5c0r39.htb	  5.00	       0.5562	      4.0644	     -5.0118	      3.7504	     
m5c0r40.htb	  3.00	       -0.4076	      4.4336	     
m5c0r41.htb	  3.00	       -0.4441	      5.3416	     
m5c0r42.htb	  3.00	       1.9177	      4.3369	     2.0460	      3.1427	     
m5c0r43.htb	  5.00	       1.5649	      2.1862	     
m5c0r44.htb	  5.00	       -1.0195	      3.2163	     
m5c0r45.htb	  5.00	       -0.6988	      3.9808	     -0.2090	      3.8196	     
m5c0r46.htb	  7.00	       -0.2332	      3.6225	     
m5c0r47.htb	  7.00	       -2.8585	      3.6302	     2.6915	      3.5158	     
m5c0r48.htb	  7.00	       -0.7221	      3.1800	     
m5c0r49.htb	  7.00	       -1.9592	      2.9806	     1.0831	      2.7247	     
m5c0r50.htb	  9.00	       -0.3000	      3.5663	     
m5c0r51.htb	  9.00	       1.4461	      3.1135	     
m5c0r52.htb	  11.00	       0.9985	      3.5033	     
m5c0r53.htb	  12.00	       1.5517	      2.9262	     
m5c0r54.htb	  13.00	       0.0153	      2.9812	     
m5c0r55.htb	  14.00	       0.7805	      2.8091	     
m5c0r56.htb	  15.00	       -0.7027	      3.5199	     
m5c0r57.htb	  16.00	       1.4771	      3.2674	     
m5c0r58.htb	  17.00	       0.2006	      2.9214	     
m5c0r59.htb	  17.00	       -1.4421	      4.3711	     0.9264	      3.1351	     
