FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c252r2.htb 103.350 0.568 0.176 0.516 
m2c254r2.htb 14.681 0.555 0.224 0.511 
m2c258r2.htb 107.041 0.545 0.340 0.643 
m2c260r2.htb 106.806 0.427 0.126 0.493 
m2c262r2.htb 156.450 0.462 0.312 0.347 
m2c364r2.htb 41.052 0.482 0.698 0.502 
m2c365r2.htb 60.989 0.479 0.652 0.478 
m2c368r2.htb 97.176 0.480 0.704 0.519 
m2c369r2.htb 65.542 0.593 0.090 0.501 
m2c370r2.htb 25.362 0.551 0.484 0.893 
m2c372r2.htb 107.428 0.582 0.078 0.549 
m2c374r2.htb 16.287 0.649 0.000 0.801 
m2c376r2.htb 300.000 0.450 0.376 0.478 
m2c378r2.htb 94.001 0.562 0.132 0.533 
m2c382r2.htb 300.000 0.528 0.596 0.466 
m2c384r2.htb 76.749 0.468 0.468 0.450 
m2c392r2.htb 13.067 0.580 0.162 0.614 
m2c403r2.htb 22.493 0.567 0.146 0.539 
m2c409r2.htb 98.054 0.505 0.944 0.389 
m2c417r2.htb 42.093 0.556 0.378 0.368 
m2c423r2.htb 58.408 0.497 0.970 0.607 
m2c427r2.htb 48.769 0.587 0.046 0.595 
m2c429r2.htb 23.030 0.621 0.030 0.750 
m2c432r2.htb 113.495 0.265 0.000 0.228 
m2c436r2.htb 11.673 0.610 0.006 0.714 
m2c441r2.htb 6.943 0.711 0.000 0.730 
m2c443r2.htb 238.419 0.547 0.280 0.639 
m2c445r2.htb 37.649 0.610 0.064 0.741 
m2c450r2.htb 169.168 0.579 0.310 0.509 
m5c4r2.htb 52.370 0.470 0.512 0.403 
m5c6r2.htb 235.626 0.411 0.052 0.423 
m5c7r2.htb 60.968 0.555 0.232 0.533 
m5c8r2.htb 17.409 0.502 0.958 0.705 
m5c13r2.htb 47.117 0.582 0.062 0.667 
m5c14r2.htb 81.959 0.468 0.462 0.468 
m5c15r2.htb 21.111 0.505 0.924 0.465 
m5c25r2.htb 73.186 0.521 0.552 0.387 
m5c29r2.htb 189.283 0.543 0.242 0.497 
m5c30r2.htb 109.678 0.525 0.824 0.546 
m5c35r2.htb 42.262 0.572 0.122 0.647 
m5c37r2.htb 65.028 0.731 0.000 0.906 
m5c38r2.htb 244.321 0.622 0.008 0.747 
m5c40r2.htb 300.000 0.522 0.600 0.619 
m5c42r2.htb 32.658 0.414 0.380  NaN 
m5c46r2.htb 300.000 0.477 0.502 0.426 
m5c49r2.htb 291.397 0.425 0.092 0.463 
m5c54r2.htb 224.429 0.536 0.400 0.546 
m5c60r2.htb 26.534 0.601 0.032 0.477 
m5c63r2.htb 29.600 0.483 0.814 0.127 
m5c66r2.htb 24.164 0.571 0.122 0.570 
m5c67r2.htb 60.658 0.640 0.014 0.615 
m5c69r2.htb 25.056 0.572 0.116 0.431 
m5c70r2.htb 34.945 0.603 0.004 0.546 
m5c71r2.htb 33.255 0.560 0.124 0.679 
m5c74r2.htb 28.100 0.457 0.376 0.417 
m5c75r2.htb 17.277 0.523 0.754 0.457 
m5c79r2.htb 283.287 0.529 0.602 0.517 
m5c81r2.htb 216.675 0.423 0.116 0.407 
m5c82r2.htb 94.059 0.559 0.464 0.647 
m5c83r2.htb 168.948 0.633 0.022 0.550 
m5c87r2.htb 44.498 0.571 0.300  NaN 
m5c92r2.htb 136.138 0.617 0.058 0.855 
m5c94r2.htb 74.678 0.518 0.800 0.478 
m5c95r2.htb 122.633 0.402 0.092 0.356 
m5c100r2.htb 61.799 0.472 0.618 0.583 
m5c103r2.htb 14.086 0.564 0.634 0.661 
m5c107r2.htb 145.330 0.490 0.774 0.547 
m5c108r3.htb 120.377 0.557 0.290 0.621 
m5c109r2.htb 49.818 0.438 0.212 0.308 
