FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c242r2.htb 25.000 0.994 0.821 0.993 0.997 1.109 0.757 7.244 8.812 14.082 13.512 9.112 6.040 
m2c244r2.htb 18.000 1.633 2.023 0.807 1.076 0.770 0.923 27.257 84.496 74.258 261.321 32.481 300.000 
m2c247r2.htb 18.000 1.991 1.634 1.005 0.894 0.684 0.740 77.792 24.790 5.248 4.710 7.354 7.373 
m2c252r2.htb 36.000 1.157 1.414 1.243 1.139 0.904 1.025 24.399 34.162 21.748 19.766 55.696 300.000 
m2c254r2.htb 50.000 0.850 0.974 1.430 1.225 0.832 0.583 8.611 8.558 11.890 12.200 5.976 9.477 
m2c258r2.htb 41.000 1.329 0.792 0.878 1.052 0.786 0.901 244.648 300.000 25.382 12.721 39.798 28.233 
m2c260r2.htb 34.000 1.290 1.191 1.466 0.965 0.898 0.777 55.142 31.792 13.377 11.440 15.746 9.644 
m2c262r2.htb 42.000 1.226 1.107 1.197 1.378 1.014 0.798 79.526 81.680 21.821 13.405 149.993 155.388 
m2c364r2.htb 35.000 0.858 1.522 1.065 1.055 0.687 0.952 53.496 300.000 7.266 8.488 5.684 7.480 
m2c365r2.htb 31.000 1.558 1.049 1.314 1.073 1.127 0.928 38.048 61.307 75.299 300.000 58.881 82.591 
m2c368r2.htb 37.000 1.514 1.228 1.164 1.315 1.026 1.064 300.000 37.243 36.154 25.018 10.478 13.290 
m2c369r2.htb 40.000 1.108 1.176 0.957 0.984 0.732 0.937 83.452 300.000 68.016 123.615 16.888 26.481 
m2c370r2.htb 20.000 2.379 1.470 0.964 1.281 0.655 1.006 9.992 15.464 20.963 14.974 12.162 15.264 
m2c372r2.htb 30.000 1.122 3.038 1.561 2.682 0.972 1.353 44.804 124.423 14.702 23.015 15.175 16.421 
m2c374r2.htb 40.000 1.314 1.614 1.310 1.168 1.082 0.971 17.154 11.890 220.247 47.261 60.652 300.000 
m2c376r2.htb 25.000 1.213 1.742 1.537 1.399 0.936 0.967 132.789 64.280 20.034 19.726 34.326 14.079 
m2c378r2.htb 40.000 1.263 1.291 2.021 1.131 0.829 0.849 46.215 44.586 8.006 10.117 7.983 9.352 
m2c382r2.htb 46.000 0.852 1.593 1.202 1.282 0.742 0.634 175.575 300.000 13.419 12.998 13.933 12.493 
m2c384r2.htb 45.000 0.863 1.608 1.475 1.637 1.082 0.595 51.276 32.041 22.429 20.792 22.985 23.926 
m2c392r2.htb 26.000 0.990 1.198 1.538 1.052 1.286 1.347 11.312 12.144 22.396 20.984 14.561 9.160 
m2c403r2.htb 33.000 1.512 1.557 1.626 1.075 1.138 1.114 11.713 38.609 27.672 8.519 22.082 13.930 
m2c409r2.htb 17.000 1.611 1.319 1.248 1.203 0.859 0.506 54.265 17.554 139.239 90.776 300.000 88.419 
m2c417r2.htb 21.000 3.150 1.093 1.245 1.579 0.923 0.968 300.000 21.866 33.607 52.955 144.342 73.725 
m2c423r2.htb 46.000 1.460 1.149 1.490 1.210 0.979 0.856 42.592 79.507 53.884 32.954 14.325 19.149 
m2c427r2.htb 30.000 1.522 1.476 1.499 1.630 0.933 0.788 57.749 22.298 34.615 17.798 16.231 15.039 
m2c429r2.htb 27.000 1.153 1.196 1.307 1.467 0.514 0.896 15.045 22.002 9.476 11.867 7.610 8.075 
m2c436r2.htb 45.000 1.818 1.468 1.560 1.618 1.249 1.059 12.028 9.214 6.900 4.839 6.949 6.299 
m2c441r2.htb 40.000 2.316 1.292 1.174 1.590 1.128 0.976 5.771 4.481 3.142 4.423 4.088 4.080 
m2c443r2.htb 40.000 1.101 1.516 1.070 1.341 0.995 1.167 146.488 300.000 18.463 16.423 26.064 300.000 
m2c445r2.htb 23.000 1.719 1.587 1.387 1.165 0.857 0.637 15.493 15.460 17.427 15.516 17.926 36.486 
m2c450r2.htb 21.000 1.294 1.007 1.805 0.926 0.967 0.875 27.989 32.297 5.164 4.534 5.455 3.645 
m5c4r2.htb 29.000 4.676 3.624 6.007 6.083 2.638 2.796 30.183 21.641 27.100 34.047 60.027 58.427 
m5c6r2.htb 38.000 4.485 3.006 3.585 4.996 3.010 2.210 113.765 160.439 38.052 58.203 202.837 101.741 
