FILE	         Ve_N_thr	 ves_CP	 ves_p	
m14c113r1.htb 65.814 182.563 300.000 71.092 162.790 147.175 144.544 102.205 51.531 61.873 18.845 146.624 158.212 224.995 47.929 114.390 42.767 34.514 79.267 85.421 27.529 64.412 63.989 55.097 77.190 0.358 0.616 0.570 0.558 0.414 0.404 0.599 0.596 0.573 0.587 0.543 0.549 0.551 0.450 0.497 0.475 0.552 0.521 0.518 0.535 0.517 0.518 0.515 0.509 0.486 
m14c114r1.htb 80.232 106.415 300.000 180.054 300.000 101.476 60.406 55.828 208.130 141.704 83.956 67.818 64.416 59.122 47.092 50.362 41.955 36.510 24.894 10.732 10.450 9.505 10.222 10.122 9.947 0.426 0.487 0.410 0.420 0.585 0.489 0.519 0.504 0.504 0.508 0.516 0.512 0.505 0.501 0.478 0.488 0.491 0.499 0.418 0.373 0.319 0.253 0.257 0.264 0.265 
m14c115r1.htb 174.085 136.257 105.964 75.042 51.735 38.180 34.370 27.260 21.614 18.947 19.294 15.550 14.756 13.958 13.698 12.429 11.268 12.994 13.788 13.047 12.677 13.862 14.374 13.824 14.608 0.585 0.580 0.589 0.588 0.605 0.621 0.626 0.627 0.630 0.623 0.615 0.617 0.606 0.606 0.605 0.625 0.648 0.681 0.689 0.713 0.721 0.727 0.741 0.747 0.751 
m14c119r1.htb 70.928 49.926 64.074 73.200 38.607 37.978 36.899 75.826 62.361 55.637 157.389 124.036 300.000 300.000 121.515 300.000 300.000 77.860 55.905 66.554 46.209 50.016 39.172 37.877 32.353 0.440 0.436 0.443 0.450 0.462 0.471 0.476 0.488 0.477 0.464 0.458 0.450 0.453 0.458 0.550 0.441 0.434 0.431 0.444 0.448 0.469 0.475 0.478 0.483 0.477 
m14c122r1.htb 32.798 40.425 44.899 37.204 81.334 74.447 132.420 81.390 300.000 300.000 300.000 300.000 300.000 163.392 300.000 300.000 74.420 165.976 79.891 65.308 65.849 129.158 104.205 91.177 86.946 0.474 0.478 0.481 0.482 0.470 0.460 0.466 0.474 0.517 0.516 0.510 0.507 0.507 0.501 0.507 0.504 0.497 0.508 0.487 0.457 0.443 0.446 0.443 0.436 0.428 
m14c124r2.htb 36.820 43.362 33.210 29.810 25.970 23.314 26.334 154.677 51.551 137.042 43.142 52.705 43.413 43.257 40.479 40.123 28.989 89.204 40.341 115.213 44.700 39.089 34.233 37.863 47.137 0.553 0.564 0.571 0.589 0.592 0.591 0.553 0.530 0.492 0.539 0.569 0.589 0.599 0.609 0.601 0.605 0.586 0.597 0.568 0.449 0.457 0.457 0.463 0.480 0.451 
m14c125r1.htb 136.206 100.044 99.664 58.516 53.479 39.913 81.645 23.050 122.640 78.517 29.835 23.032 19.331 31.938 27.349 24.445 19.618 20.250 26.797 34.502 135.395 200.636 113.376 300.000 300.000 0.473 0.460 0.543 0.546 0.532 0.527 0.509 0.490 0.531 0.489 0.488 0.489 0.479 0.512 0.517 0.493 0.498 0.520 0.560 0.558 0.518 0.498 0.467 0.505 0.516 
m14c126r1.htb 59.640 153.212 300.000 41.756 15.747 20.093 24.607 28.249 23.726 17.474 16.729 17.026 20.885 31.068 89.709 65.495 65.185 59.556 52.786 58.852 219.802 203.600 57.785 40.935 26.852 0.503 0.492 0.482 0.487 0.484 0.492 0.520 0.516 0.506 0.501 0.480 0.486 0.476 0.454 0.419 0.429 0.404 0.428 0.433 0.419 0.434 0.410 0.433 0.455 0.508 
m14c133r2.htb 47.344 51.910 88.588 73.326 135.264 99.820 226.387 154.446 56.136 21.774 19.980 18.357 17.576 16.979 17.354 14.440 13.851 17.413 13.688 15.273 13.346 13.748 15.009 15.255 15.584 0.487 0.489 0.502 0.499 0.502 0.476 0.454 0.558 0.533 0.569 0.602 0.603 0.601 0.610 0.629 0.617 0.604 0.613 0.627 0.634 0.635 0.633 0.638 0.631 0.628 
m14c134r2.htb 78.999 33.115 23.792 19.978 17.268 14.150 13.159 15.140 9.903 10.952 11.193 12.790 12.378 11.646 13.121 14.729 16.114 15.939 79.082 300.000 81.565 39.133 32.510 21.706 19.107 0.512 0.523 0.518 0.503 0.506 0.505 0.517 0.522 0.521 0.487 0.480 0.468 0.470 0.496 0.524 0.528 0.527 0.550 0.578 0.359 0.313 0.320 0.326 0.327 0.335 
m14c135r2.htb 25.408 28.326 25.599 9.951 12.176 9.883 7.860 7.382 5.075 5.169 4.487 4.881 5.715 5.955 5.725 6.671 8.232 7.360 300.000 300.000 300.000 300.000 29.758 28.148 15.364  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN  NaN 
