FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m2c436r2.htb	 -0.922	 -0.926	 0.000	 0.000	 0.059	 0.180	 0.879	 0.644	 
m2c441r2.htb	 0.899	 0.994	 0.001	 0.000	 0.349	 0.205	 0.357	 0.597	 
m2c443r2.htb	 -0.709	 0.584	 0.032	 0.099	 -0.241	 -0.360	 0.533	 0.341	 
m2c445r2.htb	 0.836	 0.943	 0.005	 0.000	 0.012	 0.149	 0.976	 0.703	 
m2c450r2.htb	 -0.425	 0.955	 0.255	 0.000	 -0.490	 0.260	 0.180	 0.499	 
m5c25r2.htb	 -0.699	 0.853	 0.036	 0.003	 0.509	 -0.184	 0.162	 0.636	 
m5c29r2.htb	 -0.380	 -0.058	 0.313	 0.882	 -0.256	 0.239	 0.506	 0.535	 
m5c30r2.htb	 -0.011	 -0.419	 0.978	 0.261	 0.188	 0.243	 0.628	 0.529	 
m5c37r2.htb	 -0.358	 -0.446	 0.344	 0.229	 -0.420	 -0.312	 0.260	 0.414	 
m5c40r2.htb	 0.269	 -0.787	 0.484	 0.012	 0.344	 -0.565	 0.364	 0.113	 
m5c42r2.htb	 -0.356	 -0.585	 0.347	 0.098	 0.034	 0.818	 0.932	 0.007	 
m5c49r2.htb	 -0.774	 0.021	 0.014	 0.958	 0.137	 0.311	 0.725	 0.415	 
m5c54r2.htb	 0.667	 0.937	 0.050	 0.000	 -0.288	 -0.070	 0.452	 0.858	 
m5c60r2.htb	 0.296	 -0.544	 0.439	 0.130	 -0.126	 -0.056	 0.746	 0.885	 
m5c63r2.htb	 0.184	 -0.881	 0.635	 0.002	 0.341	 0.220	 0.369	 0.569	 
m5c66r2.htb	 -0.876	 -0.836	 0.002	 0.005	 -0.523	 0.216	 0.148	 0.576	 
m5c69r2.htb	 -0.740	 0.858	 0.023	 0.003	 0.203	 -0.602	 0.600	 0.086	 
m5c70r2.htb	 -0.978	 0.304	 0.000	 0.427	 0.253	 0.003	 0.512	 0.993	 
m5c71r2.htb	 0.411	 0.936	 0.272	 0.000	 -0.710	 0.212	 0.032	 0.584	 
