FILE	
m2c162r2.htb 0.000 0.000 0.003 
m2c163r2.htb 0.145 0.613 0.000 
m2c168r3.htb 0.063 0.230 0.003 
m2c170r2.htb 0.030 0.000 0.029 
m2c172r2.htb 0.000 0.000 0.001 
m2c174r2.htb 0.000 0.000 0.000 
m2c175r2.htb 0.618 0.374 0.325 
m2c176r2.htb 0.016 0.233 0.090 
m2c177r2.htb 0.261 0.015 0.252 
m2c178r2.htb 0.271 0.032 0.000 
m2c179r2.htb 0.000 0.000 0.000 
m2c180r2.htb 0.385 0.283 0.000 
m2c181r2.htb 0.000 0.000 0.000 
m2c182r2.htb 0.000 0.071 0.000 
m2c183r2.htb 0.000 0.002 0.000 
m2c184r2.htb 0.000 0.000 0.000 
m2c185r2.htb 0.000 0.000 0.000 
m2c186r2.htb 0.004 0.033 0.005 
m2c187r2.htb 0.919 0.625 0.152 
m2c189r2.htb 0.310 0.212 0.960 
m2c190r2.htb 0.135 0.000 0.000 
m2c191r2.htb 0.001 0.001 0.909 
m2c193r2.htb 0.717 0.484 0.492 
m2c195r2.htb 0.410 0.245 0.676 
m2c196r3.htb 0.000 0.000 0.000 
m2c197r2.htb 0.000 0.000 0.000 
m2c198r2.htb 0.000 0.000 0.000 
m2c199r2.htb 0.000 0.000 0.000 
m2c200r2.htb 0.000 0.000 0.000 
m2c202r2.htb 0.427 0.000 0.000 
m2c214r2.htb 0.000 0.000 0.000 
m2c220r2.htb 0.056 0.000 0.000 
m2c221r2.htb 0.001 0.049 0.000 
m2c223r2.htb 0.020 0.001 0.000 
m2c226r2.htb 0.000 0.000 0.000 
m2c231r2.htb 0.039 0.000 0.000 
m2c233r2.htb 0.863 0.003 0.000 
m2c236r2.htb 0.000 0.000 0.000 
m2c237r2.htb 0.030 0.000 0.000 
m2c240r2.htb 0.417 0.006 0.001 
m2c241r2.htb 0.838 0.466 0.715 
m2c242r2.htb 0.000 0.000 0.000 
m2c244r2.htb 0.355 0.361 0.933 
m2c247r2.htb 0.135 0.000 0.000 
m2c252r2.htb 0.001 0.000 0.000 
m2c254r2.htb 0.000 0.000 0.000 
m2c258r2.htb 0.925 0.000 0.006 
m2c260r2.htb 0.046 0.000 0.000 
m2c262r2.htb 0.102 0.000 0.999 
m2c364r2.htb 0.022 0.000 0.000 
m2c365r2.htb 0.689 0.280 0.000 
m2c368r2.htb 0.636 0.021 0.000 
m2c369r2.htb 0.926 0.485 0.000 
m2c370r2.htb 0.000 0.000 0.000 
m2c372r2.htb 0.487 0.000 0.000 
m2c374r2.htb 0.000 0.013 0.000 
m2c376r2.htb 0.951 0.182 0.156 
m2c378r2.htb 0.253 0.000 0.000 
m2c382r2.htb 0.691 0.000 0.000 
m2c384r2.htb 0.278 0.000 0.000 
m2c392r2.htb 0.000 0.015 0.000 
m2c403r2.htb 0.000 0.000 0.000 
m2c409r2.htb 0.003 0.292 0.067 
m2c417r2.htb 0.011 0.098 0.266 
m2c423r2.htb 0.235 0.000 0.000 
m2c427r2.htb 0.002 0.000 0.005 
m2c429r2.htb 0.000 0.000 0.000 
m2c436r2.htb 0.000 0.000 0.000 
m2c441r2.htb 0.000 0.000 0.000 
m2c443r2.htb 0.814 0.000 0.037 
m2c445r2.htb 0.000 0.000 0.000 
m2c450r2.htb 0.000 0.000 0.000 
m5c4r2.htb 0.001 0.000 0.096 
m5c6r2.htb 0.508 0.000 0.205 
m5c7r2.htb 0.081 0.001 0.000 
m5c8r2.htb 0.000 0.001 0.083 
m5c13r2.htb 0.005 0.000 0.004 
m5c14r2.htb 0.149 0.000 0.850 
m5c15r2.htb 0.000 0.010 0.000 
m5c25r2.htb 0.105 0.000 0.000 
m5c29r2.htb 0.314 0.000 0.000 
m5c30r2.htb 0.173 0.567 0.002 
m5c35r2.htb 0.038 0.062 0.397 
m5c37r2.htb 0.058 0.685 0.000 
m5c38r2.htb 0.704 0.024 0.000 
m5c40r2.htb 0.000 0.000 0.000 
m5c42r2.htb 0.000 0.770 0.000 
m5c46r2.htb 0.196 0.342 0.006 
m5c49r2.htb 0.373 0.004 0.379 
m5c54r2.htb 0.567 0.000 0.000 
m5c60r2.htb 0.000 0.000 0.000 
m5c63r2.htb 0.001 0.000 0.000 
m5c66r2.htb 0.000 0.000 0.000 
m5c67r2.htb 0.713 0.000 0.402 
m5c69r2.htb 0.000 0.000 0.000 
m5c70r2.htb 0.000 0.003 0.003 
m5c71r2.htb 0.000 0.000 0.000 
m5c74r2.htb 0.009 0.000 0.000 
m5c75r2.htb 0.000 0.000 0.000 
m5c79r2.htb 0.689 0.731 0.861 
m5c81r2.htb 0.016 0.000 0.000 
m5c82r2.htb 0.033 0.003 0.001 
m5c83r2.htb 0.001 0.081 0.001 
m5c87r2.htb 0.000 0.028 0.656 
m5c92r2.htb 0.093 0.111 0.742 
m5c94r2.htb 0.209 0.382 0.000 
m5c95r2.htb 0.651 0.987 0.631 
m5c100r2.htb 0.033 0.001 0.001 
m5c103r2.htb 0.000 0.162 0.000 
m5c107r2.htb 0.896 0.792 0.590 
m5c108r3.htb 0.862 0.004 0.003 
m5c109r2.htb 0.272 0.000 0.000 
m5c111r2.htb 0.397 0.303 0.675 
m5c118r2.htb 0.000 0.351 0.000 
m5c125r2.htb 0.000 0.000 0.000 
m5c128r2.htb 0.453 0.000 0.000 
m5c129r2.htb 0.000 0.000 0.000 
m5c135r2.htb 0.000 0.104 0.000 
m5c140r2.htb 0.776 0.000 0.021 
m5c152r2.htb 0.185 0.183 0.773 
m5c154r2.htb 0.000 0.000 0.000 
m5c156r2.htb 0.087 0.530 0.156 
m5c159r2.htb 0.408 0.597 0.000 
m5c163r2.htb 0.000 0.000 0.038 
m5c164r3.htb 0.000 0.000 0.696 
m5c166r2.htb 0.426 0.065 0.000 
m5c167r2.htb 0.009 0.494 0.721 
m5c170r2.htb 0.000 0.000 0.000 
m5c222r5.htb 0.000 0.025 0.000 
