FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c159r2.htb 1.059 1.061 1.052 9.128 11.643 300.000 1.145 1.150 3.596 3.338 
m2c160r2.htb 0.844 0.848 0.844 4.821 4.163 1.463 0.158 0.152 12.139 12.128 
m2c161r2.htb 1.647 1.646 1.352 5.865 3.538 6.450 4.412 4.420 9.477 7.041 
m2c162r2.htb 1.382 1.364 1.497 9.070 5.347 6.577 0.569 0.610 3.673 0.964 
m2c163r2.htb 1.238 1.236 1.187 60.242 300.000 300.000 1.516 1.518 3.266 3.022 
m2c168r3.htb 1.277 1.275 1.342 58.252 300.000 9.346 5.899 5.903 1.985 1.505 
m2c170r2.htb 1.069 1.072 1.066 13.691 4.536 8.674 0.402 0.401 10.262 1.878 
m2c172r2.htb 0.767 0.753 0.784 8.664 6.968 5.292 2.401 2.586 1.489 1.236 
m2c174r2.htb 1.226 1.222 1.171 5.097 2.955 2.763 1.075 1.076 6.210 1.028 
m2c175r2.htb 0.954 0.954 0.956 39.118 10.892 11.529 2.529 2.533 5.000 3.116 
m2c176r2.htb 1.086 1.083 1.096 18.683 242.539 4.348 0.105 0.102 5.371 4.633 
m2c177r2.htb 1.275 1.277 1.260 300.000 300.000 300.000 1.495 1.486 2.156 2.131 
m2c178r2.htb 1.110 1.108 1.126 39.782 16.378 7.542 3.827 3.829 1.139 0.404 
m2c179r2.htb 0.859 0.860 0.709 5.099 4.532 3.721 1.086 1.090 4.565 4.149 
m2c180r2.htb 1.433 1.394 1.192 21.690 8.710 18.187 3.703 3.943 3.072 0.878 
m2c181r2.htb 0.893 0.885 0.894 3.270 2.982 2.771 0.607 0.645 0.312 0.179 
m2c182r2.htb 1.026 1.027 0.915 6.317 5.309 4.052 1.687 1.693 0.570 0.677 
m2c183r2.htb 0.899 0.898 0.900 6.335 7.381 5.286 1.570 1.572 0.363 0.206 
m2c184r2.htb 1.332 1.332 1.309 3.522 3.636 3.280 1.717 1.719 0.096 0.290 
m2c185r2.htb 1.298 1.295 1.365 1.721 1.689 1.551 0.131 0.134 2.376 2.373 
m2c186r2.htb 1.430 1.292 1.289 42.255 19.578 4.741 2.991 3.137 1.880 1.668 
m2c187r2.htb 1.000 1.003 0.900 54.299 25.175 300.000 0.415 0.416 1.306 0.999 
m2c189r2.htb 0.788 0.791 0.781 87.805 37.344 5.267 0.179 0.177 3.804 3.740 
m2c190r2.htb 1.225 1.227 1.191 26.118 26.662 13.485 2.323 2.322 1.178 1.176 
m2c191r2.htb 1.283 1.282 1.325 10.940 7.171 10.463 1.813 1.813 1.208 0.127 
m2c193r2.htb 1.235 1.237 1.295 45.109 17.908 19.527 1.118 1.116 0.727 0.338 
m2c195r2.htb 1.110 1.108 1.029 142.061 21.684 5.693 1.373 1.375 3.904 2.882 
m2c196r3.htb 0.912 0.924 0.915 1.924 1.645 1.195 0.941 0.998 3.794 3.110 
m2c197r2.htb 1.102 1.103 0.963 4.187 2.904 1.930 1.644 1.632 5.174 3.265 
m2c198r2.htb 0.820 0.820 0.679 6.791 4.394 1.656 1.538 1.526 12.454 9.605 
m2c199r2.htb 0.999 0.999 0.924 7.014 5.681 6.855 2.555 2.553 1.532 0.962 
m2c200r2.htb 1.179 1.184 1.212 4.428 3.446 5.971 2.993 3.044 2.074 0.881 
m2c202r2.htb 0.839 0.837 0.713 35.094 14.283 21.393 0.910 0.911 1.658 1.037 
m2c214r2.htb 1.027 1.056 1.003 5.952 4.301 2.177 2.468 2.346 4.890 3.983 
m2c220r2.htb 1.261 1.265 1.322 21.992 17.452 300.000 1.067 1.073 10.204 10.220 
m2c221r2.htb 1.405 1.410 1.154 9.666 9.737 2.478 1.555 1.534 7.192 7.195 
m2c223r2.htb 1.198 1.196 1.153 13.238 13.574 6.846 3.639 3.628 1.234 1.247 
m2c226r2.htb 1.278 1.277 1.225 3.827 3.337 2.883 1.367 1.350 0.513 0.478 
m2c231r2.htb 1.186 1.183 1.215 12.729 6.805 3.111 2.018 2.011 3.580 2.711 
m2c233r2.htb 0.943 0.942 0.874 92.295 22.510 4.338 0.486 0.484 2.715 2.013 
m2c236r2.htb 1.040 1.039 0.889 7.575 3.731 2.379 4.129 4.132 7.719 3.280 
m2c237r2.htb 1.107 1.076 1.030 19.224 12.819 3.362 3.665 3.812 5.116 4.967 
m2c240r2.htb 1.111 1.110 1.136 39.843 13.862 8.240 1.232 1.229 1.347 0.396 
m2c241r2.htb 1.160 1.161 1.189 45.238 300.000 300.000 3.919 3.917 4.162 3.678 
m2c242r2.htb 0.955 0.957 0.829 3.914 4.544 8.864 0.751 0.749 2.027 1.673 
m2c244r2.htb 1.820 1.569 1.213 32.308 8.327 300.000 6.106 5.422 8.462 5.532 
m2c247r2.htb 1.519 1.411 1.632 24.664 5.810 5.788 1.223 1.792 18.550 11.568 
m2c252r2.htb 1.242 1.240 1.342 10.889 5.454 10.018 1.916 1.919 4.456 0.997 
m2c254r2.htb 0.908 0.907 0.879 3.854 3.407 1.857 0.337 0.337 4.518 4.665 
m2c258r2.htb 1.084 1.079 1.094 208.423 300.000 300.000 0.612 0.605 0.354 0.306 
m2c260r2.htb 1.202 1.201 1.267 22.554 21.572 3.353 0.713 0.715 5.157 5.142 
m2c262r2.htb 1.181 1.181 1.139 42.203 300.000 300.000 0.127 0.130 5.473 4.925 
m2c364r2.htb 1.221 1.222 0.908 37.687 300.000 300.000 4.925 4.924 9.402 8.264 
m2c365r2.htb 1.270 1.273 1.365 27.684 26.386 300.000 3.026 3.010 2.578 2.583 
m2c368r2.htb 1.335 1.336 1.524 33.442 26.296 16.206 0.870 0.873 0.578 0.537 
m2c369r2.htb 1.076 1.078 0.965 83.505 24.359 15.091 0.860 0.857 0.710 0.387 
m2c370r2.htb 1.767 1.764 1.495 5.564 4.122 2.509 4.703 4.700 6.647 5.518 
m2c372r2.htb 1.501 1.501 1.035 40.987 17.836 10.199 2.755 2.757 1.380 0.767 
m2c374r2.htb 1.476 1.482 1.719 5.137 3.466 2.527 2.847 2.841 3.140 0.960 
m2c376r2.htb 1.509 1.509 1.459 199.966 278.213 300.000 2.739 2.737 0.942 0.953 
m2c378r2.htb 1.263 1.264 1.088 29.717 300.000 300.000 2.300 2.308 1.382 0.329 
m2c382r2.htb 0.970 0.837 0.810 117.657 17.257 300.000 1.313 1.305 2.433 1.145 
m2c384r2.htb 1.266 1.299 1.177 23.972 13.725 300.000 0.809 0.885 1.216 0.840 
m2c392r2.htb 1.085 1.086 0.967 5.191 4.274 6.526 1.504 1.505 1.734 0.842 
m2c403r2.htb 1.538 1.537 1.152 8.214 4.299 2.368 1.506 1.499 7.857 4.132 
m2c409r2.htb 1.435 1.432 1.613 16.470 20.941 300.000 0.544 0.551 4.656 4.776 
m2c417r2.htb 1.102 1.145 1.062 57.196 8.241 4.168 1.485 1.470 7.126 1.272 
m2c423r2.htb 1.235 1.148 1.164 29.179 11.203 22.395 1.574 1.692 1.869 0.973 
m2c427r2.htb 1.583 1.461 1.552 15.035 4.762 5.054 2.084 2.086 8.593 1.417 
m2c429r2.htb 1.145 1.149 1.175 8.809 9.676 6.997 1.772 1.764 0.926 0.846 
m2c436r2.htb 1.646 1.650 2.143 3.951 2.809 2.431 2.635 2.618 3.932 1.642 
m2c441r2.htb 1.330 1.333 1.162 2.101 1.893 1.463 0.828 0.832 1.595 1.428 
m2c443r2.htb 1.298 1.300 1.389 109.402 45.233 21.574 0.927 0.890 0.311 0.252 
m2c445r2.htb 1.611 1.574 1.652 7.053 3.917 3.139 2.114 2.168 4.805 2.114 
m2c450r2.htb 1.199 1.210 1.104 12.703 13.981 5.420 5.657 5.577 1.701 1.788 
m5c4r2.htb 3.855 3.874 3.986 17.695 11.462 16.708 2.554 2.546 1.996 0.501 
m5c6r2.htb 4.022 3.329 5.711 56.009 27.553 300.000 2.875 3.558 1.838 1.097 
m5c7r2.htb 2.995 3.015 3.516 20.532 11.976 5.699 3.592 3.565 8.335 6.886 
m5c8r2.htb 4.167 4.179 7.704 5.636 5.828 6.064 5.965 5.965 3.815 3.740 
m5c13r2.htb 3.798 3.312 3.395 14.463 8.758 9.147 0.908 1.116 2.286 0.187 
m5c14r2.htb 3.268 2.962 3.370 26.657 29.395 18.364 2.808 2.930 0.366 0.278 
m5c15r2.htb 3.373 3.233 3.661 12.003 14.186 300.000 1.982 2.088 5.965 5.709 
m5c25r2.htb 3.088 2.691 2.882 35.900 20.019 178.934 0.188 0.550 1.024 0.546 
m5c29r2.htb 3.246 3.218 2.831 300.000 274.461 42.591 0.576 0.568 0.162 0.165 
m5c30r2.htb 4.461 4.129 3.438 19.762 11.334 22.019 4.148 4.227 2.797 1.346 
m5c35r2.htb 3.845 3.651 3.455 23.068 13.300 50.714 1.153 1.243 2.472 0.996 
m5c37r2.htb 4.397 5.167 6.003 27.003 18.138 38.875 1.933 1.642 1.685 1.175 
m5c38r2.htb 4.506 4.232 4.343 64.455 33.961 300.000 1.007 0.996 2.201 2.094 
m5c40r2.htb 3.609 3.440 3.638 21.668 53.095 78.665 0.194 0.296 1.718 0.369 
m5c42r2.htb 3.827 3.504 2.049 11.311 11.259 300.000 5.695 5.514 21.994 22.009 
m5c46r2.htb 3.720 3.376 2.573 74.957 30.007 24.177 2.566 2.504 3.027 2.470 
m5c49r2.htb 2.761 2.705 2.735 48.788 22.794 257.271 0.855 0.902 1.076 0.592 
m5c54r2.htb 2.667 2.675 2.653 86.264 56.883 7.503 1.701 1.639 3.718 3.733 
m5c60r2.htb 2.253 2.252 2.065 9.067 6.731 5.346 5.073 5.074 1.908 0.899 
m5c63r2.htb 2.986 2.525 2.335 9.521 5.631 3.637 3.342 2.851 7.553 3.498 
m5c66r2.htb 2.670 2.284 2.355 6.272 4.909 6.353 3.802 4.027 2.027 0.958 
m5c67r2.htb 2.671 2.671 3.014 169.726 300.000 131.413 0.784 0.779 0.421 0.283 
m5c69r2.htb 3.084 2.567 2.209 5.615 5.144 5.718 3.413 3.071 1.483 1.358 
m5c70r2.htb 2.689 2.587 2.963 15.397 17.627 72.568 0.469 0.639 0.708 0.702 
m5c71r2.htb 2.556 2.536 1.772 14.859 11.757 18.269 1.669 1.800 1.323 0.645 
m5c74r2.htb 1.678 1.673 1.707 43.984 18.886 9.168 1.089 1.091 2.169 0.708 
m5c75r2.htb 2.736 2.732 2.861 5.707 5.828 5.592 1.625 1.631 0.340 0.309 
m5c79r2.htb 2.488 2.475 2.547 55.495 300.000 18.087 1.897 1.915 2.380 1.808 
m5c81r2.htb 3.414 3.341 3.876 21.546 13.300 7.404 3.151 3.203 2.929 1.321 
m5c82r2.htb 2.463 2.459 2.376 23.817 7.757 5.126 7.182 7.185 8.891 2.302 
m5c83r2.htb 2.520 2.517 2.820 30.469 16.554 47.279 1.027 1.030 1.836 0.584 
m5c87r2.htb 2.913 2.887 1.544 18.712 14.536 10.037 4.765 4.710 1.334 0.784 
m5c92r2.htb 2.000 1.995 1.976 36.438 35.151 35.006 2.559 2.591 0.061 0.045 
m5c94r2.htb 1.545 1.476 1.473 63.045 146.986 23.441 1.211 1.371 0.955 0.680 
m5c95r2.htb 3.230 2.940 3.171 300.000 26.535 24.177 3.246 3.711 2.164 0.291 
m5c100r2.htb 2.208 2.208 2.033 26.360 11.166 8.239 1.090 1.115 4.526 0.838 
m5c103r2.htb 2.099 2.177 2.170 3.830 3.846 8.533 2.087 1.723 9.400 9.369 
m5c107r2.htb 2.123 2.028 1.963 164.080 300.000 300.000 1.765 1.785 0.373 0.340 
m5c108r3.htb 3.898 3.468 3.161 300.000 27.768 43.014 3.747 4.080 13.531 0.254 
m5c109r2.htb 3.203 2.458 2.043 27.183 22.166 44.683 2.558 1.228 0.759 0.674 
m5c111r2.htb 2.752 2.818 3.064 100.059 48.130 38.469 2.915 2.653 1.339 1.225 
m5c118r2.htb 2.452 2.454 2.070 9.421 12.077 10.061 2.349 2.352 0.950 0.314 
m5c125r2.htb 2.802 2.701 2.007 6.479 5.178 4.546 1.280 1.066 2.376 1.260 
m5c128r2.htb 3.484 3.478 2.916 106.598 300.000 300.000 1.848 1.825 2.174 1.567 
m5c129r2.htb 3.066 3.071 3.407 7.803 7.032 5.780 0.878 0.870 0.436 0.835
m5c135r2.htb 2.508 2.506 2.404 10.683 11.563 300.000 1.157 1.158 2.639 2.544  
m5c140r2.htb 3.477 3.481 1.996 69.783 37.939 300.000 6.995 6.997 1.860 1.731 
m5c152r2.htb 3.137 3.146 4.579 30.664 29.673 300.000 7.520 7.521 3.340 3.325 
m5c154r2.htb 3.785 3.506 3.620 21.746 10.318 9.248 0.838 0.983 4.193 0.258 
m5c156r2.htb 3.086 3.091 4.024 27.118 33.027 8.457 1.529 1.520 2.342 2.335 
m5c159r2.htb 3.142 3.142 1.608 54.314 32.492 4.956 6.906 6.820 7.717 7.335 
m5c163r2.htb 3.510 3.181 3.612 38.969 133.205 300.000 1.197 1.470 4.512 3.947 
m5c164r3.htb 3.165 3.169 2.270 9.860 10.267 16.686 2.120 2.100 0.657 0.627 
m5c166r2.htb 3.294 3.319 4.002 56.333 184.215 28.675 3.729 3.705 0.607 0.241 
m5c167r2.htb 2.345 2.342 2.253 19.659 29.370 9.261 4.091 4.101 7.279 6.686 
m5c170r2.htb 3.131 3.144 3.600 3.913 3.915 4.305 1.211 1.159 1.902 1.901 

