FILE	            Coher	  repet	     u	   thr	   max	  min	 
m5c240r3.htb	   37	     10	   26.722	  -335.312	  -0.844	  0.233	  0.004	5.470433e-001	 
m5c241r3.htb	   37	      8	   23.505	  80.635	  0.869	  -0.307	  0.002	4.213697e-001	 
m5c243r3.htb	   37	     10	   267.020	  40.459	  0.276	  -0.619	  0.473	7.572245e-002	 
m5c243r3.htb	   37	      5	   70.074	  30.625	  0.627	  -0.660	  0.071	5.322886e-002	 
m5c246r4.htb	   37	      7	   51.653	  13.730	  0.497	  0.940	  0.174	1.642682e-004	 
m5c248r4.htb	   37	      5	   87.757	  51.800	  0.306	  0.272	  0.423	4.785863e-001	 
m5c248r5.htb	   37	     11	   -335.002	  21.111	  0.143	  0.873	  0.713	2.096778e-003	 
m5c248r6.htb	   37	     10	   89.124	  68.042	  -0.492	  0.742	  0.178	2.197052e-002	 
m5c251r4.htb	   37	      7	   -206.490	  24.314	  0.057	  0.587	  0.884	9.640640e-002	 
m5c252r4.htb	   37	      9	   103.404	  34.673	  -0.260	  -0.752	  0.500	1.942599e-002	 
m5c263r4.htb	   37	      6	   151.106	  26.747	  -0.383	  0.693	  0.309	3.839288e-002	 
m5c264r4.htb	   37	      5	   23.407	  127.845	  0.579	  -0.210	  0.102	5.878778e-001	 
m5c265r4.htb	   37	      5	   32.204	  52.309	  -0.587	  -0.075	  0.096	8.485288e-001	 
m5c278r4.htb	   37	      8	   31.576	  53.411	  -0.823	  0.471	  0.006	2.004172e-001	 
m5c280r4.htb	   37	     10	   340.822	  85.009	  -0.285	  0.364	  0.457	3.356607e-001	 
m5c282r4.htb	   37	      7	   52.963	  53.462	  0.733	  -0.473	  0.025	1.981520e-001	 
m5c284r4.htb	   37	     10	   339.059	  7.465	  -0.071	  -0.919	  0.856	4.647685e-004	 
m5c285r4.htb	   37	      9	   53.253	  16.816	  0.644	  -0.787	  0.061	1.192500e-002	 
m5c286r4.htb	   37	     12	   18.588	  26.391	  -0.912	  -0.946	  0.001	1.124420e-004	 
m5c623r5.htb	   38	      8	   2862.457	  9.052	  13.146	  0.021	  0.939	9.736600e-001	    0	   
m5c627r5.htb	   38	     10	   -249.608	  13.942	  33.163	  0.130	  0.864	8.344754e-001	    0	   
