FILE	 azimuth	 stim_type	 delta	 coherence	 bias	 bias_lower	 bias_upper	 thresh	 thresh_lower	 thresh_upper	 pct_correct	 num_reps	 norm_rev
m19c0r104.htb	90.000	2.000	0.000	96.000	-0.306	-0.788	0.017	1.094	0.762	1.719	0.864	20.000	AllTrials	
m19c0r104.htb	90.000	3.000	-12.000	24.000	0.324	-0.229	0.829	1.630	1.182	 NaN	0.843	20.000	AllTrials	
m19c0r104.htb	90.000	3.000	-12.000	96.000	3.875	3.543	4.024	0.555	 NaN	0.914	0.750	20.000	AllTrials	
m19c0r104.htb	90.000	3.000	0.000	24.000	-2.648	-3.696	-1.868	2.505	1.584	3.670	0.714	20.000	AllTrials	
m19c0r104.htb	90.000	3.000	0.000	96.000	0.010	-0.305	0.244	0.613	0.225	 NaN	0.936	20.000	AllTrials	
m19c0r104.htb	90.000	3.000	12.000	24.000	-7.335	-9.178	-5.961	3.223	2.417	 NaN	0.564	20.000	AllTrials	
m19c0r104.htb	90.000	3.000	12.000	96.000	-3.969	-3.999	-3.999	0.559	0.583	0.583	0.600	20.000	AllTrials	
m24c29r2.htb	90.000	1.000	0.000	15.000	-3.208	-5.442	-1.858	2.346	0.069	5.003	0.653	10.000	AllTrials	
m24c29r2.htb	90.000	2.000	0.000	15.000	0.572	-0.777	2.235	4.447	3.183	8.125	0.738	10.000	AllTrials	
m24c29r2.htb	90.000	2.000	0.000	60.000	0.398	-0.303	1.160	1.510	1.100	 NaN	0.886	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	-4.000	15.000	-4.324	 NaN	-3.563	2.299	1.499	 NaN	0.639	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	-4.000	60.000	2.063	1.022	3.179	1.989	1.138	3.714	0.843	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	0.000	15.000	-1.306	-2.519	-0.415	2.327	1.454	4.538	0.800	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	0.000	60.000	-0.265	-1.002	0.264	1.128	0.693	 NaN	0.871	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	4.000	15.000	-1.476	-3.010	-0.366	3.288	1.881	5.336	0.712	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	4.000	60.000	-1.652	-3.227	-1.146	1.271	0.498	 NaN	0.770	10.000	AllTrials	
m5c0r1047.htb	90.000	1.000	0.000	12.000	-0.355	-0.834	-0.001	1.179	0.868	 NaN	0.857	20.000	AllTrials	
m5c0r1047.htb	90.000	2.000	0.000	12.000	2.420	1.164	3.863	3.251	1.773	5.333	0.779	20.000	AllTrials	
m5c0r1047.htb	90.000	2.000	0.000	48.000	0.867	0.538	1.108	0.531	0.145	0.969	0.957	20.000	AllTrials	
m5c0r1047.htb	90.000	3.000	-4.000	12.000	-1.815	-2.591	-1.233	1.789	1.262	2.886	0.757	20.000	AllTrials	
m5c0r1047.htb	90.000	3.000	-4.000	48.000	0.110	0.096	0.096	0.267	0.256	0.256	0.943	20.000	AllTrials	
m5c0r1047.htb	90.000	3.000	0.000	12.000	0.787	0.400	1.231	1.004	0.700	 NaN	0.929	20.000	AllTrials	
m5c0r1047.htb	90.000	3.000	0.000	48.000	0.734	0.233	1.300	1.427	1.001	 NaN	0.879	20.000	AllTrials	
m5c0r1047.htb	90.000	3.000	4.000	12.000	1.958	1.257	2.458	1.190	0.812	2.035	0.879	20.000	AllTrials	
m5c0r1047.htb	90.000	3.000	4.000	48.000	0.857	0.501	1.109	0.673	0.360	1.114	0.943	20.000	AllTrials	
m24c29r2.htb	90.000	1.000	0.000	15.000	-3.208	-5.328	-1.811	2.346	0.161	5.090	0.653	10.000	AllTrials	
m24c29r2.htb	90.000	2.000	0.000	15.000	0.572	-0.863	2.198	4.447	3.124	8.201	0.738	10.000	AllTrials	
m24c29r2.htb	90.000	2.000	0.000	60.000	0.398	-0.285	1.146	1.510	1.118	 NaN	0.886	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	-4.000	15.000	-4.324	 NaN	-3.563	2.299	1.630	 NaN	0.639	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	-4.000	60.000	2.063	1.063	3.152	1.989	1.087	3.533	0.843	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	0.000	15.000	-1.306	-2.669	-0.465	2.327	1.406	4.335	0.800	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	0.000	60.000	-0.265	-0.921	0.264	1.128	0.725	 NaN	0.871	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	4.000	15.000	-1.476	-3.401	-0.486	3.288	2.024	6.428	0.712	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	4.000	60.000	-1.652	-2.991	-1.178	1.271	0.498	 NaN	0.770	10.000	AllTrials	
m24c29r2.htb	90.000	1.000	0.000	15.000	-3.208	-5.506	-1.916	2.346	0.300	5.110	0.653	10.000	AllTrials	
m24c29r2.htb	90.000	2.000	0.000	15.000	0.572	-0.794	2.337	4.447	3.076	 NaN	0.738	10.000	AllTrials	
m24c29r2.htb	90.000	2.000	0.000	60.000	0.398	-0.247	1.169	1.510	1.100	 NaN	0.886	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	-4.000	15.000	-4.324	-6.513	-3.514	2.299	1.630	 NaN	0.639	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	-4.000	60.000	2.063	1.181	3.437	1.989	1.116	3.658	0.843	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	0.000	15.000	-1.306	-2.471	-0.427	2.327	1.422	4.118	0.800	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	0.000	60.000	-0.265	-0.921	0.266	1.128	0.707	 NaN	0.871	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	4.000	15.000	-1.476	-3.182	-0.351	3.288	1.986	5.668	0.712	10.000	AllTrials	
m24c29r2.htb	90.000	3.000	4.000	60.000	-1.652	-2.979	-1.089	1.271	0.498	 NaN	0.770	10.000	AllTrials	
m24c21r2.htb	90.000	1.000	0.000	15.000	0.380	-0.576	1.349	3.143	2.019	4.631	0.782	17.000	AllTrials	
m24c21r2.htb	90.000	2.000	0.000	15.000	3.425	1.675	6.147	6.283	4.410	12.103	0.723	17.000	AllTrials	
m24c21r2.htb	90.000	2.000	0.000	60.000	0.503	0.015	0.872	0.779	0.502	 NaN	0.916	17.000	AllTrials	
m24c21r2.htb	90.000	3.000	-4.000	15.000	-2.181	-3.461	-1.354	2.905	2.060	5.239	0.739	17.000	AllTrials	
m24c21r2.htb	90.000	3.000	-4.000	60.000	2.459	1.554	2.924	1.105	0.470	1.835	0.857	17.000	AllTrials	
m24c21r2.htb	90.000	3.000	0.000	15.000	-0.246	-1.104	0.624	2.935	1.876	4.340	0.807	17.000	AllTrials	
m24c21r2.htb	90.000	3.000	0.000	60.000	0.287	-0.173	0.723	1.097	0.733	1.939	0.882	17.000	AllTrials	
m24c21r2.htb	90.000	3.000	4.000	15.000	0.599	-0.296	1.522	2.882	1.891	4.355	0.832	17.000	AllTrials	
m24c21r2.htb	90.000	3.000	4.000	60.000	-1.288	-1.793	-1.070	0.723	0.281	 NaN	0.782	17.000	AllTrials	
m24c36r2.htb	90.000	1.000	0.000	18.000	-0.283	-1.238	0.523	2.261	1.244	3.888	0.806	14.000	AllTrials	
m24c36r2.htb	90.000	2.000	0.000	18.000	0.884	-0.421	2.530	4.771	3.709	 NaN	0.714	14.000	AllTrials	
m24c36r2.htb	90.000	2.000	0.000	60.000	0.898	0.374	1.582	1.252	0.748	2.328	0.898	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	-4.000	18.000	-3.186	-4.546	-2.241	2.627	1.826	 NaN	0.684	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	-4.000	60.000	2.418	1.492	3.223	1.687	1.065	2.825	0.847	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	0.000	18.000	-2.800	-4.831	-1.687	3.890	2.732	 NaN	0.673	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	0.000	60.000	-0.098	-0.641	0.290	0.993	0.620	1.683	0.898	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	4.000	18.000	-0.273	-1.279	0.647	2.709	1.610	4.476	0.806	14.000	AllTrials	
m24c36r2.htb	90.000	3.000	4.000	60.000	-0.961	-1.396	-0.544	0.890	0.621	 NaN	0.816	14.000	AllTrials	
m24c36r2.htb	90.000	1.000	0.000	18.000	0.422	-0.568	1.629	2.586	1.343	4.696	0.814	10.000	AllTrials	
m24c36r2.htb	90.000	2.000	0.000	18.000	1.233	-0.176	3.754	4.883	3.472	 NaN	0.714	10.000	AllTrials	
m24c36r2.htb	90.000	2.000	0.000	60.000	1.112	0.368	2.008	1.517	0.865	 NaN	0.886	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	-4.000	18.000	-3.045	-4.739	-1.952	2.770	1.777	5.355	0.686	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	-4.000	60.000	2.738	1.697	3.924	2.040	1.180	3.533	0.829	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	0.000	18.000	-2.398	-4.900	-1.107	4.287	2.740	 NaN	0.671	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	0.000	60.000	-0.141	-0.921	0.350	1.147	0.691	 NaN	0.886	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	4.000	18.000	0.354	-0.845	1.629	3.188	1.774	5.249	0.814	10.000	AllTrials	
m24c36r2.htb	90.000	3.000	4.000	60.000	-0.722	-1.268	-0.246	0.836	0.380	1.829	0.843	10.000	AllTrials	
m19c0r105.htb	90.000	1.000	0.000	12.000	0.248	-1.138	1.823	5.940	4.285	 NaN	0.721	20.000	AllTrials	
m19c0r105.htb	90.000	2.000	0.000	12.000	2.688	1.865	4.184	3.243	2.460	 NaN	0.821	20.000	AllTrials	
m19c0r105.htb	90.000	2.000	0.000	96.000	0.718	0.357	1.205	1.033	0.698	 NaN	0.921	20.000	AllTrials	
m19c0r105.htb	90.000	3.000	-12.000	12.000	-0.209	-1.262	0.706	3.665	2.759	5.365	0.771	20.000	AllTrials	
m19c0r105.htb	90.000	3.000	-12.000	96.000	5.612	4.624	 NaN	2.011	1.338	 NaN	0.736	20.000	AllTrials	
m19c0r105.htb	90.000	3.000	0.000	12.000	2.177	1.089	3.637	3.752	2.420	5.656	0.764	20.000	AllTrials	
m19c0r105.htb	90.000	3.000	0.000	96.000	1.114	0.541	1.633	1.648	1.122	2.790	0.850	20.000	AllTrials	
m19c0r105.htb	90.000	3.000	12.000	12.000	1.713	1.088	2.514	1.777	1.066	3.193	0.836	20.000	AllTrials	
m19c0r105.htb	90.000	3.000	12.000	96.000	-3.451	-4.072	-3.349	0.381	 NaN	0.416	0.650	20.000	AllTrials	
m5c0r1048.htb	90.000	1.000	0.000	12.000	-0.294	-0.758	0.093	1.121	0.814	 NaN	0.857	20.000	AllTrials	
m5c0r1048.htb	90.000	2.000	0.000	12.000	3.966	2.570	6.915	5.346	3.331	8.899	0.693	20.000	AllTrials	
m5c0r1048.htb	90.000	2.000	0.000	24.000	1.075	0.434	1.723	1.915	1.407	3.355	0.836	20.000	AllTrials	
m5c0r1048.htb	90.000	3.000	-4.000	12.000	-0.991	-1.447	-0.661	0.922	0.643	 NaN	0.814	20.000	AllTrials	
m5c0r1048.htb	90.000	3.000	-4.000	24.000	-0.306	-0.709	0.003	0.899	0.592	1.458	0.879	20.000	AllTrials	
m5c0r1048.htb	90.000	3.000	0.000	12.000	0.484	0.044	0.685	0.715	0.473	1.279	0.943	20.000	AllTrials	
m5c0r1048.htb	90.000	3.000	0.000	24.000	0.556	0.156	1.034	1.205	0.871	 NaN	0.886	20.000	AllTrials	
m5c0r1048.htb	90.000	3.000	4.000	12.000	2.207	1.239	2.628	0.989	0.406	1.609	0.871	20.000	AllTrials	
m5c0r1048.htb	90.000	3.000	4.000	24.000	2.157	1.654	2.690	0.830	0.343	1.360	0.871	20.000	AllTrials	
m13c0r716.htb	90.000	1.000	0.000	20.000	-1.428	-2.343	-0.810	2.501	1.743	3.901	0.713	21.000	AllTrials	
m13c0r716.htb	90.000	2.000	0.000	20.000	2.292	1.566	3.607	2.805	2.071	4.621	0.788	21.000	AllTrials	
m13c0r716.htb	90.000	2.000	0.000	70.000	0.380	0.092	0.730	0.939	0.676	 NaN	0.866	21.000	AllTrials	
m13c0r716.htb	90.000	3.000	-3.000	20.000	-1.225	-1.957	-0.614	2.241	1.520	3.241	0.741	21.000	AllTrials	
m13c0r716.htb	90.000	3.000	-3.000	70.000	0.405	-0.033	0.847	1.495	0.963	2.393	0.787	21.000	AllTrials	
m13c0r716.htb	90.000	3.000	0.000	20.000	0.099	-0.278	0.602	1.240	0.739	2.059	0.824	21.000	AllTrials	
m13c0r716.htb	90.000	3.000	0.000	70.000	0.560	0.067	1.026	1.446	0.984	2.278	0.838	21.000	AllTrials	
m13c0r716.htb	90.000	3.000	3.000	20.000	1.337	0.596	2.588	3.428	2.677	 NaN	0.721	21.000	AllTrials	
m13c0r716.htb	90.000	3.000	3.000	70.000	-0.048	-0.480	0.324	1.297	0.839	2.126	0.853	21.000	AllTrials	
m13c0r718.htb	90.000	1.000	0.000	20.000	-1.061	-2.054	-0.279	2.672	1.606	4.306	0.736	20.000	AllTrials	
m13c0r718.htb	90.000	2.000	0.000	20.000	-0.989	-2.395	0.013	4.106	2.988	 NaN	0.743	20.000	AllTrials	
m13c0r718.htb	90.000	2.000	0.000	70.000	-0.147	-0.394	0.090	0.681	0.437	1.029	0.857	20.000	AllTrials	
m13c0r718.htb	90.000	3.000	-3.000	20.000	-1.408	-2.263	-0.829	2.004	1.353	3.456	0.686	20.000	AllTrials	
m13c0r718.htb	90.000	3.000	-3.000	70.000	-0.526	-1.142	-0.213	1.066	0.609	1.943	0.764	20.000	AllTrials	
m13c0r718.htb	90.000	3.000	0.000	20.000	-0.170	-0.967	0.778	3.018	1.954	4.904	0.693	20.000	AllTrials	
m13c0r718.htb	90.000	3.000	0.000	70.000	0.110	-0.317	0.545	1.315	0.860	2.163	0.857	20.000	AllTrials	
m13c0r718.htb	90.000	3.000	3.000	20.000	-0.145	-0.629	0.406	1.815	1.130	2.817	0.814	20.000	AllTrials	
m13c0r718.htb	90.000	3.000	3.000	70.000	-0.406	-0.826	-0.148	0.967	0.719	 NaN	0.821	20.000	AllTrials	
m13c0r719.htb	90.000	1.000	0.000	20.000	-0.429	-1.207	0.146	2.011	1.081	3.091	0.774	18.000	AllTrials	
m13c0r719.htb	90.000	2.000	0.000	20.000	2.713	-0.291	6.605	10.558	6.169	30.782	0.608	18.000	AllTrials	
m13c0r719.htb	90.000	2.000	0.000	70.000	0.235	-0.351	0.787	1.935	1.211	3.026	0.824	18.000	AllTrials	
m13c0r719.htb	90.000	3.000	-3.000	20.000	-0.262	-1.073	0.440	2.768	1.965	4.239	0.750	18.000	AllTrials	
m13c0r719.htb	90.000	3.000	-3.000	70.000	-0.093	-0.842	0.536	2.512	1.666	3.629	0.815	18.000	AllTrials	
m13c0r719.htb	90.000	3.000	0.000	20.000	0.832	0.164	1.611	2.447	1.642	3.628	0.812	18.000	AllTrials	
m13c0r719.htb	90.000	3.000	0.000	70.000	0.661	-0.076	1.408	2.583	1.804	3.866	0.756	18.000	AllTrials	
m13c0r719.htb	90.000	3.000	3.000	20.000	1.513	0.814	2.330	1.801	1.186	3.622	0.795	18.000	AllTrials	
m13c0r719.htb	90.000	3.000	3.000	70.000	0.956	0.398	1.608	1.857	1.243	3.144	0.819	18.000	AllTrials	
m13c0r720.htb	90.000	1.000	0.000	20.000	-0.342	-0.850	0.104	1.535	0.989	2.500	0.814	20.000	AllTrials	
m13c0r720.htb	90.000	2.000	0.000	20.000	2.943	0.634	6.645	9.045	5.743	24.720	0.607	20.000	AllTrials	
m13c0r720.htb	90.000	2.000	0.000	70.000	-0.227	-0.770	0.243	1.651	1.015	2.703	0.814	20.000	AllTrials	
m13c0r720.htb	90.000	3.000	-3.000	20.000	0.718	0.207	1.360	1.883	1.207	2.871	0.821	20.000	AllTrials	
m13c0r720.htb	90.000	3.000	-3.000	70.000	0.517	0.005	1.077	1.880	1.242	3.006	0.786	20.000	AllTrials	
m13c0r720.htb	90.000	3.000	0.000	20.000	1.885	1.267	2.464	1.490	1.037	2.373	0.814	20.000	AllTrials	
m13c0r720.htb	90.000	3.000	0.000	70.000	1.170	0.677	1.801	1.668	1.152	2.645	0.821	20.000	AllTrials	
m13c0r720.htb	90.000	3.000	3.000	20.000	3.166	2.415	4.220	1.836	0.919	2.923	0.736	20.000	AllTrials	
m13c0r720.htb	90.000	3.000	3.000	70.000	2.645	1.953	3.810	2.154	1.586	 NaN	0.771	20.000	AllTrials	
m13c0r721.htb	90.000	1.000	0.000	20.000	-0.173	-0.770	0.453	1.972	1.113	3.081	0.771	20.000	AllTrials	
m13c0r721.htb	90.000	2.000	0.000	20.000	2.131	1.293	3.890	3.473	2.222	5.955	0.714	20.000	AllTrials	
m13c0r721.htb	90.000	2.000	0.000	70.000	0.560	0.300	0.756	0.558	0.368	 NaN	0.914	20.000	AllTrials	
m13c0r721.htb	90.000	3.000	-3.000	20.000	-0.970	-1.672	-0.372	2.071	1.377	3.225	0.757	20.000	AllTrials	
m13c0r721.htb	90.000	3.000	-3.000	70.000	0.127	-0.281	0.554	1.343	0.853	2.383	0.836	20.000	AllTrials	
m13c0r721.htb	90.000	3.000	0.000	20.000	0.253	-0.272	0.846	2.038	1.451	3.220	0.814	20.000	AllTrials	
m13c0r721.htb	90.000	3.000	0.000	70.000	0.544	0.255	0.891	0.893	0.622	 NaN	0.871	20.000	AllTrials	
m13c0r721.htb	90.000	3.000	3.000	20.000	1.036	0.447	1.728	2.247	1.495	3.299	0.779	20.000	AllTrials	
m13c0r721.htb	90.000	3.000	3.000	70.000	0.098	-0.325	0.511	1.324	0.858	2.244	0.871	20.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	0.297	-0.638	1.207	3.203	2.238	4.841	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.366	-3.379	-0.477	4.139	2.903	7.114	0.698	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.244	-0.149	0.641	0.946	0.618	1.561	0.905	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-1.637	-2.598	-0.880	2.479	1.712	3.866	0.738	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	2.380	1.230	2.790	0.904	0.559	 NaN	0.857	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-0.739	-1.651	0.130	2.847	1.927	4.331	0.778	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.414	0.095	0.754	0.646	0.381	 NaN	0.944	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	0.109	-0.610	0.773	2.119	1.305	3.533	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-0.958	-1.526	-0.552	1.167	0.813	 NaN	0.817	18.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	0.297	-0.649	1.240	3.203	2.209	4.684	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.366	-2.907	-0.428	4.139	2.720	6.866	0.698	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.244	-0.155	0.571	0.946	0.557	1.501	0.905	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-1.637	-2.499	-0.861	2.479	1.732	4.034	0.738	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	2.380	1.230	2.920	0.904	0.559	 NaN	0.857	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-0.739	-1.732	0.004	2.847	1.829	4.238	0.778	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.414	0.090	0.707	0.646	0.299	1.194	0.944	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	0.109	-0.609	0.793	2.119	1.350	3.544	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-0.958	-1.488	-0.551	1.167	0.811	 NaN	0.817	18.000	AllTrials	
m24c37r2.htb	90.000	1.000	0.000	18.000	0.297	-0.661	1.229	3.203	2.163	4.609	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	18.000	-1.366	-3.091	-0.443	4.139	2.874	7.303	0.698	18.000	AllTrials	
m24c37r2.htb	90.000	2.000	0.000	60.000	0.244	-0.149	0.571	0.946	0.647	 NaN	0.905	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	18.000	-1.637	-2.553	-0.769	2.479	1.746	3.837	0.738	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	-4.000	60.000	2.380	1.230	2.920	0.904	0.559	 NaN	0.857	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	18.000	-0.739	-1.626	0.124	2.847	1.874	4.264	0.778	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	0.000	60.000	0.414	0.089	0.696	0.646	0.357	1.148	0.944	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	18.000	0.109	-0.586	0.774	2.119	1.334	3.478	0.825	18.000	AllTrials	
m24c37r2.htb	90.000	3.000	4.000	60.000	-0.958	-1.490	-0.549	1.167	0.816	 NaN	0.817	18.000	AllTrials	
m24c38r2.htb	90.000	1.000	0.000	16.000	0.112	-0.933	1.150	3.952	3.064	6.765	0.750	20.000	AllTrials	
m24c38r2.htb	90.000	2.000	0.000	16.000	-1.797	-5.157	-0.165	8.050	5.020	14.149	0.657	20.000	AllTrials	
m24c38r2.htb	90.000	2.000	0.000	60.000	0.428	-0.193	1.042	2.004	1.306	3.334	0.850	20.000	AllTrials	
m24c38r2.htb	90.000	3.000	-4.000	16.000	-2.916	-3.938	-2.193	2.014	1.282	3.038	0.686	20.000	AllTrials	
m24c38r2.htb	90.000	3.000	-4.000	60.000	2.278	1.556	2.922	1.381	0.920	2.287	0.857	20.000	AllTrials	
m24c38r2.htb	90.000	3.000	0.000	16.000	-1.865	-2.938	-1.025	2.907	2.080	4.522	0.721	20.000	AllTrials	
m24c38r2.htb	90.000	3.000	0.000	60.000	0.676	0.237	1.156	1.082	0.679	1.882	0.893	20.000	AllTrials	
m24c38r2.htb	90.000	3.000	4.000	16.000	-0.728	-1.686	0.055	3.039	2.155	4.443	0.779	20.000	AllTrials	
m24c38r2.htb	90.000	3.000	4.000	60.000	-1.597	-2.513	-1.267	1.128	0.719	 NaN	0.771	20.000	AllTrials	
m24c41r2.htb	90.000	1.000	0.000	16.000	-0.448	-1.267	0.305	2.168	1.332	3.769	0.857	15.000	AllTrials	
m24c41r2.htb	90.000	2.000	0.000	16.000	-0.311	-1.330	1.019	3.426	2.066	5.967	0.762	15.000	AllTrials	
m24c41r2.htb	90.000	2.000	0.000	60.000	0.056	-0.586	0.736	1.762	1.260	 NaN	0.819	15.000	AllTrials	
m24c41r2.htb	90.000	3.000	-4.000	16.000	-3.351	-3.729	-2.552	1.199	0.384	 NaN	0.648	15.000	AllTrials	
m24c41r2.htb	90.000	3.000	-4.000	60.000	2.220	1.230	2.875	1.442	0.963	 NaN	0.857	15.000	AllTrials	
m24c41r2.htb	90.000	3.000	0.000	16.000	-1.739	-2.925	-0.882	2.855	1.887	4.617	0.762	15.000	AllTrials	
m24c41r2.htb	90.000	3.000	0.000	60.000	-0.132	-0.614	0.268	0.945	0.364	1.548	0.895	15.000	AllTrials	
m24c41r2.htb	90.000	3.000	4.000	16.000	0.051	-0.535	0.604	1.558	1.201	 NaN	0.857	15.000	AllTrials	
m24c41r2.htb	90.000	3.000	4.000	60.000	-2.093	-3.090	-1.461	1.103	0.424	 NaN	0.733	15.000	AllTrials	
m24c41r2.htb	90.000	1.000	0.000	16.000	-0.433	-1.294	0.249	2.366	1.479	3.880	0.849	17.000	AllTrials	
m24c41r2.htb	90.000	2.000	0.000	16.000	-0.526	-1.468	0.715	3.268	2.003	4.975	0.756	17.000	AllTrials	
m24c41r2.htb	90.000	2.000	0.000	60.000	-0.028	-0.609	0.533	1.643	1.204	 NaN	0.824	17.000	AllTrials	
m24c41r2.htb	90.000	3.000	-4.000	16.000	-3.328	-4.038	-2.660	1.290	0.464	 NaN	0.647	17.000	AllTrials	
m24c41r2.htb	90.000	3.000	-4.000	60.000	1.997	1.210	2.594	1.531	0.978	2.532	0.866	17.000	AllTrials	
m24c41r2.htb	90.000	3.000	0.000	16.000	-2.034	-3.063	-1.231	2.519	1.601	4.045	0.748	17.000	AllTrials	
m24c41r2.htb	90.000	3.000	0.000	60.000	-0.276	-0.783	0.070	0.994	0.614	1.502	0.882	17.000	AllTrials	
m24c41r2.htb	90.000	3.000	4.000	16.000	-0.040	-0.641	0.516	1.640	1.236	 NaN	0.840	17.000	AllTrials	
m24c41r2.htb	90.000	3.000	4.000	60.000	-2.112	-2.965	-1.388	1.049	0.227	1.743	0.731	17.000	AllTrials	
m24c43r3.htb	90.000	1.000	0.000	18.000	-0.665	-1.887	0.165	2.808	1.605	4.312	0.773	17.000	AllTrials	
m24c43r3.htb	90.000	2.000	0.000	18.000	-1.826	-3.103	-0.908	3.330	2.213	5.373	0.748	17.000	AllTrials	
m24c43r3.htb	90.000	2.000	0.000	60.000	-0.394	-1.133	0.226	1.936	1.246	 NaN	0.790	17.000	AllTrials	
m24c43r3.htb	90.000	3.000	-4.000	18.000	-2.581	-3.629	-1.794	2.323	1.620	3.756	0.697	17.000	AllTrials	
m24c43r3.htb	90.000	3.000	-4.000	60.000	1.760	1.153	2.402	1.400	0.909	2.394	0.882	17.000	AllTrials	
m24c43r3.htb	90.000	3.000	0.000	18.000	-0.836	-1.623	-0.179	1.916	1.012	3.147	0.790	17.000	AllTrials	
m24c43r3.htb	90.000	3.000	0.000	60.000	0.033	-0.326	0.333	0.786	0.297	 NaN	0.916	17.000	AllTrials	
m24c43r3.htb	90.000	3.000	4.000	18.000	0.793	0.003	1.478	2.204	1.459	3.786	0.874	17.000	AllTrials	
m24c43r3.htb	90.000	3.000	4.000	60.000	-1.096	-1.580	-0.753	0.934	0.542	 NaN	0.807	17.000	AllTrials	
m24c49r2.htb	90.000	1.000	0.000	18.000	-2.813	-4.329	-1.796	2.427	1.138	4.252	0.699	10.000	AllTrials	
m24c49r2.htb	90.000	2.000	0.000	18.000	-1.787	-3.833	-0.610	4.242	2.911	 NaN	0.723	10.000	AllTrials	
m24c49r2.htb	90.000	2.000	0.000	60.000	-0.280	-1.316	0.579	2.369	1.293	4.248	0.744	10.000	AllTrials	
m24c49r2.htb	90.000	3.000	-4.000	18.000	-2.923	-3.529	-1.695	1.119	0.256	3.391	0.671	10.000	AllTrials	
m24c49r2.htb	90.000	3.000	-4.000	60.000	1.802	1.049	2.915	1.311	0.317	3.161	0.861	10.000	AllTrials	
m24c49r2.htb	90.000	3.000	0.000	18.000	-2.299	-3.775	-1.387	2.472	1.615	4.673	0.753	10.000	AllTrials	
m24c49r2.htb	90.000	3.000	0.000	60.000	0.084	-0.396	0.426	0.715	0.284	 NaN	0.909	10.000	AllTrials	
m24c49r2.htb	90.000	3.000	4.000	18.000	-1.216	-2.658	-0.336	2.271	0.936	4.251	0.760	10.000	AllTrials	
m24c49r2.htb	90.000	3.000	4.000	60.000	-1.858	-1.834	-1.834	0.423	0.406	0.406	0.740	10.000	AllTrials	
m24c52r2.htb	90.000	1.000	0.000	18.000	-1.584	-3.940	-0.263	3.738	1.871	7.534	0.734	8.000	AllTrials	
m24c52r2.htb	90.000	2.000	0.000	18.000	0.032	0.032	0.160	2.555	2.555	2.786	0.766	8.000	AllTrials	
