FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m2c65r3.htb	 0.157	 
m2c69r3.htb	 0.763	 
m2c74r3.htb	 -0.082	 
m2c75r3.htb	 0.489	 
m2c76r3.htb	 0.442	 
m2c80r3.htb	 0.096	 
m2c85r3.htb	 0.859	 
m2c88r3.htb	 0.388	 
m2c89r3.htb	 0.592	 
m2c95r3.htb	 0.094	 
m2c96r3.htb	 0.252	 
m2c104r3.htb	 0.335	 
m2c105r3.htb	 0.441	 
m2c107r3.htb	 0.914	 
m2c108r3.htb	 0.554	 
m2c111r3.htb	 0.624	 
m2c117r3.htb	 0.627	 
m2c118r3.htb	 0.558	 
m2c122r3.htb	 0.372	 
m2c123r3.htb	 0.007	 
m2c124r3.htb	 0.303	 
m2c132r3.htb	 0.744	 
m2c201r3.htb	 0.755	 
m2c207r3.htb	 0.420	 
m2c209r3.htb	 0.656	 
m2c215r7.htb	 0.535	 
m2c218r3.htb	 0.213	 
m2c219r3.htb	 0.785	 
m2c225r3.htb	 0.197	 
m2c227r3.htb	 0.755	 
m2c229r3.htb	 0.468	 
m2c232r3.htb	 0.022	 
m2c234r3.htb	 0.407	 
m2c235r3.htb	 0.557	 
m2c251r3.htb	 0.869	 
m2c257r3.htb	 0.775	 
m2c265r3.htb	 -0.006	 
m2c362r3.htb	 0.690	 
m2c367r3.htb	 0.593	 
m2c371r3.htb	 0.518	 
m2c386r3.htb	 0.630	 
m2c387r3.htb	 0.764	 
m2c415r3.htb	 0.446	 
m2c440r3.htb	 0.831	 
m5c23r3.htb	 0.404	 
m5c26r3.htb	 0.532	 
m5c27r3.htb	 0.888	 
m5c33r3.htb	 0.563	 
m5c43r3.htb	 0.703	 
m5c45r3.htb	 0.197	 
m5c47r3.htb	 0.242	 
m5c51r3.htb	 0.894	 
m5c53r3.htb	 0.172	 
m5c57r3.htb	 0.646	 
m5c58r3.htb	 0.841	 
m5c59r3.htb	 0.872	 
m5c62r3.htb	 0.718	 
m5c65r3.htb	 0.814	 
m5c88r3.htb	 0.873	 
m5c90r3.htb	 0.852	 
m5c93r3.htb	 0.256	 
m5c98r3.htb	 0.870	 
m5c99r3.htb	 0.819	 
m5c104r3.htb	 0.532	 
m5c112r3.htb	 0.574	 
m5c116r3.htb	 0.781	 
m5c214r3.htb	 0.442	 
m5c216r2.htb	 0.194	 
m5c220r2.htb	 0.746	 
m5c242r2.htb	 0.788	 
m2c432r3.htb	 0.788	 
m2c436r3.htb	 0.709	 
m5c178r2.htb	 -0.478	 
m5c179r2.htb	 0.292	 
m5c180r2.htb	 0.567	 
m5c181r2.htb	 0.823	 
m5c182r2.htb	 0.187	 
m5c183r2.htb	 0.713	 
m5c185r2.htb	 -0.063	 
m5c186r2.htb	 0.327	 
m5c188r2.htb	 0.413	 
m5c189r2.htb	 0.205	 
m5c190r3.htb	 0.353	 
m5c192r4.htb	 0.428	 
m5c192r5.htb	 0.766	 
m5c194r3.htb	 -0.264	 
m5c197r2.htb	 0.519	 
m5c198r2.htb	 0.412	 
m5c200r2.htb	 0.179	 
m5c201r3.htb	 -0.177	 
m5c202r2.htb	 0.774	 
m5c204r2.htb	 -0.278	 
m5c205r2.htb	 0.764	 
m5c206r2.htb	 0.138	 
m5c207r2.htb	 0.652	 
m5c209r2.htb	 0.506	 
m5c210r2.htb	 0.749	 
m5c211r2.htb	 0.562	 
m5c212r2.htb	 0.188	 
m5c213r2.htb	 0.378	 
m5c217r2.htb	 0.657	 
m5c219r2.htb	 0.449	 
m5c221r2.htb	 0.528	 
m5c222r2.htb	 0.474	 
m5c226r2.htb	 0.685	 
m5c228r2.htb	 0.805	 
m5c229r2.htb	 0.094	 
m5c236r2.htb	 0.546	 
m5c239r2.htb	 0.323	 
m5c240r2.htb	 0.257	 
m5c241r2.htb	 0.709	 
m5c243r2.htb	 0.857	 
m5c246r2.htb	 0.269	 
m5c248r2.htb	 0.736	 
m5c250r2.htb	 0.251	 
m5c251r2.htb	 0.755	 
m5c252r2.htb	 0.269	 
m5c254r2.htb	 0.180	 
m5c262r2.htb	 0.630	 
m5c263r2.htb	 0.205	 
m5c264r2.htb	 0.819	 
m5c265r2.htb	 0.363	 
m5c275r2.htb	 0.750	 
m5c277r2.htb	 -0.466	 
m5c278r2.htb	 0.630	 
m5c280r2.htb	 0.542	 
m5c282r2.htb	 0.593	 
m5c284r2.htb	 0.877	 
m5c285r2.htb	 0.828	 
m5c286r2.htb	 0.884	 
