FILE	         theshold	 CP	 Rfiring	 Rdfttrial	 Rdftmean	 phase	 ratio	
m2c160r2.htb 5.115 3.719 0.566 0.614 0.354 0.388 0.951 -0.901 0.000 0.001 
m2c161r2.htb 207.517 16.345 0.397 0.418 0.034 0.038 0.035 -0.536 0.930 0.137 
m2c162r2.htb 12.731 14.693 0.584 0.454 0.074 0.054 -0.831 0.739 0.006 0.023 
m2c163r2.htb 43.906 21.667 0.441 0.520 0.146 0.108 0.394 -0.601 0.294 0.087 
m2c168r3.htb 300.000 28.022 0.521 0.510 0.848 0.742 0.179 -0.425 0.644 0.255 
m2c170r2.htb 43.165 5.239 0.563 0.499 0.388 0.416 -0.342 -0.818 0.367 0.007 
m2c172r2.htb 6.200 4.249 0.414 0.574 0.162 0.172 0.895 -0.902 0.001 0.001 
m2c174r2.htb 5.354 57.967 0.492 0.401 0.848 0.862 -0.956 -0.146 0.000 0.708 
m2c175r2.htb 18.864 36.320 0.561 0.588 0.468 0.458 0.860 -0.535 0.003 0.138 
m2c176r2.htb 31.316 27.224 0.514 0.487 0.900 0.856 0.330 -0.352 0.386 0.352 
m2c177r2.htb 26.148 31.313 0.518 0.540 0.690 0.716 -0.502 0.573 0.168 0.107 
m2c178r2.htb 48.043 16.766 0.473 0.483 0.596 0.594 0.421 0.748 0.259 0.021 
m2c179r2.htb 8.435 10.831 0.622 0.689 0.034 0.042 0.713 -0.652 0.031 0.057 
m2c180r2.htb 120.201 23.832 0.510 0.400 0.842 0.864 -0.014 -0.690 0.971 0.040 
m2c181r2.htb 2.714 3.827 0.474 0.452 0.526 0.504 -0.966 0.968 0.000 0.000 
m2c182r2.htb 9.381 27.575 0.606 0.581 0.008 0.004 0.947 -0.723 0.000 0.028 
m2c183r2.htb 5.337 24.758 0.570 0.432 0.286 0.286 -0.974 -0.648 0.000 0.059 
m2c184r2.htb 4.764 13.820 0.538 0.504 0.378 0.394 -0.965 -0.820 0.000 0.007 
m2c185r2.htb 2.017 3.663 0.562 0.427 0.116 0.108 0.993 0.980 0.000 0.000 
m2c186r2.htb 300.000 32.437 0.395 0.443 0.044 0.052 0.020 0.190 0.959 0.625 
m2c187r2.htb 300.000 31.629 0.569 0.474 0.160 0.170 0.016 -0.452 0.968 0.221 
m2c189r2.htb 23.840 53.042 0.555 0.475 0.410 0.404 0.714 0.422 0.031 0.257 
m2c190r2.htb 25.606 45.855 0.505 0.532 0.862 0.878 0.829 -0.510 0.006 0.161 
m2c191r2.htb 11.080 13.631 0.557 0.490 0.214 0.184 0.807 0.783 0.009 0.013 
m2c193r2.htb 49.823 19.964 0.415 0.412 0.016 0.022 -0.440 0.786 0.236 0.012 
m2c195r2.htb 300.000 31.554 0.459 0.557 0.434 0.398 -0.315 0.584 0.410 0.099 
m2c196r3.htb 2.334 4.020 0.638 0.638 0.024 0.022 0.972 -0.962 0.000 0.000 
m2c197r2.htb 5.682 10.156 0.528 0.544 0.490 0.476 0.906 -0.852 0.001 0.004 
m2c198r2.htb 7.438 10.709 0.523 0.579 0.728 0.754 0.710 -0.729 0.032 0.026 
m2c199r2.htb 9.311 123.089 0.607 0.381 0.036 0.060 -0.809 -0.160 0.008 0.682 
m2c200r2.htb 5.826 14.256 0.528 0.527 0.614 0.620 0.902 0.708 0.001 0.033 
m2c202r2.htb 25.614 300.000 0.581 0.490 0.126 0.126 -0.597 0.083 0.090 0.832 
m2c214r2.htb 9.212 13.227 0.686 0.547 0.006 0.000 -0.870 -0.689 0.002 0.040 
m2c220r2.htb 15.840 12.938 0.564 0.535 0.356 0.348 0.730 0.663 0.026 0.051 
m2c221r2.htb 9.496 16.868 0.508 0.427 0.834 0.846 0.814 0.683 0.008 0.043 
m2c223r2.htb 13.776 22.372 0.515 0.533 0.750 0.852 0.814 0.599 0.008 0.088 
m2c226r2.htb 3.205 3.740 0.563 0.596 0.130 0.162 0.886 -0.870 0.001 0.002 
m2c231r2.htb 12.132 35.680 0.488 0.459 0.856 0.786 0.750 0.302 0.020 0.430 
m2c233r2.htb 300.000 300.000 0.480 0.379 0.692 0.812 0.177 -0.054 0.648 0.891 
m2c236r2.htb 4.056 3.133 0.650 0.667 0.002 0.000 -0.923 0.896 0.000 0.001 
m2c237r2.htb 18.158 23.039 0.552 0.521 0.212 0.222 -0.856 0.840 0.003 0.005 
m2c240r2.htb 47.402 24.646 0.584 0.432 0.056 0.096 -0.274 -0.534 0.476 0.139 
m2c241r2.htb 300.000 300.000 0.508 0.534 0.998 0.932 -0.215 0.222 0.579 0.565 
m2c242r2.htb 4.777 5.193 0.536 0.481 0.586 0.606 -0.926 0.871 0.000 0.002 
m2c244r2.htb 28.195 19.997 0.657 0.718 0.036 0.024 0.401 -0.507 0.285 0.164 
m2c247r2.htb 12.694 86.103 0.523 0.479 0.772 0.784 -0.784 0.140 0.012 0.719 
m2c252r2.htb 11.279 84.107 0.491 0.457 0.894 0.806 -0.750 0.320 0.020 0.401 
m2c254r2.htb 4.828 8.722 0.564 0.514 0.132 0.122 0.973 0.980 0.000 0.000 
m2c258r2.htb 300.000 48.870 0.426 0.580 0.080 0.078 -0.147 -0.190 0.707 0.625 
m2c260r2.htb 14.655 16.873 0.560 0.554 0.246 0.236 -0.835 -0.799 0.005 0.010 
m2c262r2.htb 31.905 15.888 0.557 0.608 0.140 0.116 -0.446 0.757 0.229 0.018 
m2c364r2.htb 16.107 14.854 0.463 0.490 0.444 0.422 -0.755 0.878 0.019 0.002 
m2c365r2.htb 74.361 71.810 0.491 0.476 0.886 0.886 0.158 -0.386 0.684 0.306 
