FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c101r2.htb 15.000 32.000 -0.428 -0.262 -0.467 1.313 1.188 1.101 15.477 -1.702 0.348 238.954 65.443 78.572 0.524 0.429 0.601 0.648 0.168 0.044 0.000 0.000 0.106 0.069 -0.574 -0.629 -0.913 0.275 0.475 
m2c103r2.htb 15.000 32.000 -0.770 -2.094 -0.045 1.419 1.465 0.969 9.581 -1.027 489.515 27.335 18.851 300.000 0.527 0.608 0.557 0.628 0.078 0.336 180.000 180.000 0.015 0.000 -0.771 0.966 0.075 -0.758 0.018 
m2c103r2.htb 15.000 32.000 -0.770 -2.094 -0.045 1.419 1.465 0.969 9.581 -1.027 489.515 27.335 18.851 300.000 0.527 0.608 0.557 0.616 0.084 0.298 180.000 180.000 0.015 0.000 -0.771 0.966 0.075 -0.758 0.018 
m2c110r2.htb 15.000 38.000 -0.457 -0.216 -0.371 1.563 1.058 0.846 2.344 -0.959 0.089 30.931 9.987 9.428 0.563 0.504 0.533 0.132 0.928 0.518 180.000 180.000 0.080 0.009 0.612 -0.806 -0.932 -0.178 0.646 
m2c116r2.htb 15.000 30.000 -0.449 0.760 -0.232 0.932 1.001 1.160 -4.280 -0.359 0.367 31.175 2.062 3.558 0.585 0.613 0.560 0.098 0.070 0.234 0.000 0.000 0.010 0.000 0.800 0.988 0.992 0.809 0.008 
m2c119r2.htb 15.000 34.000 0.021 -0.300 -0.249 1.320 0.760 1.106 5.165 11.071 5.297 190.266 60.772 173.730 0.488 0.543 0.467 0.756 0.508 0.494 180.000 0.000 0.781 0.070 -0.108 0.628 -0.215 0.279 0.467 
m2c121r2.htb 15.000 29.000 0.272 -0.229 0.129 1.037 0.814 0.941 -0.390 -0.190 3.744 106.646 39.763 25.051 0.469 0.624 0.467 0.566 0.098 0.564 0.000 0.000 0.279 0.170 -0.405 -0.500 -0.496 0.256 0.505 
m2c125r2.htb 15.000 24.000 -1.350 -0.189 -1.059 1.886 1.129 1.683 7.042 0.777 1.157 57.081 6.295 7.798 0.471 0.514 0.402 0.562 0.842 0.196 0.000 0.000 0.075 0.000 0.620 0.979 0.975 0.531 0.141 
m2c126r2.htb 13.000 29.000 -0.231 0.549 -0.354 1.305 0.993 1.324 -1.108 -13.091 1.372 58.216 35.429 18.065 0.472 0.509 0.543 0.552 0.832 0.436 0.000 0.000 0.240 0.297 0.437 0.392 0.891 0.391 0.298 
m2c127r2.htb 13.000 21.000 0.278 -0.381 0.268 1.030 0.845 0.874 3.293 0.022 0.144 20.634 2.069 3.918 0.615 0.584 0.672 0.226 0.348 0.002 0.000 0.000 0.004 0.000 0.845 0.991 0.996 0.833 0.005 
m2c128r2.htb 11.000 35.000 0.526 -0.169 0.359 1.136 1.070 1.016 0.039 0.158 -0.566 14.473 2.230 2.965 0.575 0.603 0.574 0.116 0.042 0.148 0.000 0.000 0.000 0.000 0.920 0.992 0.997 0.926 0.000 
m2c129r2.htb 13.000 30.000 0.147 0.224 0.030 1.118 0.822 1.219 5.653 1.876 0.567 33.424 6.509 7.581 0.599 0.649 0.588 0.070 0.034 0.118 0.000 0.000 0.011 0.002 -0.794 -0.870 -0.949 0.926 0.000 
m2c130r2.htb 13.000 36.000 0.333 0.382 0.412 0.904 0.957 0.908 0.036 2.292 -1.493 14.459 10.765 15.507 0.629 0.603 0.472 0.004 0.064 0.592 0.000 0.000 0.001 0.001 -0.898 -0.910 -0.848 0.894 0.001 
m2c131r2.htb 13.000 34.000 0.152 0.098 -0.067 1.152 0.724 1.017 0.275 1.574 0.326 23.290 9.019 9.715 0.642 0.551 0.503 0.004 0.362 0.958 0.000 0.000 0.002 0.004 -0.873 -0.848 -0.977 0.799 0.010 
m2c134r2.htb 13.000 30.000 -0.337 -0.753 -0.519 1.379 1.310 1.065 0.385 4.875 2.057 18.492 25.355 31.474 0.438 0.586 0.369 0.244 0.096 0.008 180.000 0.000 0.000 0.088 0.936 -0.599 0.839 -0.609 0.082 
m2c135r2.htb 13.000 30.000 -0.286 -0.012 -0.080 1.117 0.834 0.813 -0.623 7.800 -0.046 10.530 15.129 15.244 0.502 0.606 0.421 0.924 0.082 0.174 180.000 0.000 0.000 0.026 0.988 -0.729 0.911 -0.689 0.040 
m2c137r2.htb 13.000 20.000 0.339 -0.366 -0.045 0.978 0.916 1.184 -0.783 0.050 3.231 5.550 12.031 6.365 0.578 0.563 0.576 0.398 0.494 0.292 0.000 0.000 0.001 0.002 -0.898 -0.873 -0.863 0.956 0.000 
m2c138r2.htb 13.000 23.000 0.385 -0.008 0.670 1.516 1.113 1.441 -6.710 8.390 0.416 45.595 87.242 35.855 0.417 0.405 0.478 0.138 0.130 0.762 0.000 0.000 0.021 0.023 0.746 0.737 0.948 0.234 0.545 
m2c139r2.htb 13.000 29.000 -0.496 0.208 -0.118 1.030 0.860 1.090 -22.975 2.022 5.790 111.295 14.172 21.653 0.511 0.475 0.480 0.820 0.740 0.748 0.000 0.000 0.387 0.000 0.329 0.944 0.849 0.347 0.361 
m2c140r2.htb 13.000 30.000 -0.843 -0.063 -0.605 1.072 1.114 1.192 0.795 -0.075 0.233 3.904 2.219 3.029 0.677 0.572 0.591 0.000 0.198 0.072 0.000 0.000 0.000 0.000 0.983 0.958 0.991 0.969 0.000 
m2c141r2.htb 13.000 35.000 -0.295 -0.022 0.586 1.016 0.977 1.319 -1.120 -59.829 -1.157 12.551 249.582 11.999 0.584 0.533 0.554 0.076 0.512 0.288 180.000 0.000 0.001 0.611 0.898 -0.197 0.954 -0.552 0.123 
m2c143r2.htb 13.000 32.000 -0.458 0.530 0.270 1.165 0.926 1.198 4.587 0.772 2.452 42.485 8.428 11.456 0.610 0.578 0.647 0.036 0.144 0.006 0.000 0.000 0.029 0.000 -0.718 -0.926 -0.934 0.722 0.028 
m2c144r2.htb 13.000 23.000 -0.318 0.194 0.499 0.942 0.913 1.033 2.655 1.998 0.258 14.058 8.549 6.750 0.631 0.392 0.546 0.038 0.100 0.456 0.000 0.000 0.002 0.005 -0.884 -0.833 -0.924 0.868 0.002 
m2c145r2.htb 13.000 20.000 -0.158 -0.211 0.481 0.861 0.928 0.863 -1.190 0.120 0.704 11.354 6.476 7.125 0.561 0.510 0.692 0.414 0.866 0.008 0.000 0.000 0.001 0.000 -0.889 -0.974 -0.926 0.823 0.006 
m2c148r2.htb 13.000 26.000 -0.084 -0.557 0.346 1.117 1.053 0.947 -0.518 -0.002 3.193 39.912 13.098 21.495 0.516 0.543 0.572 0.792 0.474 0.340 0.000 0.000 0.053 0.001 -0.661 -0.896 -0.871 0.725 0.027 
