FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m2c163r2.htb	 110.243	 20.900	 30.626	 0.512	 0.700	 0.914	 0.100	 0.102	 0.089	 
m2c170r2.htb	 20.864	 26.765	 300.000	 0.732	 0.828	 0.664	 0.436	 0.257	 0.315	 
m2c172r2.htb	 42.310	 29.402	 227.481	 -0.739	 -0.957	 -0.599	 0.215	 0.071	 0.133	 
m2c174r2.htb	 90.020	 85.648	 300.000	 0.559	 -0.247	 0.129	 -0.085	 -0.102	 -0.305	 
m2c175r2.htb	 25.888	 38.679	 13.131	 0.135	 0.294	 0.540	 0.411	 0.519	 0.525	 
m2c176r2.htb	 28.819	 120.838	 22.793	 0.901	 0.725	 0.888	 0.526	 0.622	 0.447	 
m2c177r2.htb	 71.114	 64.802	 120.446	 0.536	 0.825	 0.665	 0.686	 0.582	 0.615	 
m2c178r2.htb	 11.968	 5.288	 1.491	 -0.860	 0.865	 0.863	 0.243	 0.279	 0.310	 
m2c179r2.htb	 300.000	 300.000	 131.884	 -0.538	 -0.104	 0.314	 0.084	 0.114	 0.087	 
m2c180r2.htb	 300.000	 300.000	 18.109	 0.540	 -0.428	 0.814	 0.327	 0.278	 0.303	 
m2c181r2.htb	 13.045	 14.058	 11.327	 0.990	 0.972	 0.937	 0.400	 0.376	 0.355	 
m2c182r2.htb	 36.599	 194.613	 300.000	 0.648	 0.578	 0.011	 0.112	 0.069	 0.026	 
m2c183r2.htb	 9.069	 11.981	 15.180	 -0.852	 0.682	 -0.717	 0.022	 -0.099	 -0.059	 
m2c184r2.htb	 20.986	 21.842	 22.550	 0.852	 0.072	 0.939	 0.160	 -0.085	 -0.011	 
m2c185r2.htb	 14.802	 25.039	 10.178	 -0.777	 -0.755	 -0.744	 -0.203	 0.137	 -0.009	 
m2c186r2.htb	 215.283	 34.158	 41.774	 0.857	 0.690	 0.787	 0.274	 0.171	 0.221	 
m2c187r2.htb	 300.000	 227.481	 81.392	 0.111	 -0.548	 -0.137	 0.157	 0.176	 -0.048	 
m2c189r2.htb	 300.000	 65.492	 63.607	 0.765	 0.614	 0.436	 0.232	 0.386	 0.127	 
m2c190r2.htb	 47.950	 6.876	 7.447	 0.420	 0.984	 0.993	 0.188	 0.205	 0.109	 
