FILE	       10_bias	 20_bias	 30_bias	 10_thresh	 20_thresh	 30_thresh	 11_bias	 21_bias	 31_bias	 11_thresh	 21_thresh	 31_thresh	 1_shfit_p	 2_shfit_p	 3_shfit_p	 1_slope_p	 2_slope_p	 3_slope_p	
m5c391r3.htb 5.980 10.030 3.844 
m5c398r3.htb 2.302 9.379 3.717 
m5c405r3.htb 1.889 3.524 2.499 
m5c410r3.htb 0.479 -1.726 -0.475 
m5c414r3.htb -0.942 -1.304 -0.481 
m5c419r3.htb 1.323 0.587 0.397 
m5c426r3.htb 0.912 7.766 1.388 
m5c431r3.htb 0.248 -2.066 0.466 
m5c445r3.htb -0.668 0.200 -0.276 
m5c453r3.htb 0.109 0.876 -0.482 
m5c457r3.htb 0.589 0.022 0.607 
m5c463r3.htb 0.323 0.018 0.609 
m5c467r3.htb 0.389 1.125 0.025 
m5c471r3.htb -0.370 -0.735 -0.497 
m5c475r3.htb 0.610 0.885 0.102 
m5c479r3.htb 0.470 0.037 -0.648 
m5c482r3.htb 0.620 0.346 0.546 
m5c486r3.htb 1.990 2.776 0.690 
m5c490r3.htb 0.304 2.233 0.358 
m5c494r3.htb -0.258 0.692 0.303 
m5c498r3.htb 0.428 -0.122 0.184 
m5c504r3.htb 1.487 0.974 -0.055 
m5c508r3.htb 0.270 1.562 1.129 
m5c513r3.htb 0.197 -2.444 -0.863 
m5c518r3.htb -0.415 0.247 -0.716 
m5c522r3.htb 0.161 0.958 0.117 
m5c526r3.htb 0.330 2.771 0.603 
m5c531r3.htb 0.402 0.538 -0.094 
m5c536r3.htb 0.048 0.878 -0.136 
m5c540r3.htb 0.233 0.583 0.063 
m5c544r3.htb -0.097 1.074 0.712 
m5c548r3.htb 0.483 -1.207 1.064 
m5c552r3.htb 0.744 -1.581 -0.278 
m5c556r3.htb -0.141 -0.565 1.261 
m5c561r3.htb -0.615 0.439 -0.328 
m5c565r3.htb -0.441 -1.468 0.266 
m5c568r3.htb 0.332 0.416 -0.314 
m5c574r3.htb -0.494 -2.440 -0.224 
m5c578r3.htb -0.390 -1.618 -0.082 
m5c583r3.htb 0.167 -0.813 0.166 
m5c588r3.htb -0.895 0.897 -0.003 
m5c593r3.htb 0.039 0.838 0.282 
m5c598r3.htb 0.265 0.776 0.686 
m5c602r3.htb 0.115 0.848 0.917 
m5c608r3.htb 0.827 0.387 0.222 
m5c614r3.htb -0.312 -1.933 -0.387 
m5c623r3.htb -0.399 -1.134 -0.224 
