FILE	
m3c370r161.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m3c370r167.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m3c370r170.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m3c370r173.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m3c370r176.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r33.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r36.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r39.htb -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 
m1c534r42.htb -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 
m1c534r46.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r50.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r52.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r55.htb -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 
m1c534r58.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r61.htb -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 
m1c534r64.htb -32.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 32.000 
m1c534r67.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r70.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r73.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r76.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r80.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r83.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r86.htb -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 
m1c534r89.htb -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 
m1c534r91.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r94.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r96.htb -64.000 -32.000 -16.000 -8.000 -4.000 4.000 8.000 16.000 32.000 64.000 
m1c534r97.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r99.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r102.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r104.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r106.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r109.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r112.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r114.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r117.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r120.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r123.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r127.htb -32.000 -16.000 -8.000 -4.000 -2.000 2.000 4.000 8.000 16.000 32.000 
m1c534r129.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r132.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r135.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r138.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r141.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r145.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r147.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r151.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r155.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r159.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r163.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r166.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r170.htb -32.000 -16.000 -8.000 -4.000 -2.000 2.000 4.000 8.000 16.000 32.000 
m1c534r175.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r178.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r182.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r185.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r188.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r191.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r193.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r196.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r199.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r202.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r204.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r207.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r210.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r213.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
m1c534r216.htb -32.000 -16.000 -8.000 -4.000 -2.000 -1.000 -0.500 0.500 1.000 2.000 4.000 8.000 16.000 32.000 
