FILE 10_bias 20_bias 30_bias 10_thresh 20_thresh 30_thresh 11_bias 21_bias 31_bias 11_thresh 21_thresh 31_thresh 1_shift_p 2_shift_p 3_shift_p 1_slope_p 2_slope_p 3_slope_p	
m5c818r3.htb -0.058 0.762 -0.011 0.944 2.427 0.593 0.146 0.218 0.214 1.055 1.287 0.965 0.269 0.365 0.071 0.648 0.026 0.271 
m5c818r3.htb -0.058 0.762 -0.011 0.944 2.427 0.593 0.146 0.218 0.214 1.055 1.287 0.965 0.269 0.365 0.071 0.648 0.026 0.271 
m5c821r3.htb -0.382 0.051 -0.428 1.297 1.374 0.925 -0.686 -0.057 -0.223 1.130 1.397 0.875 0.074 0.621 0.253 0.587 0.943 0.807 
m5c828r3.htb 0.032 0.033 0.107 1.138 1.623 0.698 -0.032 -0.080 -0.109 1.463 1.020 1.078 0.738 0.505 0.111 0.265 0.041 0.042 
m5c832r3.htb -0.002 0.017 -0.294 0.853 1.499 0.884 -0.008 0.105 -0.078 0.752 1.341 0.924 0.964 0.658 0.167 0.582 0.661 0.853 
m5c832r3.htb -0.002 0.017 -0.294 0.853 1.499 0.884 -0.008 0.105 -0.078 0.752 1.341 0.924 0.964 0.658 0.167 0.582 0.661 0.853 
m5c832r3.htb -0.002 0.017 -0.294 0.853 1.499 0.884 -0.008 0.105 -0.078 0.752 1.341 0.924 0.964 0.658 0.167 0.582 0.661 0.853 
m5c835r4.htb 0.121 0.157 -0.136 0.880 1.022 0.657 0.397 0.368 0.215 1.034 1.325 0.897 0.085 0.489 0.020 0.805 0.308 0.204 
m5c838r3.htb 0.847 -0.078 0.125 1.469 0.998 0.872 0.248 -0.713 -0.433 1.168 1.281 0.920 0.026 0.004 0.001 0.351 0.272 0.988 
m5c862r3.htb -0.138 -0.607 -0.452 1.391 1.024 0.896 0.546 3.597 0.854 1.259 1.607 1.159 0.001 0.000 0.000 0.688 0.069 0.283 
m5c867r3.htb -0.418 -0.112 -0.424 1.335 0.840 0.873 -0.332 0.460 -0.251 1.249 1.685 0.640 0.796 0.036 0.665 0.818 0.020 0.235 
m5c873r3.htb 0.274 -0.171 0.015 0.928 1.646 0.672 0.035 0.691 -0.220 0.977 1.741 0.744 0.236 0.002 0.100 0.947 0.869 0.676 
m5c876r4.htb 0.146 -1.059 -0.389 1.413 1.388 0.866 0.234 0.033 -0.259 0.819 1.321 0.711 0.279 0.000 0.652 0.023 0.842 0.367 
m5c880r4.htb 0.658 -0.824 -0.170 0.984 1.514 0.760 0.616 -2.443 -0.585 1.038 1.580 1.173 0.468 0.000 0.249 0.561 0.891 0.224 
m5c883r3.htb 0.248 -0.912 -0.293 0.961 1.687 0.767 0.078 -2.022 -0.707 1.299 1.808 0.667 0.230 0.001 0.002 0.195 0.765 0.514 
m13c4r3.htb -3.064 -1.605 -2.914 6.127 2.837 4.027 -4.852 1.626 -2.694 6.763 4.861 3.459 0.291 0.000 0.827 0.714 0.069 0.599 
m13c7r3.htb -1.557 -1.634 -2.411 3.295 3.235 4.666 -1.521 4.838 0.486 6.265 4.712 3.113 0.236 0.000 0.008 0.024 0.180 0.563 
m13c11r3.htb -1.238 -0.602 0.047 4.892 2.128 3.830 -1.977 -1.939 0.266 4.469 5.549 2.715 0.355 0.757 0.688 0.756 0.006 0.233 
m13c15r3.htb 0.556 -0.444 0.890 6.938 4.957 3.427 0.601 -1.255 0.593 4.956 3.053 4.742 0.815 0.138 0.466 0.200 0.259 0.222 
m13c17r3.htb 3.667 -0.737 1.168 6.087 4.624 5.931 2.270 1.921 2.572 7.821 7.303 3.543 0.101 0.005 0.195 0.359 0.690 0.882 
m13c21r3.htb -0.867 -0.277 2.290 6.860 1.888 4.854 -1.097 1.649 2.464 8.202 5.438 4.153 0.799 0.002 0.528 0.413 0.035 0.552 
m13c27r3.htb -2.233 -0.927 -0.738 4.034 4.364 3.707 -1.039 -0.678 -0.583 3.770 3.463 3.163 0.158 0.587 0.944 0.041 0.388 0.555 
m13c30r3.htb -3.763 -0.564 -1.451 4.476 2.630 3.606 -4.668 1.467 -0.151 5.849 3.819 2.543 0.830 0.005 0.113 0.344 0.180 0.214 
m13c36r3.htb 0.595 -2.751 0.213 7.606 3.760 4.116 1.036 -2.702 -0.821 6.850 4.938 3.964 0.639 0.467 0.092 0.669 0.978 0.181 
m13c40r3.htb -4.005 -2.005 -3.133 5.818 4.210 4.044 -2.903 1.421 -2.146 3.510 7.924 2.596 0.489 0.000 0.820 0.062 0.225 0.092 
m13c44r3.htb 0.202 1.258 -1.038 4.873 3.361 3.264 -0.341 0.132 -0.951 3.841 4.367 3.496 0.869 0.049 0.822 0.045 0.031 0.759 
m13c49r3.htb -1.202 0.628 0.319 3.168 4.640 4.357 -0.247 1.701 0.648 4.511 4.698 4.009 0.257 0.185 0.613 0.624 0.970 0.741 
m13c52r4.htb 0.524 -0.959 0.389 5.430 3.380 2.788 -0.219 1.480 1.232 5.127 4.316 2.577 0.394 0.000 0.820 0.820 0.522 0.153 
m13c56r3.htb -0.755 2.412 0.207 4.550 3.658 3.819 0.086 1.401 0.238 2.987 5.345 3.587 0.809 0.356 0.943 0.739 0.572 0.769 
m13c59r3.htb -0.990 0.713 0.559 3.837 4.381 2.400 -1.340 3.324 -0.374 4.431 3.998 3.735 0.795 0.019 0.278 0.519 0.129 0.261 
m13c63r3.htb 0.474 1.883 0.238 5.518 4.909 4.143 -0.776 -7.032 -1.644 4.004 6.345 3.741 0.194 0.000 0.003 0.939 0.290 0.658 
m13c75r3.htb -0.200 -0.230 1.252 4.314 2.623 2.162 0.746 -1.838 1.523 4.144 3.687 3.155 0.211 0.046 0.631 0.859 0.003 0.100 
m13c78r4.htb 0.576 0.022 0.851 3.923 3.733 2.596 0.274 -1.309 0.962 4.235 4.150 2.273 0.639 0.496 0.660 0.744 0.775 0.543 
m13c81r3.htb 1.592 0.233 2.191 4.931 2.906 4.983 1.162 1.151 2.149 5.681 3.419 2.363 0.511 0.033 0.039 0.598 0.163 0.003 
m13c86r3.htb 2.360 -0.000 -0.042 5.471 3.575 3.463 2.341 2.304 0.957 3.899 3.012 2.936 0.605 0.029 0.077 0.277 0.045 0.458 
m13c89r3.htb -0.561 -1.543 0.930 6.580 3.078 3.318 0.795 -0.389 -0.041 5.651 3.909 4.029 0.170 0.065 0.110 0.479 0.953 0.390 
m13c91r3.htb -0.551 0.238 0.993 3.145 2.193 2.896 -1.274 6.672 1.010 4.535 4.877 2.821 0.579 0.000 0.916 0.147 0.256 0.923 
m13c94r3.htb 0.654 1.390 2.792 2.617 2.697 3.442 0.621 1.544 2.988 2.906 2.222 2.840 0.870 0.038 0.337 0.151 0.021 0.453 
m13c99r3.htb 2.095 6.351 3.951 4.602 5.259 3.166 2.514 7.336 3.982 3.659 5.700 3.875 0.652 0.754 0.411 0.202 0.755 0.455 
m13c102r3.htb -0.563 3.422 1.898 4.891 4.167 3.648 -0.908 5.938 1.449 4.026 5.699 2.901 0.505 0.265 0.905 0.416 0.182 0.319 
m13c105r3.htb -1.490 6.531 -0.624 3.535 5.890 2.475 -2.922 2.236 -1.407 2.738 4.028 3.459 0.021 0.031 0.522 0.400 0.215 0.295 
m13c108r3.htb -1.135 2.586 -0.140 3.752 3.483 3.429 -0.844 3.216 -0.357 3.133 4.531 2.629 0.467 0.928 0.604 0.286 0.896 0.225 
m13c111r3.htb 1.238 -0.850 0.746 4.031 4.080 2.672 1.380 1.051 0.368 3.156 4.594 2.642 0.460 0.073 0.244 0.100 0.055 0.535 
m13c108r3.htb -1.135 2.586 -0.140 3.752 3.483 3.429 -0.844 3.216 -0.357 3.133 4.531 2.629 0.467 0.928 0.604 0.286 0.896 0.225 
m13c111r3.htb 1.238 -0.850 0.746 4.031 4.080 2.672 1.380 1.051 0.368 3.156 4.594 2.642 0.460 0.073 0.244 0.100 0.055 0.535 
m13c123r3.htb -0.075 1.694 -1.284 2.917 4.847 2.886 -0.246 3.598 -1.218 4.562 8.282 4.223 0.934 0.650 0.445 0.112 0.061 0.163 
m13c126r3.htb -0.765 2.023 0.884 3.522 4.204 2.303 -0.761 2.771 -0.094 3.332 3.677 5.098 0.946 0.947 0.050 0.839 0.523 0.011 
m13c133r3.htb 1.390 2.474 1.298 4.935 3.567 2.338 2.529 5.726 1.865 4.492 5.011 3.348 0.202 0.669 0.251 0.765 0.023 0.909 
m13c133r3.htb 1.390 2.474 1.298 4.935 3.567 2.338 2.529 5.726 1.865 4.492 5.011 3.348 0.202 0.669 0.251 0.765 0.023 0.909 
m13c137r3.htb 0.613 0.222 0.325 4.371 6.547 2.977 -0.881 1.743 -0.004 5.195 4.745 3.193 0.119 0.391 0.826 0.552 0.859 0.831 
m13c146r3.htb -0.605 4.231 0.602 3.917 5.572 2.213 -1.901 7.185 1.432 3.785 6.836 2.344 0.096 0.190 0.026 0.938 0.451 0.330 
m13c150r3.htb -3.036 2.538 -0.644 4.175 6.321 4.151 -2.614 6.346 -0.619 3.755 6.393 3.501 0.924 0.003 0.912 0.680 0.949 0.521 
m13c154r3.htb -1.866 2.397 0.910 4.164 4.795 2.987 -1.740 5.275 0.874 3.589 6.508 2.838 0.709 0.662 0.958 0.344 0.036 0.831 
m13c157r3.htb -2.580 -1.915 0.198 4.472 3.242 3.448 -0.293 1.947 0.430 4.831 8.431 2.104 0.004 0.000 0.662 0.751 0.000 0.819 
m13c160r3.htb -2.212 -2.500 -0.423 3.525 4.663 1.688 -1.172 -1.125 0.118 3.010 4.854 3.600 0.287 0.121 0.213 0.502 0.910 0.012 
m13c163r3_4.htb -1.400 -1.811 -0.549 3.702 4.591 3.759 -0.818 4.262 1.313 3.932 5.402 2.402 0.343 0.000 0.006 0.828 0.088 0.466 
m13c171r3.htb -1.459 -0.399 -2.563 5.413 3.540 3.796 -2.719 -0.310 -2.150 5.787 5.427 4.432 0.400 0.822 0.474 0.839 0.223 0.654 
m13c177r3.htb -1.784 -1.123 -1.016 3.019 4.327 2.816 -1.982 0.967 -0.657 3.638 5.929 2.798 0.838 0.018 0.552 0.493 0.397 0.961 
m13c180r3.htb -0.941 -0.580 -3.567 4.144 4.789 4.488 -0.565 -1.380 -2.301 3.335 4.241 5.003 0.776 0.311 0.127 0.434 0.669 0.701 
m13c174r3.htb -1.226 -0.386 -1.492 3.402 4.709 3.219 -1.068 2.547 -0.503 3.488 4.066 3.039 0.765 0.002 0.163 0.883 0.875 0.839 
m13c202r3.htb 0.881 0.037 0.183 3.621 5.040 2.205 0.643 -0.840 -1.256 3.582 3.831 3.880 0.804 0.236 0.127 0.959 0.319 0.269 
m13c189r3.htb -2.729 -2.388 -2.013 6.127 5.790 4.387 -0.536 0.508 -0.812 3.959 3.087 1.901 0.139 0.016 0.954 0.151 0.104 0.100 
m13c192r3.htb -0.866 -0.499 -2.403 4.413 2.959 3.364 -0.263 -1.197 -2.693 4.548 4.741 4.671 0.862 0.181 0.527 0.184 0.473 0.238 
m13c207r3.htb 2.170 0.342 0.492 3.607 5.403 3.183 1.664 0.220 0.615 3.781 3.817 3.848 0.383 0.921 0.969 0.840 0.286 0.488 
m13c211r3.htb 0.078 1.151 -0.489 4.771 2.820 3.452 -0.420 4.499 0.256 2.897 6.540 4.080 0.673 0.009 0.280 0.891 0.067 0.520 
m13c217r3.htb -0.472 1.909 0.549 3.568 6.049 3.220 0.560 3.717 -0.043 0.878 9.036 3.226 0.422 0.638 0.400 0.172 0.202 0.979 
m13c220r3.htb -0.935 1.325 -2.359 4.481 5.252 3.971 -1.009 0.150 -2.146 4.286 4.415 3.588 0.878 0.236 0.984 0.850 0.521 0.737 
m13c228r3.htb 0.863 -0.612 0.920 3.351 3.324 2.105 1.848 0.718 0.587 2.805 3.544 3.315 0.361 0.121 0.189 0.885 0.842 0.093 
m13c232r3.htb -1.101 0.753 -0.500 3.614 3.332 1.982 -0.345 1.847 -0.421 3.800 3.061 2.022 0.121 0.231 0.954 0.207 0.077 0.490 
m13c235r3.htb -0.150 -1.502 -0.267 3.416 4.558 2.794 0.504 -0.660 -0.535 3.156 2.841 3.217 0.695 0.620 0.716 0.101 0.001 0.580 
m13c240r3.htb 1.552 0.777 0.970 2.798 3.202 2.830 1.764 -0.553 0.173 3.133 6.999 1.863 0.491 0.117 0.302 0.680 0.008 0.168 
m13c249r3.htb -0.933 -0.467 -0.874 3.898 3.764 3.366 0.075 0.175 -0.584 2.929 5.170 3.859 0.398 0.617 0.576 0.350 0.759 0.609 
m13c254r3.htb -1.563 0.258 -1.786 3.778 3.360 3.159 -1.953 0.291 -1.420 4.903 3.400 4.074 0.925 0.942 0.282 0.315 0.978 0.330 
m13c259r3.htb -1.733 -2.117 -1.560 4.456 3.627 3.406 -1.215 -0.521 -1.782 3.561 3.148 2.631 0.811 0.041 0.289 0.380 0.528 0.287 
m13c266r3.htb -1.854 2.598 -1.021 3.271 6.738 4.254 -1.662 2.344 -1.497 5.511 6.932 3.242 0.450 0.615 0.541 0.009 0.457 0.035 
m13c270r3.htb -0.863 -0.957 -1.291 3.073 4.744 3.842 -0.683 -1.590 -1.070 3.530 8.067 2.760 0.608 0.974 0.778 0.557 0.058 0.184 
m13c275r3.htb -3.066 -0.217 -2.511 4.147 4.450 2.729 -2.550 3.680 -1.208 2.975 6.163 2.710 0.601 0.000 0.026 0.018 0.197 0.975 
m13c279r3.htb -1.896 -1.558 -2.853 3.227 1.743 2.970 -2.499 -0.265 -2.310 3.008 4.587 2.723 0.280 0.000 0.625 0.762 0.043 0.719 
m13c279r3.htb -1.896 -1.558 -2.853 3.227 1.743 2.970 -2.499 -0.265 -2.310 3.008 4.587 2.723 0.280 0.000 0.625 0.762 0.043 0.719 
m13c283r3.htb -1.578 -0.897 -2.338 3.873 4.900 3.365 -0.610 3.466 -1.909 3.138 4.539 2.685 0.335 0.000 0.926 0.473 0.823 0.459 
m13c287r3.htb -1.669 -0.791 -1.314 3.731 2.196 1.531 -1.712 0.199 -1.777 3.948 4.263 1.627 0.938 0.017 0.292 0.811 0.001 0.371 
m13c291r3.htb -1.231 1.565 -1.250 3.436 6.098 2.216 -1.084 1.509 -0.173 3.729 4.721 3.606 0.738 0.754 0.022 0.756 0.335 0.086 
m13c295r3.htb -1.224 0.266 -0.796 4.122 2.925 2.701 -1.973 1.757 -1.106 4.313 5.520 2.627 0.470 0.255 0.572 0.855 0.024 0.932 
m13c298r3.htb -1.355 1.010 -1.007 3.894 4.751 2.252 -1.748 -6.806 -2.036 4.281 5.241 3.262 0.818 0.000 0.432 0.699 0.562 0.182 
m13c301r3.htb -0.616 0.371 -0.635 3.058 5.518 3.019 -0.262 -3.325 -1.093 3.587 8.299 2.114 0.521 0.046 0.171 0.534 0.606 0.207 
m13c305r3.htb 1.016 4.048 0.326 3.513 6.905 3.587 0.965 -0.996 0.460 3.475 9.277 2.689 0.949 0.000 0.703 0.981 0.245 0.309 
m13c308r3.htb -0.156 1.124 -0.006 4.678 4.499 3.499 -0.753 4.244 -0.699 3.661 4.600 2.762 0.137 0.001 0.179 0.509 0.936 0.332 
m13c312r3.htb -1.095 1.889 -1.534 3.490 3.169 3.238 -0.844 0.664 -1.177 2.323 3.998 3.139 0.769 0.225 0.677 0.290 0.996 0.906 
m13c317r3.htb 0.227 1.170 -0.495 2.134 1.262 2.709 0.037 2.568 1.212 4.614 5.722 5.902 0.783 0.166 0.052 0.771 0.002 0.011 
m13c321r3.htb -3.409 1.808 -3.576 4.698 2.891 3.350 -3.081 -5.700 -3.753 3.473 5.464 2.319 0.501 0.000 0.090 0.760 0.020 0.167 
m13c324r3.htb -2.351 2.587 -2.842 2.963 3.505 2.803 -1.954 -1.958 -3.027 3.589 4.938 3.216 0.278 0.000 0.759 0.305 0.022 0.571 
m13c327r3.htb -0.232 1.831 -0.496 2.782 2.777 2.454 -1.733 3.694 -1.727 4.667 2.342 2.948 0.138 0.000 0.071 0.058 0.113 0.469 
