FILE	
m2c162r2.htb -0.437 -0.241 0.068 6.244 5.075 5.605 21.009 19.752 17.846 18.087 16.757 15.990 16.708 14.480 14.282 6.890 6.091 6.950 6.378 5.260 5.194 7.440 5.640 6.373 22.302 17.580 15.624 15.347 14.703 14.579 14.802 14.653 14.554 5.885 5.547 5.041 5.078 5.388 5.162 4.703 4.867 4.954 19.247 15.421 14.282 14.658 15.074 15.045 14.431 14.707 16.059 4.856 4.724 5.093 5.117 5.657 5.645 6.513 6.346 6.153 
m2c163r2.htb -0.305 0.071 0.059 4.733 4.339 3.715 13.688 12.922 13.455 12.104 13.658 12.846 11.559 12.896 14.902 3.863 4.582 4.736 4.257 5.284 4.313 5.075 5.289 4.554 7.005 6.460 6.855 7.870 6.905 7.565 7.362 7.337 8.144 3.198 3.545 4.072 5.423 3.804 4.154 4.242 3.589 3.556 7.768 7.185 7.185 7.104 8.175 7.185 7.438 9.010 11.411 3.898 3.952 4.254 3.509 3.952 3.186 3.676 3.593 5.395 
m2c168r3.htb -0.109 -0.658 0.495 4.767 6.907 6.588 6.082 8.020 9.703 8.722 6.782 8.465 9.288 8.713 5.045 4.963 5.544 5.274 4.323 3.912 4.748 5.579 5.274 5.303 12.822 17.162 18.861 17.376 16.188 15.446 16.535 16.926 15.323 5.857 4.541 8.268 6.364 7.084 6.396 6.425 5.294 7.756 12.475 16.238 16.238 18.663 16.337 18.168 18.960 16.832 10.941 6.290 7.264 4.981 6.097 6.332 8.728 6.801 7.855 7.027 
m2c170r2.htb -0.074 0.223 0.644 6.720 5.095 5.747 27.822 30.198 26.436 24.752 26.485 24.010 26.436 23.218 23.564 9.572 5.936 6.205 7.934 5.940 6.889 6.631 5.234 5.796 15.941 18.366 17.327 17.970 17.525 18.416 18.218 19.109 25.396 5.922 6.048 4.638 4.384 5.347 5.474 5.632 5.556 4.843 23.168 23.713 21.238 22.030 21.584 22.624 24.158 22.822 27.624 4.559 7.012 5.742 5.817 4.220 6.522 6.436 5.804 4.902 
m2c172r2.htb 0.449 -0.255 0.690 5.304 3.884 3.310 5.360 6.931 9.547 6.931 9.547 8.451 11.033 9.936 12.907 4.432 4.565 5.289 5.335 5.192 4.694 6.012 5.571 6.397 10.962 10.007 7.956 7.709 7.461 7.921 6.577 6.931 3.854 4.139 3.795 3.630 4.178 4.282 3.544 3.784 2.964 2.489 4.031 3.359 2.793 3.925 4.986 5.092 5.658 4.066 5.941 2.926 2.308 2.303 3.205 3.539 3.779 3.723 2.504 3.096 
m2c174r2.htb -0.635 -0.561 -1.233 4.702 4.455 4.426 24.832 22.360 20.050 20.380 18.455 19.967 17.079 15.965 14.191 5.519 3.738 4.027 6.061 4.473 4.848 4.101 3.697 6.565 29.662 23.639 18.936 18.317 19.010 17.987 16.295 14.521 12.706 4.480 4.992 4.038 3.392 6.183 4.723 3.939 3.825 3.701 36.139 31.931 26.485 25.206 24.422 23.185 21.328 17.698 14.026 6.632 5.678 3.920 4.885 4.750 4.625 3.949 4.112 4.659 
m2c175r2.htb 0.186 0.355 0.148 8.015 5.035 6.641 22.812 21.411 23.515 24.010 22.195 22.071 25.413 25.495 23.804 6.620 7.952 8.387 7.063 7.669 9.091 7.865 8.886 7.722 6.642 7.384 5.899 6.559 8.993 7.178 7.366 6.574 8.622 3.922 4.806 4.509 4.483 5.954 5.386 4.843 2.828 5.002 18.812 17.120 16.873 17.244 13.738 16.911 17.781 15.800 17.987 6.747 5.604 7.184 5.683 8.362 4.875 7.101 5.627 7.612 
m2c176r2.htb 0.612 0.338 1.116 8.375 7.174 7.401 24.666 24.392 21.782 22.142 22.862 22.502 24.662 23.627 31.098 8.120 8.426 10.402 7.894 8.255 7.391 7.932 9.024 8.128 14.311 16.337 15.347 14.401 15.752 13.951 17.262 16.382 20.027 6.905 7.746 8.521 6.407 5.274 6.141 9.529 8.668 8.328 20.252 18.857 17.147 18.092 21.266 24.212 19.667 21.917 22.007 10.315 6.870 6.520 8.584 7.414 8.106 6.382 7.840 7.326 
m2c177r2.htb -0.402 0.315 0.249 6.477 5.344 5.793 20.821 18.272 19.982 19.262 20.102 17.942 18.632 18.602 22.022 6.456 6.069 6.808 6.379 6.235 7.091 5.870 6.580 8.713 10.051 11.761 11.521 11.311 12.841 11.461 13.021 12.601 15.002 4.545 5.278 5.215 5.163 6.235 5.115 4.994 4.946 4.870 15.482 16.502 16.592 15.722 16.412 17.732 16.832 18.152 19.502 6.836 7.608 6.354 5.461 5.552 5.978 5.617 7.121 6.937 
m2c178r2.htb 0.578 -0.495 -0.238 7.677 8.140 7.602 47.195 47.360 44.785 44.983 47.129 46.733 46.799 49.142 49.670 8.191 6.076 6.985 6.410 9.384 7.573 8.031 7.927 9.918 25.875 27.525 27.657 27.261 25.908 25.743 25.941 26.007 20.561 7.298 7.094 8.984 9.269 5.895 8.023 8.527 8.545 7.307 47.855 45.710 41.485 42.541 41.254 41.155 40.990 38.944 34.983 6.983 6.731 7.032 6.334 7.179 9.563 7.902 7.582 7.249 
m2c179r2.htb 0.801 0.166 0.571 5.476 5.958 6.330 15.172 19.569 20.996 20.792 23.642 24.840 22.976 25.131 26.150 5.076 5.966 5.899 5.351 5.439 6.022 4.668 3.792 5.171 7.251 10.891 12.231 14.269 14.311 12.609 13.891 15.002 12.202 3.222 4.517 6.137 6.296 6.856 5.091 5.409 6.474 6.179 15.572 21.462 25.102 27.461 27.490 27.635 27.868 27.257 27.082 7.361 5.249 5.839 6.473 6.272 6.381 6.685 5.413 5.300 
m2c180r2.htb -0.028 0.258 -0.457 4.335 3.155 3.159 20.698 21.169 19.708 19.189 18.152 18.812 19.755 18.953 18.812 4.176 3.750 4.768 4.945 3.391 3.923 4.649 4.573 4.094 13.861 14.569 15.134 15.198 14.946 16.549 15.747 15.747 15.747 2.505 3.446 3.680 2.857 3.066 2.872 3.297 3.596 3.623 16.124 14.993 16.973 16.737 16.077 15.842 15.134 17.539 19.896 3.772 2.411 3.228 2.885 2.580 3.254 3.849 3.133 3.596 
m2c181r2.htb -1.280 -0.977 -0.805 8.412 7.237 7.457 72.258 65.232 63.576 61.348 60.187 58.949 58.378 53.941 47.848 8.507 7.770 9.009 6.544 9.224 8.231 9.051 7.266 7.330 35.401 28.751 26.181 26.447 26.447 23.153 22.944 22.258 19.354 7.935 7.209 8.177 8.932 6.966 6.088 6.020 6.108 6.677 54.703 46.954 44.212 40.823 41.394 40.575 40.308 35.567 30.198 9.903 6.342 7.818 7.780 7.808 7.423 6.456 7.606 7.203 
m2c182r2.htb 0.614 -0.046 0.079 6.324 3.474 4.790 20.809 23.152 24.455 25.825 25.396 26.485 27.195 28.168 30.908 5.696 4.983 6.284 7.565 5.962 5.573 6.234 6.978 5.916 7.657 7.393 8.416 8.053 8.498 8.515 7.954 8.944 9.389 3.534 3.490 3.398 3.456 3.656 3.864 2.995 3.595 4.167 12.624 14.076 16.848 17.442 17.591 16.617 17.657 19.109 21.881 4.804 4.394 4.285 4.648 5.202 4.569 5.246 5.144 6.574 
