FILE	
m2c66r2.htb 4.290 5.522 7.730 9.901 9.406 8.911 12.567 14.737 19.155 2.620 3.443 3.715 4.068 4.061 3.662 4.470 4.780 4.292 0.950 0.000 
m2c67r2.htb 14.554 18.738 18.886 17.351 20.223 20.347 18.837 19.678 20.520 4.232 4.149 4.800 4.578 3.876 4.365 3.728 3.766 4.534 0.797 0.010 
m2c70r2.htb 12.096 11.322 12.241 14.221 12.871 13.996 15.752 14.671 14.311 6.276 4.565 6.931 4.402 6.375 5.511 5.948 5.100 5.037 0.644 0.061 
m2c71r2.htb 21.452 23.300 24.036 21.714 23.728 26.801 24.855 30.044 33.015 6.661 5.033 6.647 4.999 5.770 9.101 7.107 7.500 7.698 0.868 0.002 
m2c72r2.htb 24.302 22.395 18.407 16.832 16.832 16.922 16.360 13.231 12.556 5.803 3.724 5.606 3.997 5.781 6.118 4.947 4.579 3.697 -0.943 0.000 
m2c77r2.htb 4.164 4.680 4.950 4.950 5.791 5.611 6.511 6.241 6.481 2.623 1.790 2.584 2.475 2.501 2.829 2.632 2.315 2.690 0.872 0.002 
m2c78r2.htb 44.602 47.277 47.574 49.653 47.129 47.129 43.614 49.554 43.861 21.994 30.259 28.585 24.425 28.216 30.148 24.854 26.527 25.143 -0.061 0.877 
m2c79r2.htb 10.367 11.911 11.971 12.031 11.386 11.648 12.001 13.921 12.631 3.568 4.547 4.332 4.870 4.328 3.616 4.792 4.059 3.553 0.732 0.025 
m2c81r2.htb 91.815 89.967 87.591 85.578 84.059 82.673 84.158 83.993 88.383 8.698 9.644 10.262 10.474 9.813 12.417 10.117 10.240 8.973 -0.473 0.199 
m2c82r2.htb 21.968 23.917 22.803 21.504 22.494 22.092 23.886 23.731 25.835 5.863 6.534 7.186 7.229 6.989 6.622 8.094 7.075 9.371 0.685 0.042 
m2c84r2.htb 35.204 30.106 28.420 29.551 27.037 27.136 25.514 26.504 21.012 6.312 6.173 5.785 6.285 5.400 5.576 4.763 8.016 5.866 -0.972 0.000 
m2c86r2.htb 17.414 17.531 19.278 19.627 20.239 20.501 21.142 22.015 22.423 4.216 4.002 4.058 4.154 4.422 4.773 3.556 4.401 4.026 0.922 0.000 
m2c91r2.htb 4.730 4.510 4.474 3.594 4.364 3.264 3.594 4.037 3.275 2.335 2.949 3.322 4.019 2.491 2.033 3.409 3.829 2.548 -0.731 0.025 
m2c93r2.htb 8.215 8.750 10.276 10.383 11.111 12.229 12.978 14.878 17.367 3.644 5.078 5.817 5.496 5.202 5.369 6.629 7.564 5.657 0.944 0.000 
m2c94r2.htb 14.323 12.712 11.947 11.498 9.637 12.805 12.520 11.485 11.386 7.485 6.157 5.848 5.268 6.588 5.935 7.607 4.924 6.942 -0.582 0.100 
m2c97r2.htb 20.623 22.217 21.613 22.796 23.951 22.917 24.197 25.863 25.887 5.229 4.389 5.033 5.488 5.078 4.933 5.727 5.799 6.256 0.902 0.001 
m2c98r2.htb 45.277 45.407 45.820 46.012 45.380 46.232 43.619 42.739 43.949 7.974 5.922 9.383 9.589 10.060 10.278 7.229 7.087 7.772 -0.510 0.161 
m2c99r2.htb 34.323 34.340 29.920 28.218 27.819 25.404 24.399 24.076 23.328 5.141 7.216 6.396 6.403 6.285 6.217 4.899 4.918 5.005 -0.876 0.002 
m2c100r2.htb 45.380 44.950 39.095 38.036 37.211 36.194 36.945 32.475 28.741 8.939 7.602 6.236 8.403 7.887 8.393 8.780 8.171 6.305 -0.953 0.000 
m2c101r2.htb 28.803 27.843 27.970 28.383 26.703 26.918 26.609 28.083 27.011 9.292 10.547 10.100 9.977 7.770 9.104 6.849 7.704 6.888 -0.574 0.106 
m2c103r2.htb 10.651 10.921 9.344 11.077 7.333 9.994 8.106 7.580 6.331 6.402 6.308 5.110 5.781 4.561 5.841 5.626 4.900 3.561 -0.771 0.015 
m2c109r2.htb 18.379 16.991 17.023 17.598 15.810 18.109 19.163 19.515 23.156 7.569 5.717 7.877 6.506 5.736 8.499 8.127 7.567 9.073 0.665 0.051 
m2c110r2.htb 10.485 11.621 7.999 10.631 11.152 10.969 10.162 12.011 14.695 4.174 4.693 3.022 4.654 5.161 4.858 4.550 4.593 5.734 0.612 0.080 
m2c116r2.htb 21.188 21.650 21.287 22.970 21.980 24.323 23.234 22.574 25.413 4.834 5.557 4.814 5.781 5.369 6.415 5.899 5.331 5.573 0.800 0.010 
m2c119r2.htb 41.952 43.225 43.826 40.507 41.330 41.089 38.784 41.075 42.772 17.075 17.898 14.205 14.218 13.193 12.963 13.408 14.209 13.516 -0.108 0.781 
m2c121r2.htb 18.284 17.344 16.490 18.152 16.627 16.012 15.215 13.691 17.426 9.693 10.033 7.583 7.551 9.018 7.688 7.356 8.152 9.623 -0.405 0.279 
m2c125r2.htb 12.554 14.178 12.356 13.545 14.315 13.149 12.792 13.030 16.079 4.256 5.253 4.420 3.646 5.919 4.551 6.684 4.780 4.655 0.620 0.075 
m2c126r2.htb 18.317 18.948 17.888 18.812 18.436 16.695 17.855 19.563 20.109 5.569 5.460 4.480 4.571 4.773 4.273 5.045 5.349 5.042 0.437 0.240 
