FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m5c37r2.htb 0.847 0.018 
m5c38r2.htb 0.736 0.058 
m5c40r2.htb 0.454 0.640 
m5c42r2.htb  NaN  NaN 
m5c46r2.htb 0.462 0.670 
m5c49r2.htb 0.465 0.716 
m5c54r2.htb 0.475 0.822 
m5c60r2.htb 0.498 0.894 
m5c63r2.htb 0.236 0.090 
m5c66r2.htb 0.595 0.334 
m5c67r2.htb 0.545 0.774 
m5c69r2.htb 0.570 0.410 
m5c70r2.htb 0.580 0.372 
m5c71r2.htb 0.731 0.106 
m5c74r2.htb 0.689 0.122 
m5c75r2.htb 0.423 0.492 
m5c79r2.htb 0.469 0.736 
m5c81r2.htb 0.551 0.688 
m5c82r2.htb 0.593 0.566 
m5c83r2.htb 0.550 0.672 
m5c87r2.htb  NaN  NaN 
m5c92r2.htb 0.745 0.066 
m5c94r2.htb 0.456 0.772 
m5c95r2.htb 0.656 0.180 
m5c100r2.htb 0.713 0.060 
m5c103r2.htb 0.607 0.494 
m5c107r2.htb 0.604 0.260 
m5c108r3.htb 0.508 0.956 
m5c109r2.htb 0.242 0.004 
m5c111r2.htb 0.659 0.260 
m5c118r2.htb 0.574 0.408 
m5c125r2.htb 0.495 0.930 
m5c128r2.htb 0.645 0.196 
m5c129r2.htb 0.548 0.676 
m5c135r2.htb  NaN  NaN 
m5c140r2.htb 0.623 0.248 
m5c152r2.htb 0.576 0.582 
m5c154r2.htb 0.732 0.008 
m5c156r2.htb 0.579 0.542 
m5c159r2.htb 0.489 0.922 
m5c163r2.htb 0.542 0.712 
m5c164r3.htb 0.651 0.266 
m5c166r2.htb 0.470 0.822 
m5c167r2.htb 0.431 0.596 
m5c170r2.htb 0.531 0.692 
