FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c130r2.htb 36.000 0.000 0.000 0.028 0.194 0.389 0.500 0.889 1.000 1.000 0.132 0.227 0.422 0.505 0.495 0.578 0.773 0.868 
m2c131r2.htb 34.000 0.000 0.000 0.088 0.229 0.500 0.629 0.886 0.971 1.000 0.203 0.482 0.282 0.429 0.571 0.718 0.518 0.797 
m2c134r2.htb 30.000 0.000 0.000 0.300 0.433 0.633 0.600 0.933 1.000 1.000 0.191 0.369 0.393 0.481 0.519 0.607 0.631 0.809 
m2c135r2.htb 30.000 0.000 0.033 0.200 0.467 0.467 0.833 0.933 1.000 1.000 0.032 0.321 0.389 0.460 0.540 0.611 0.679 0.968 
m2c137r2.htb 20.000 0.000 0.000 0.150 0.050 0.200 0.750 0.850 1.000 1.000 0.002 0.154 0.258 0.311 0.689 0.742 0.846 0.998 
m2c138r2.htb 23.000 0.000 0.000 0.174 0.348 0.261 0.565 0.696 1.000 1.000 0.351 0.488 0.356 0.444 0.556 0.644 0.512 0.649 
m2c139r2.htb 29.000 0.000 0.000 0.310 0.241 0.828 0.828 0.966 1.000 1.000 0.497 0.408 0.540 0.431 0.569 0.460 0.592 0.503 
m2c140r2.htb 30.000 0.000 0.067 0.267 0.645 0.871 0.871 0.968 1.000 1.000 0.000 0.030 0.172 0.391 0.609 0.828 0.970 1.000 
m2c141r2.htb 35.000 0.000 0.000 0.194 0.361 0.629 0.750 0.971 1.000 1.000 0.147 0.251 0.358 0.399 0.601 0.642 0.749 0.853 
m2c143r2.htb 32.000 0.000 0.000 0.250 0.438 0.719 0.750 0.938 1.000 1.000 0.321 0.411 0.389 0.549 0.451 0.611 0.589 0.679 
m2c144r2.htb 23.000 0.000 0.000 0.130 0.478 0.652 0.696 1.000 1.000 1.000 0.154 0.242 0.314 0.526 0.474 0.686 0.758 0.846 
m2c145r2.htb 20.000 0.000 0.000 0.050 0.350 0.700 0.700 0.950 1.000 1.000 0.071 0.255 0.264 0.368 0.632 0.736 0.745 0.929 
m2c148r2.htb 26.000 0.000 0.000 0.115 0.346 0.692 0.538 0.923 1.000 1.000 0.353 0.368 0.444 0.391 0.609 0.556 0.632 0.647 
