FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c152r2.htb 21.919 14.997 16.503 0.411 0.316 0.425 0.521 0.479 0.575 0.684 0.589 
m2c155r2.htb 8.718 11.002 10.327 0.140 0.361 0.460 0.451 0.549 0.540 0.639 0.860 
m2c157r2.htb 1.863 1.185 2.893 0.000 0.036 0.245 0.420 0.580 0.755 0.964 1.000 
m2c158r2.htb 2.327 3.563 2.974 0.000 0.067 0.269 0.383 0.617 0.731 0.933 1.000 
m2c159r2.htb 9.128 4.271 6.585 0.148 0.354 0.488 0.604 0.396 0.512 0.646 0.852 
m2c160r2.htb 4.821 15.508 4.437 0.031 0.315 0.179 0.365 0.635 0.821 0.685 0.969 
m2c161r2.htb 5.865 6.341 7.096 0.152 0.153 0.492 0.316 0.684 0.508 0.847 0.848 
m2c162r2.htb 9.070 8.543 18.790 0.227 0.249 0.440 0.405 0.595 0.560 0.751 0.773 
m2c163r2.htb 60.242 32.197 15.622 0.427 0.484 0.607 0.443 0.557 0.393 0.516 0.573 
m2c168r3.htb 58.252 43.725 60.311 0.406 0.565 0.467 0.458 0.542 0.533 0.435 0.594 
m2c170r2.htb 13.691 8.335 15.833 0.340 0.181 0.473 0.453 0.547 0.528 0.819 0.660 
m2c172r2.htb 8.664 6.085 16.402 0.169 0.328 0.442 0.397 0.603 0.558 0.672 0.831 
m2c174r2.htb 5.097 2.553 1.774 0.113 0.117 0.306 0.500 0.500 0.694 0.883 0.887 
m2c175r2.htb 39.118 30.951 60.119 0.453 0.375 0.408 0.598 0.402 0.592 0.625 0.547 
m2c176r2.htb 18.683 17.797 26.911 0.288 0.536 0.352 0.512 0.488 0.648 0.464 0.712 
m2c177r2.htb 300.000 11.491 20.014 0.496 0.490 0.573 0.570 0.430 0.427 0.510 0.504 
m2c178r2.htb 39.782 17.348 5.758 0.445 0.424 0.435 0.459 0.541 0.565 0.576 0.555 
m2c179r2.htb 5.099 10.395 6.084 0.055 0.223 0.402 0.312 0.688 0.598 0.777 0.945 
m2c180r2.htb 21.690 24.930 11.476 0.366 0.315 0.498 0.481 0.519 0.502 0.685 0.634 
m2c181r2.htb 3.270 5.040 3.318 0.014 0.135 0.325 0.409 0.591 0.675 0.865 0.986 
m2c182r2.htb 6.317 25.375 6.528 0.104 0.282 0.372 0.463 0.537 0.628 0.718 0.896 
m2c183r2.htb 6.335 12.662 4.956 0.051 0.332 0.403 0.461 0.539 0.597 0.668 0.949 
m2c184r2.htb 3.522 19.892 7.040 0.003 0.183 0.346 0.446 0.554 0.654 0.817 0.997 
m2c185r2.htb 1.721 2.234 1.874 0.001 0.034 0.257 0.282 0.718 0.743 0.966 0.999 
m2c186r2.htb 42.255 14.533 29.805 0.443 0.470 0.408 0.441 0.559 0.592 0.530 0.557 
m2c187r2.htb 54.299 21.694 18.445 0.446 0.416 0.540 0.473 0.527 0.460 0.584 0.554 
m2c189r2.htb 87.805 38.056 88.487 0.480 0.508 0.365 0.539 0.461 0.635 0.492 0.520 
m2c190r2.htb 26.118 5.014 5.637 0.368 0.446 0.480 0.417 0.583 0.520 0.554 0.632 
m2c191r2.htb 10.940 15.214 204.407 0.248 0.314 0.447 0.485 0.515 0.553 0.686 0.752 
m2c193r2.htb 45.109 300.000 53.030 0.452 0.427 0.462 0.528 0.472 0.538 0.573 0.548 
m2c195r2.htb 142.061 193.398 69.427 0.487 0.457 0.423 0.385 0.615 0.577 0.543 0.513 
m2c196r3.htb 1.924 1.815 1.471 0.013 0.076 0.113 0.393 0.607 0.887 0.924 0.987 
