FILE	
m5c35r2.htb 23.068 0.604 0.130 0.710 0.651 
m5c37r2.htb 26.489 0.718 0.000 0.972 0.697 
m5c40r2.htb 24.400 0.480 0.586 0.741 0.924 
m5c42r2.htb 12.909 0.564 0.961 0.724 0.759 
m5c46r2.htb 74.957 0.461 0.235 0.484 0.750 
m5c49r2.htb 104.191 0.526 0.904 0.683 0.108 
m5c54r2.htb 67.920 0.495 0.816 0.997 0.917 
m5c60r2.htb 10.758 0.573 0.172 0.119 0.185 
m5c63r2.htb 9.521 0.564 0.697 0.976 0.050 
m5c66r2.htb 7.090 0.569 0.275 0.389 0.685 
m5c67r2.htb 300.000 0.426 0.263 0.010 0.360 
m5c69r2.htb 9.227 0.536 0.241 0.019 0.279 
m5c70r2.htb 18.531 0.609 0.007 0.009 0.212 
m5c71r2.htb 17.134 0.559 0.149 0.780 0.476 
m5c74r2.htb 45.142 0.549 0.358 0.168 0.612 
m5c75r2.htb 6.830 0.477 0.743 0.572 0.106 
m5c79r2.htb 74.612 0.521 0.555 0.765 0.371 
m5c81r2.htb 19.007 0.522 0.864 0.210 0.243 
m5c82r2.htb 33.760 0.546 0.336 0.555 0.439 
m5c83r2.htb 41.022 0.606 0.026 0.808 0.655 
m5c87r2.htb 18.712 0.564 0.247 0.138 0.269 
m5c92r2.htb 36.438 0.612 0.085 0.529 0.012 
m5c94r2.htb 52.910 0.509 0.979 0.339 0.857 
m5c95r2.htb 300.000 0.532 0.626 0.354 0.670 
m5c100r2.htb 26.360 0.516 0.911 0.266 0.633 
m5c103r2.htb 3.830 0.568 0.505 0.785 0.701 
m5c107r2.htb 300.000 0.507 0.447 0.295 0.786 
m5c108r3.htb 300.000 0.511 0.568 0.491 0.782 
m5c109r2.htb 35.315 0.405 0.028 0.917 0.874 
m5c111r2.htb 300.000 0.572 0.187 0.652 0.759 
m5c118r2.htb 10.705 0.519 0.606 0.037 0.018 
m5c125r2.htb 6.724 0.495 0.681 0.532 0.290 
m5c128r2.htb 106.598 0.478 0.531 0.237 0.855 
m5c135r2.htb 10.683 0.560 0.459 0.516 0.814 
m5c140r2.htb 107.728 0.537 0.360 0.913 0.465 
m5c152r2.htb 25.310 0.617 0.065 0.313 0.894 
m5c154r2.htb 22.040 0.649 0.000 0.464 0.800 
m5c156r2.htb 27.118 0.567 0.384 0.551 0.771 
m5c159r2.htb 33.753 0.603 0.382 0.383 0.312 
m5c163r2.htb 38.969 0.444 0.271 0.150 0.164 
m5c164r3.htb 9.787 0.570 0.424 0.312 0.914 
m5c166r2.htb 107.901 0.567 0.385 0.411 0.551 
m5c167r2.htb 16.733 0.513 0.890 0.848 0.711 
