FILE	          coherence	  1_bias	 2_bias	 3_bias	 1_thresh	 2_thresh	 3_thresh	
m5c0r253.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.219 0.500 0.594 0.875 0.906 0.939 1.000 33.000 32.000 32.000 32.000 32.000 32.000 32.000 33.000 32.000 
m5c0r254.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.191 0.485 0.695 0.855 0.924 0.977 1.000 132.000 131.000 131.000 132.000 131.000 131.000 131.000 131.000 132.000 
m5c0r255.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.013 0.100 0.338 0.650 0.850 0.925 1.000 1.000 80.000 80.000 80.000 80.000 80.000 80.000 80.000 81.000 80.000 
m5c0r256.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.225 0.643 0.718 0.831 1.000 1.000 1.000 71.000 70.000 71.000 70.000 71.000 71.000 71.000 71.000 71.000 
m5c0r257.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.144 0.351 0.640 0.730 0.901 0.991 1.000 111.000 111.000 111.000 111.000 111.000 111.000 111.000 112.000 111.000 
m5c0r258.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.129 0.329 0.543 0.729 0.857 1.000 1.000 70.000 70.000 70.000 70.000 70.000 70.000 70.000 70.000 71.000 
m5c0r259.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.080 0.267 0.420 0.730 0.940 0.990 1.000 101.000 101.000 100.000 101.000 100.000 100.000 100.000 101.000 101.000 
m5c0r260.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.028 0.378 0.278 0.722 0.806 0.944 1.000 1.000 37.000 36.000 37.000 36.000 36.000 36.000 36.000 36.000 36.000 
m5c0r261.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.059 0.250 0.465 0.713 0.980 1.000 1.000 101.000 101.000 101.000 100.000 101.000 101.000 101.000 101.000 101.000 
m5c0r262.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.057 0.143 0.429 0.500 0.914 1.000 1.000 70.000 70.000 70.000 70.000 70.000 70.000 70.000 70.000 70.000 
m5c0r263.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.158 0.317 0.554 0.725 0.941 1.000 1.000 102.000 102.000 101.000 101.000 101.000 102.000 101.000 101.000 102.000 
m5c0r264.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.014 0.044 0.232 0.449 0.750 1.000 1.000 1.000 68.000 69.000 68.000 69.000 69.000 68.000 68.000 68.000 68.000 
m5c0r270.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.029 0.246 0.449 0.609 0.754 0.913 0.971 1.000 69.000 69.000 69.000 69.000 69.000 69.000 69.000 69.000 69.000 
m5c0r265.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.019 0.067 0.076 0.210 0.457 0.924 0.962 106.000 105.000 105.000 105.000 105.000 105.000 105.000 105.000 105.000 
m5c0r266.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.010 0.109 0.196 0.267 0.376 0.461 0.832 0.902 102.000 102.000 101.000 102.000 101.000 101.000 102.000 101.000 102.000 
m5c0r267.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.041 0.102 0.265 0.449 0.510 0.898 0.918 49.000 49.000 49.000 49.000 49.000 49.000 49.000 49.000 49.000 
m5c0r268.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.000 0.000 0.077 0.232 0.380 0.599 0.838 0.958 0.993 142.000 142.000 142.000 142.000 142.000 142.000 142.000 142.000 142.000 
m5c0r269.htb -16.000 -6.400 -2.560 -1.020 0.000 1.020 2.560 6.400 16.000 0.007 0.059 0.132 0.322 0.487 0.638 0.829 0.993 0.993 152.000 152.000 152.000 152.000 152.000 152.000 152.000 152.000 152.000 
