FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c221r2.htb 30.000 28.000 0.314 0.116 0.072 1.405 1.075 0.800 0.218 0.186 0.404 14.427 15.552 35.038 0.499 0.531 0.350 0.970 0.576 0.022 180.000 0.000 0.000 0.033 0.968 -0.706 0.417 -0.661 0.052 
m2c226r2.htb 30.000 35.000 0.076 -0.271 -0.103 1.278 0.991 0.900 0.375 0.317 0.318 32.497 27.357 27.420 0.486 0.588 0.395 0.748 0.098 0.080 180.000 0.000 0.150 0.929 -0.521 0.035 -0.575 0.320 0.401 
m2c233r2.htb 30.000 27.000 0.080 -0.082 0.125 0.943 0.967 0.793 0.270 0.465 0.307 23.204 40.459 26.476 0.490 0.488 0.436 0.816 0.850 0.312 0.000 0.000 0.002 0.155 0.876 0.516 0.680 0.741 0.022 
m2c240r2.htb 30.000 37.000 0.430 0.189 0.199 1.111 1.042 0.822 1.195 0.228 0.467 147.962 22.602 27.205 0.744 0.690 0.619 0.000 0.000 0.050 0.000 0.000 0.656 0.000 -0.173 -0.989 -0.852 0.234 0.544 
m2c252r2.htb 30.000 36.000 0.639 -0.013 0.503 1.242 1.200 0.956 0.358 0.829 0.841 30.090 107.363 78.173 0.615 0.580 0.553 0.024 0.058 0.266 0.000 0.000 0.085 0.296 0.603 0.393 0.295 0.360 0.341 
m2c260r2.htb 30.000 34.000 -0.496 -0.632 0.034 1.202 1.074 0.833 0.643 0.155 0.969 60.206 15.146 15.205 0.564 0.570 0.563 0.210 0.198 0.242 0.000 0.000 0.014 0.001 -0.775 -0.910 -0.933 0.843 0.004 
m2c364r2.htb 30.000 35.000 0.110 0.215 -0.117 1.221 1.061 0.814 0.102 0.131 0.447 19.166 8.091 7.099 0.566 0.538 0.469 0.188 0.404 0.520 0.000 0.000 0.345 0.000 -0.357 -0.947 -0.941 0.266 0.488 
m2c365r2.htb 30.000 31.000 0.416 0.837 0.272 1.270 1.125 0.989 0.451 0.456 -0.005 9.797 29.442 11.512 0.557 0.452 0.462 0.258 0.404 0.484 0.000 0.000 0.003 0.116 0.864 0.561 0.815 0.543 0.131 
m2c368r2.htb 30.000 37.000 0.695 -0.757 -0.523 1.335 1.296 1.056 0.434 0.156 0.833 66.401 94.439 71.450 0.502 0.494 0.518 0.942 0.870 0.728 0.000 180.000 0.273 0.943 -0.410 -0.028 0.528 0.358 0.344 
m2c372r2.htb 28.000 30.000 0.335 0.359 -0.396 1.501 1.463 1.119 0.612 0.284 0.596 53.463 24.384 52.037 0.529 0.422 0.414 0.530 0.104 0.116 180.000 180.000 0.112 0.001 0.567 -0.909 -0.594 -0.477 0.195 
m2c374r2.htb 28.000 40.000 0.367 0.346 -0.320 1.476 1.026 1.057 0.268 0.207 0.272 19.754 17.450 23.330 0.632 0.299 0.324 0.002 0.000 0.000 180.000 180.000 0.011 0.000 -0.789 0.930 0.869 -0.732 0.025 
m2c376r2.htb 28.000 25.000 0.590 -0.257 -0.444 1.509 1.507 0.893 0.684 0.175 0.739 59.737 12.287 10.281 0.510 0.443 0.591 0.892 0.338 0.128 180.000 180.000 0.157 0.005 0.513 -0.833 -0.904 -0.298 0.436 
m2c382r2.htb 28.000 46.000 0.107 -0.422 -0.208 0.970 1.188 0.664 -6.654 0.070 -0.007 300.000 3.974 3.225 0.490 0.419 0.498 0.830 0.056 0.896 180.000 180.000 0.809 0.000 -0.094 0.939 0.945 -0.037 0.925 
m2c392r2.htb 28.000 26.000 0.189 -0.165 -0.266 1.085 1.381 1.113 0.265 0.905 -0.014 22.689 13.091 10.628 0.526 0.494 0.617 0.694 0.888 0.030 0.000 0.000 0.091 0.027 -0.595 -0.724 -0.792 0.614 0.078 
m2c403r2.htb 28.000 33.000 0.160 -0.195 -0.063 1.538 1.269 1.376 1.110 -0.002 -0.007 70.602 2.033 1.842 0.527 0.568 0.516 0.602 0.202 0.704 0.000 0.000 0.096 0.001 0.587 0.891 0.939 0.441 0.235 
m2c409r2.htb 28.000 17.000 -0.220 -1.725 -0.156 1.435 1.111 0.732 0.289 0.090 -2.028 300.000 36.586 300.000 0.370 0.486 0.383 0.082 0.960 0.154 180.000 0.000 0.936 0.389 -0.031 0.328 -0.020 -0.350 0.356 
