 
m2c748r3.htb	   1.00	 36.386	 20.266	 60.801	 
m2c748r7.htb	   1.00	 52.035	 32.001	 91.634	 
m2c748r8.htb	   1.00	 100.000	 89.616	 100.000	 
m2c748r10.htb	  -1.00	 60.799	 34.427	 100.000	 
m2c748r16.htb	   1.00	 39.687	 26.240	 56.828	 
m2c748r17.htb	  -1.00	 63.996	 39.982	 100.000	 
m2c748r29.htb	   3.80	 47.107	 26.838	 77.978	 
m2c748r30.htb	   3.80	 100.000	 68.148	 100.000	 
m2c748r36.htb	   3.80	 74.241	 44.804	 100.000	 
m2c748r41.htb	   3.80	 58.437	 44.044	 77.961	 
m2c749r3.htb	   3.00	 45.529	 26.115	 63.395	 
m2c749r6.htb	   3.00	 88.953	 45.298	 100.000	 
m2c749r7.htb	  -3.00	 48.001	 28.661	 85.366	 
m2c749r11.htb	   3.00	 46.045	 27.811	 74.891	 
m2c749r15.htb	  -3.00	 53.743	 34.779	 77.087	 
m2c749r18.htb	   3.00	 44.310	 32.597	 50.709	 
m2c749r19.htb	  -3.00	 83.175	 45.783	 100.000	 
	 
m2c768r4.htb	  13.00	 40.867	 18.806	 85.401	 
m2c768r9.htb	  13.00	 100.000	 97.714	 100.000	 
m2c768r19.htb	  13.00	 47.995	 13.360	 100.000	 
m2c768r26.htb	  13.00	 39.778	 25.759	 59.483	 
m2c769r3.htb	   4.50	 35.183	 24.232	 46.336	 
m2c769r5.htb	   4.50	 32.199	 21.191	 43.651	 
m2c769r3_5.htb	   4.50	 33.999	 25.525	 41.805	 
m2c769r6.htb	   4.50	 100.000	 96.417	 100.000	 
m2c769r9.htb	  -4.50	 67.943	 38.276	 100.000	 
m2c769r12.htb	   4.50	 29.852	 18.917	 46.145	 
m2c769r13.htb	  -4.50	 29.814	 21.310	 39.217	 
m2c770r3.htb	  10.00	 33.904	 23.658	 49.352	 
m2c770r4.htb	  10.00	 56.967	 35.544	 100.000	 
m2c770r6.htb	  10.00	 100.000	 96.410	 100.000	 
m2c770r10.htb	 -10.00	 39.598	 26.418	 57.601	 
m2c770r13.htb	  10.00	 29.333	 21.977	 37.083	 
m2c770r15.htb	 -10.00	 39.984	 26.450	 59.896	 
m2c771r2.htb	  12.00	 59.009	 26.683	 100.000	 
m2c771r5.htb	  12.00	 100.000	 93.630	 100.000	 
m2c771r7.htb	 -12.00	 42.690	 27.239	 70.511	 
m2c771r10.htb	  12.00	 36.399	 24.771	 52.388	 
m3c1203r2.htb	   9.00	 17.919	 11.486	 24.190	 
m3c1203r6.htb	   9.00	 35.286	 23.316	 51.651	 
m3c1203r7.htb	   9.00	 100.000	 98.013	 100.000	 
m3c1203r11.htb	   9.00	 18.052	 10.402	 26.944	 
m3c1206r3.htb	   2.00	 22.986	 13.234	 25.718	 
m3c1206r6.htb	   2.00	 100.000	 85.455	 100.000	 
m3c1206r13.htb	   2.00	 20.702	 14.125	 25.588	 
m3c1214r2.htb	   1.50	 100.000	 89.694	 100.000	 
m3c1214r11.htb	   1.50	 30.227	 19.217	 42.111	 
m3c1211r2.htb	   2.00	 14.901	  6.158	 26.953	 
m3c1211r5.htb	   2.00	 30.204	 20.670	 42.072	 
m3c1211r2_5.htb	   2.00	 24.250	 16.422	 32.968	 
m3c1211r6.htb	   2.00	 29.452	 20.753	 39.553	 
m3c1211r10.htb	   2.00	 100.000	 46.534	 100.000	 
m3c1211r11.htb	   2.00	 95.990	 56.352	 100.000	 
m3c1211r10_11.htb	   2.00	 100.000	 62.402	 100.000	 
m3c1211r18.htb	   2.00	 16.235	 11.776	 21.065	 
m3c1209r3.htb	   3.00	 18.509	 11.829	 24.042	 
m3c1209r9.htb	   3.00	 100.000	 99.104	 100.000	 
m3c1209r13.htb	   8.00	 22.123	 15.420	 29.917	 
m3c1209r17.htb	   8.00	 18.885	 14.080	 23.653	 
m4c36r4.htb	   7.80	 18.100	 10.862	 26.168	 
m4c36r5.htb	   7.80	 52.884	 39.927	 65.594	 
m4c36r9.htb	   7.80	 100.000	 99.212	 100.000	 
m4c36r12.htb	   7.80	 13.473	  9.782	 18.074	 
m4c36r13.htb	  -7.80	 16.917	 11.007	 23.857	 
m4c37r4.htb	   6.50	 48.613	 31.699	 73.633	 
m4c37r6.htb	   6.50	 100.000	 90.361	 100.000	 
m4c37r8.htb	   6.50	 100.000	 100.000	 100.000	 
m4c37r9.htb	  -6.50	 13.031	  7.929	 18.638	 
m4c37r18.htb	  -6.50	 11.903	  8.685	 15.376	 
m4c37r18.htb	   6.50	 12.231	  8.579	 16.753	 
m4c37r18.htb	  -6.50	 11.903	  8.649	 15.506	 
m4c37r18.htb	   6.50	 12.231	  8.420	 16.374	 
m4c38r6.htb	  -6.00	 51.203	 33.193	 84.600	 
m4c38r6.htb	   6.00	 32.185	 21.532	 45.789	 
m4c38r9.htb	   6.00	 30.905	 17.570	 47.559	 
m4c38r12.htb	  -6.00	 92.915	 61.850	 100.000	 
m4c38r12.htb	   6.00	 100.000	 99.236	 100.000	 
m4c38r13.htb	   6.00	 100.000	 98.785	 100.000	 
m4c38r15.htb	  -6.00	 33.812	 18.563	 56.497	 
m4c38r18.htb	  -6.00	 15.248	 11.642	 19.082	 
m4c38r18.htb	   6.00	 10.707	  7.688	 14.029	 
m4c38r21.htb	  -6.00	 16.940	 11.894	 22.890	 
m4c38r21.htb	   6.00	 20.584	 15.024	 26.817	 
m4c39r8.htb	  10.00	 77.209	 37.458	 100.000	 
m4c39r12.htb	 -10.00	 33.136	 24.940	 39.994	 
m4c39r12.htb	  10.00	 85.160	 68.818	 100.000	 
m4c39r15.htb	 -10.00	 52.401	 42.920	 61.953	 
m4c39r15.htb	  10.00	 30.395	 23.261	 38.398	 
m4c40r11.htb	   6.00	 55.008	 32.534	 100.000	 
m4c40r12.htb	   6.00	 23.891	 15.858	 28.223	 
m4c40r16.htb	  -6.00	 15.106	 11.230	 19.123	 
m4c40r16.htb	   6.00	 19.219	 13.419	 25.135	 
m4c43r5.htb	   2.00	 61.012	 38.149	 91.342	 
m4c43r17.htb	   2.00	 19.132	 12.673	 23.797	 
m4c47r7.htb	   9.00	 100.000	 99.125	 100.000	 
m4c47r11.htb	   9.00	 45.443	 31.920	 62.165	 
m4c48r3.htb	   5.40	 31.205	 19.444	 42.488	 
m4c48r7.htb	   5.40	 63.206	 36.410	 100.000	 
m4c48r9.htb	   5.40	 51.206	 29.790	 100.000	 
