FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m5c386r1.htb 92.327 132.673 142.574 113.861 115.182 116.832 122.112 131.023 110.231 125.248 147.525 11.895 17.610 18.399 11.608 8.064 7.439 14.521 4.928 5.801 2.061 130.363 118.812 142.574 162.376 161.056 150.495 127.228 112.871 67.574 118.812 20.083 15.934 10.891 23.624 18.098 16.870 8.886 13.924 7.326 17.968 
m5c387r1.htb 108.663 151.155 146.535 155.446 144.884 144.884 140.594 140.594 153.465 131.436 159.076 5.347 10.313 8.488 6.036 9.244 6.895 4.901 7.701 14.767 6.872 136.964 128.053 128.713 180.858 252.145 208.911 171.947 141.254 83.828 134.983 10.202 9.323 2.100 31.871 4.501 4.901 12.705 5.615 2.139 7.680 
m5c388r1.htb 74.010 96.370 102.640 114.191 73.267 80.858 90.099 93.729 101.320 110.891 105.941 9.433 11.900 32.504 7.298 5.726 14.559 2.933 1.439 5.453 6.954 52.475 45.545 52.805 103.300 214.521 203.300 166.337 102.723 46.782 56.436 5.630 6.493 3.148 13.164 3.300 10.311 18.310 7.022 6.020 9.445 
m5c389r1.htb 137.294 138.614 173.267 139.604 126.238 153.960 97.525 150.825 155.941 142.079 154.125 54.455 15.842 43.564 4.455 64.851 33.168 24.874 35.149 6.436 31.940 71.287 71.287 66.337 169.802 275.248 288.614 274.917 223.267 140.099 79.703 14.851 13.861 2.970 1.485 6.931 13.366 19.049 11.386 27.228 1.485 
m5c390r1.htb 71.287 92.409 103.630 71.287 98.350 93.729 99.670 78.548 84.818 80.858 79.868 7.962 8.294 2.524 6.036 18.998 20.960 4.967 10.321 10.129 12.954 55.446 57.426 72.937 105.611 130.033 112.871 80.528 81.188 33.003 47.525 5.557 12.833 16.602 4.102 14.371 8.603 2.915 6.752 10.202 2.425 
m5c392r1.htb 67.987 101.320 92.079 73.597 91.419 94.389 84.818 96.040 103.630 97.360 93.729 2.651 2.524 8.865 9.137 8.353 5.659 4.201 13.509 10.057 5.659 104.950 121.782 136.304 139.604 123.762 146.535 126.733 123.102 108.581 111.551 3.208 7.573 24.953 8.744 5.286 22.502 11.652 18.946 13.545 18.646 
m5c393r1.htb 60.726 61.386 72.607 62.046 69.967 64.356 71.947 64.026 63.696 67.987 72.607 10.455 17.854 12.954 20.511 9.876 8.697 8.865 22.926 11.909 2.829 32.343 41.254 71.947 130.693 109.571 83.498 60.396 53.135 35.314 36.964 7.962 6.654 8.114 5.049 15.566 7.420 29.711 9.454 8.754 12.052 
m5c394r1.htb 52.805 77.228 63.366 65.347 65.677 55.776 64.686 73.927 52.805 60.726 64.026 14.752 8.517 7.796 4.555 1.069 8.054 7.869 16.153 3.593 10.854 30.033 29.373 42.904 126.403 100.660 131.353 74.257 51.155 23.762 27.393 5.065 4.278 7.551 12.333 10.943 11.743 8.488 2.459 2.425 4.662 
m5c395r1.htb 90.347 125.413 119.554 97.690 96.370 125.743 107.921 111.881 116.832 117.079 132.343 14.025 12.131 6.314 7.807 17.163 1.852 7.573 19.851 13.652 4.662 78.878 71.617 94.059 144.554 227.063 217.162 200.660 175.578 106.931 66.007 9.505 3.593 4.372 17.249 13.743 23.704 15.924 8.555 18.838 8.114 
m5c396r1.htb 83.168 84.158 91.749 106.601 85.479 81.848 83.828 91.089 96.700 111.221 106.601 4.259 19.607 21.651 9.659 4.446 10.509 5.557 7.807 6.353 23.683 62.376 63.036 86.469 133.333 182.178 164.356 144.554 140.264 88.449 51.815 8.938 8.204 7.486 3.454 16.041 6.679 9.625 3.593 13.400 5.954 
m5c397r1.htb 91.089 129.703 137.294 115.842 131.683 106.601 104.620 130.033 133.993 101.650 133.993 27.969 26.900 16.695 21.143 25.669 4.662 5.161 13.582 16.031 13.010 79.538 82.838 129.373 181.848 213.201 180.528 166.997 159.736 98.350 74.587 13.234 13.814 20.319 6.314 9.709 6.353 6.505 23.683 6.467 11.764 
m5c399r1.htb 66.584 80.858 78.548 75.248 80.198 86.469 83.498 86.139 76.898 73.597 81.518 5.871 8.865 2.100 8.938 10.154 5.659 4.901 2.021 1.762 7.082 98.020 125.743 147.195 114.851 95.710 81.848 76.238 72.607 88.779 92.739 1.213 9.876 22.733 15.764 7.551 5.954 8.074 3.524 9.505 1.069 
m5c400r1.htb 103.960 109.901 116.172 106.601 123.515 114.851 129.703 117.162 114.851 109.901 117.162 5.453 8.862 10.638 6.251 9.074 22.715 3.630 12.947 12.576 16.070 132.343 140.264 174.257 138.614 128.713 131.436 105.611 112.871 130.363 137.624 17.228 15.773 25.230 5.453 12.300 9.570 20.294 9.917 12.291 26.915 
m5c401r1.htb 100.000 122.772 113.201 101.320 123.432 94.719 106.931 109.241 103.630 115.512 87.789 3.208 8.469 20.295 23.910 4.278 8.517 19.582 10.988 4.967 9.402 75.578 89.769 96.700 137.954 133.993 119.472 117.492 136.304 125.413 79.868 13.509 12.705 17.881 10.202 10.899 17.182 9.137 9.029 12.072 2.829 
m5c402r1.htb 76.980 106.601 112.211 107.591 83.168 100.660 98.680 107.591 108.581 102.970 102.310 19.113 11.743 8.054 4.901 15.021 6.907 18.488 16.349 9.801 20.307 75.908 68.977 82.508 104.290 139.604 143.894 157.096 161.386 167.987 78.548 3.454 5.301 4.662 12.954 4.372 12.840 12.452 1.400 8.754 15.086 
m5c403r1.htb 109.901 146.535 134.323 122.112 108.581 136.964 136.964 146.205 154.455 138.944 142.574 9.801 11.077 9.505 13.545 21.065 17.465 21.853 17.670 27.298 8.744 85.149 77.228 73.927 123.102 159.076 174.257 198.680 227.393 238.614 124.422 15.146 8.517 17.909 13.234 19.113 13.357 7.962 8.353 21.143 27.352 
