FILE	         Spon	 HTIve	 HTIvi	 VesP	         VisP	  VesPre	   VisPre	   VesSlo	    VisSlo      minVes      minVis     maxVes       maxVis
m2c362r5.htb	 29.25	    0.27	   0.59	   0.00	   0.00	   57.01	    64.50	   101.25	    101.25	    3.47	    4.13	   31.68	    85.31	    
m5c93r4.htb	 21.78	    0.84	   0.77	   0.00	   0.00	   39.94	    41.82	   78.75	    101.25	    14.65	    8.12	   58.02	    54.06	    
m2c367r4.htb	 4.75	    0.76	   0.80	   0.00	   0.00	   151.28	    156.14	   78.75	    123.75	    0.40	    0.79	   34.26	    33.66	    
m5c96r4.htb	 2.38	    0.70	   0.68	   0.00	   0.00	   20.89	    22.14	   101.25	    101.25	    1.78	    1.39	   33.07	    27.72	    
m2c371r4.htb	 21.58	    0.28	   0.45	   0.00	   0.00	   110.75	    112.47	   56.25	    56.25	    39.60	    22.18	   89.70	    52.87	    
m5c98r4.htb	 22.97	    0.49	   0.59	   0.00	   0.00	   134.43	    140.59	   202.50	    78.75	    27.92	    21.19	   135.05	    125.54	    
m5c99r4.htb	 17.23	    0.75	   0.79	   0.00	   0.00	   161.91	    156.10	   101.25	    101.25	    6.93	    4.75	   55.05	    69.11	    
m5c104r4.htb	 14.26	    0.80	   0.80	   0.00	   0.00	   134.57	    148.23	   78.75	    101.25	    6.93	    5.74	   55.45	    55.84	    
m2c386r4.htb	 17.03	    0.83	   0.76	   0.00	   0.00	   50.87	    62.35	   78.75	    123.75	    9.31	    6.73	   56.24	    67.72	    
m2c387r4.htb	 9.90	    0.08	   0.17	   0.00	   0.00	   76.00	    50.35	   101.25	    101.25	    39.01	    35.84	   66.53	    80.20	    
m2c415r4.htb	 14.85	    0.69	   0.67	   0.00	   0.00	   165.68	    154.20	   101.25	    78.75	    7.33	    3.56	   41.39	    35.05	    
m2c427r3.htb	 5.15	    0.70	   0.81	   0.00	   0.00	   308.19	    298.57	   247.50	    247.50	    3.17	    0.99	   57.82	    66.73	    
m2c440r4.htb	 12.48	    0.79	   0.75	   0.00	   0.00	   34.67	    38.45	   78.75	    101.25	    7.92	    6.14	   62.97	    61.98	    
