FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c220r1.htb	 4.36	    10.69	   15.25	   9.90	   6.14	   5.15	    6.93	   9.31	    5.35	    6.93	    11.88	   2.57	    3.96	    3.37	    6.34	   20.40	    31.68	2.732673e+001	 18.02	    9.50	   3.56	   12.83	   172.93	   0.01	    0.00	   
m2c221r1.htb	 12.67	    52.87	   48.12	   43.37	   38.42	   27.52	    17.62	   16.63	    18.61	    22.77	    39.21	   4.16	    8.12	    7.52	    5.15	   10.69	    13.47	2.316832e+001	 35.25	    39.21	   13.66	   16.36	   234.52	   0.00	    0.00	   
m2c223r1.htb	 5.66	    28.88	   23.93	   14.36	   11.55	   14.36	    21.45	   15.84	    14.19	    16.34	    21.62	   5.61	    3.80	    4.62	    0.66	   15.51	    38.94	6.072607e+001	 62.05	    47.03	   6.44	   5.65	   208.43	   0.00	    0.00	   
m2c226r1.htb	 16.83	    49.31	   39.21	   31.68	   24.55	   19.21	    20.40	   22.57	    22.97	    27.72	    42.57	   49.50	    28.32	    26.73	    11.49	   12.87	    7.13	5.940594e+000	 6.93	    15.45	   46.14	   352.21	   349.22	   0.00	    0.00	   
m2c231r1.htb	 34.85	    48.71	   28.12	   30.89	   33.47	   30.50	    26.93	   31.09	    40.20	    43.76	    46.53	   3.17	    2.97	    4.16	    10.30	   68.91	    88.91	9.326733e+001	 92.28	    54.26	   3.17	   305.06	   192.26	   0.00	    0.00	   
m2c233r1.htb	 23.17	    28.71	   22.52	   21.29	   24.75	   25.50	    25.99	   32.43	    33.42	    36.88	    31.19	   18.07	    9.90	    8.42	    10.15	   9.16	    11.14	4.232673e+001	 81.68	    133.91	   47.28	   251.78	   256.11	   0.00	    0.00	   
m2c236r1.htb	 8.20	    15.18	   22.28	   15.35	   18.81	   25.58	    26.57	   35.15	    29.87	    20.79	    16.17	   41.09	    31.12	    25.25	    35.31	   73.27	    84.65	9.059406e+001	 91.58	    79.07	   50.50	   179.99	   208.17	   0.01	    0.00	   
m2c237r1.htb	 22.49	    21.95	   27.06	   28.55	   34.98	   36.80	    33.95	   35.97	    32.25	    22.11	    26.87	   22.44	    35.64	    52.48	    118.65	   117.49	    88.45	3.943894e+001	 28.71	    20.63	   22.94	   147.96	   111.38	   0.01	    0.00	   
m2c240r1.htb	 25.35	    48.32	   56.24	   62.38	   61.19	   58.61	    63.37	   52.28	    36.44	    36.04	    40.59	   19.41	    18.22	    16.44	    14.46	   8.91	    13.66	1.168317e+001	 10.30	    11.09	   13.66	   96.26	   33.94	   0.00	    0.06	   
m2c241r1.htb	 14.46	    15.45	   13.66	   11.29	   11.88	   18.42	    19.01	   15.84	    28.12	    27.13	    25.94	   3.96	    1.98	    5.54	    8.51	   10.89	    7.33	4.158416e+000	 2.97	    5.54	   4.95	   259.34	   123.13	   0.00	    0.00	   
m2c252r1.htb	 13.47	    3.76	   7.92	   7.13	   11.49	   10.10	    13.47	   13.07	    19.01	    6.73	    6.53	   43.17	    44.36	    46.93	    52.08	   17.03	    3.56	2.970297e+000	 2.38	    3.37	   20.79	   175.30	   38.90	   0.01	    0.00	   
m2c254r1.htb	 4.16	    9.11	   9.50	   8.71	   7.33	   5.35	    2.77	   2.57	    2.57	    5.54	    9.70	   17.62	    17.82	    14.26	    4.16	   3.56	    4.75	4.950495e+000	 5.54	    6.73	   8.91	   6.23	   7.43	   0.00	    0.00	   
m2c258r1.htb	 8.91	    30.36	   36.44	   28.71	   29.90	   25.91	    23.10	   12.71	    25.15	    38.22	    21.29	   7.72	    12.08	    10.73	    12.71	   24.09	    42.74	3.531353e+001	 34.65	    14.06	   14.85	   2.23	   177.82	   0.02	    0.00	   
m2c260r1.htb	 10.69	    16.83	   19.55	   20.40	   17.43	   13.86	    12.87	   17.33	    15.45	    20.30	    16.83	   21.78	    16.83	    22.52	    16.58	   23.76	    30.69	3.386139e+001	 32.67	    23.27	   25.74	   332.04	   208.24	   0.11	    0.00	   
m2c364r1.htb	 12.21	    11.09	   10.30	   10.30	   15.05	   14.65	    13.27	   11.88	    14.06	    10.10	    6.34	   9.31	    24.75	    32.28	    51.29	   68.71	    51.68	1.881188e+001	 15.45	    13.86	   8.71	   139.28	   114.12	   0.01	    0.00	   
m2c365r1.htb	 11.39	    43.17	   36.04	   37.43	   25.94	   26.34	    23.96	   29.11	    29.31	    27.72	    35.05	   13.86	    21.98	    22.77	    12.48	   16.44	    17.23	2.475248e+001	 20.59	    16.63	   16.04	   349.66	   192.27	   0.00	    0.01	   
m2c368r1.htb	 27.85	    43.71	   44.84	   33.52	   37.34	   36.78	    36.78	   42.57	    39.32	    34.23	    41.16	   30.69	    28.15	    29.42	    28.43	   28.01	    26.31	2.545969e+001	 19.80	    20.93	   26.31	   25.69	   50.27	   0.05	    0.01	   
m2c369r1.htb	 19.38	    16.41	   16.01	   22.35	   22.11	   21.45	    23.10	   25.91	    21.12	    17.82	    12.54	   18.10	    26.45	    31.97	    33.99	   34.16	    22.91	7.920792e+000	 11.46	    7.59	   8.75	   158.42	   77.10	   0.02	    0.00	   
m2c370r1.htb	 18.95	    16.67	   18.48	   22.94	   27.39	   24.75	    31.02	   25.25	    22.44	    13.53	    17.00	   33.66	    30.69	    30.03	    34.16	   34.98	    23.10	2.161716e+001	 20.30	    23.93	   32.34	   135.43	   23.08	   0.00	    0.00	   
m2c372r1.htb	 12.08	    13.27	   15.05	   16.83	   13.27	   16.63	    15.25	   11.49	    17.03	    22.57	    19.01	   23.56	    33.66	    44.55	    45.74	   53.86	    46.93	3.049505e+001	 24.95	    18.42	   19.01	   282.82	   111.07	   0.06	    0.00	   
m2c374r1.htb	 14.65	    15.64	   14.26	   15.45	   20.99	   22.38	    24.55	   28.51	    20.99	    18.81	    19.21	   59.01	    49.31	    32.08	    13.27	   22.77	    12.67	1.227723e+001	 16.04	    20.40	   59.21	   176.80	   350.91	   0.00	    0.00	   
m2c376r1.htb	 13.86	    15.64	   12.08	   10.89	   9.50	   19.01	    22.77	   17.82	    17.23	    10.30	    11.68	   11.49	    11.88	    12.28	    19.60	   14.46	    16.24	2.297030e+001	 25.35	    19.41	   11.49	   165.99	   193.75	   0.04	    0.00	   
m2c378r1.htb	 2.57	    28.22	   11.68	   3.47	   3.71	   6.93	    10.15	   8.91	    17.82	    5.94	    11.14	   1.49	    0.99	    3.56	    20.05	   45.94	    73.07	1.074257e+002	 94.55	    41.83	   2.48	   335.11	   189.72	   0.00	    0.00	   
m2c382r1.htb	 5.80	    7.21	   10.18	   6.93	   5.94	   9.48	    9.90	   12.16	    9.48	    13.01	    13.15	   60.96	    31.40	    13.72	    5.66	   1.70	    2.55	2.545969e+000	 3.54	    46.96	   95.76	   256.38	   328.72	   0.00	    0.00	   
m2c392r1.htb	 12.67	    27.72	   24.50	   29.70	   36.63	   39.60	    37.38	   45.30	    38.61	    39.60	    30.45	   23.96	    19.06	    26.98	    25.25	   31.68	    39.01	3.405941e+001	 28.91	    13.07	   22.57	   193.93	   149.59	   0.01	    0.01	   
m2c403r1.htb	 27.52	    21.78	   19.41	   22.77	   21.98	   26.93	    30.89	   29.11	    28.71	    26.53	    24.75	   66.73	    58.22	    53.07	    13.07	   7.92	    5.94	9.108911e+000	 8.91	    64.75	   74.26	   200.42	   335.18	   0.01	    0.00	   
m2c409r1.htb	 3.37	    3.56	   6.53	   7.92	   12.87	   9.90	    8.12	   4.36	    4.75	    2.77	    4.95	   12.08	    12.48	    20.00	    22.77	   17.03	    14.26	9.504950e+000	 8.71	    6.73	   9.31	   97.42	   85.53	   0.00	    0.00	   
m2c417r1.htb	 20.13	    24.36	   21.39	   25.74	   24.36	   20.79	    18.02	   18.02	    15.45	    19.01	    23.17	   33.27	    29.31	    27.13	    38.22	   27.33	    24.75	2.990099e+001	 30.69	    33.07	   29.21	   22.62	   10.42	   0.01	    0.02	   
m2c423r1.htb	 11.72	    6.14	   7.33	   8.91	   11.88	   15.45	    13.66	   15.05	    10.69	    10.10	    7.92	   28.91	    30.30	    18.22	    10.89	   16.83	    10.89	1.069307e+001	 8.71	    15.05	   23.96	   167.29	   2.50	   0.01	    0.00	   
m2c427r1.htb	 0.79	    2.97	   2.77	   0.40	   0.59	   0.59	    0.40	   1.19	    0.99	    7.52	    6.93	   16.44	    8.51	    0.99	    1.19	   0.99	    0.99	1.584158e+000	 5.54	    52.87	   42.77	   306.67	   300.44	   0.00	    0.00	   
m2c429r1.htb	 12.28	    27.97	   26.98	   26.98	   23.27	   19.80	    14.36	   12.38	    9.41	    8.91	    20.79	   3.47	    8.42	    15.10	    16.34	   5.45	    2.97	1.732673e+000	 3.22	    3.22	   0.50	   34.32	   78.84	   0.00	    0.00	   
m2c436r1.htb	 18.42	    19.21	   16.83	   23.37	   22.57	   27.52	    31.09	   32.67	    29.50	    25.35	    20.99	   2.77	    9.11	    15.45	    23.56	   25.94	    29.50	2.138614e+001	 17.82	    9.90	   6.14	   188.83	   149.81	   0.00	    0.00	   
m2c441r1.htb	 5.35	    13.86	   16.44	   14.65	   11.09	   3.96	    2.97	   1.58	    1.98	    2.97	    5.74	   20.99	    36.83	    35.64	    19.01	   7.72	    5.54	5.148515e+000	 6.93	    16.83	   15.05	   33.81	   20.80	   0.00	    0.00	   
m2c443r1.htb	 5.94	    5.94	   6.11	   10.30	   10.89	   8.51	    9.41	   11.88	    8.91	    4.75	    6.93	   39.44	    34.85	    30.30	    21.29	   17.62	    17.03	1.801980e+001	 20.99	    32.28	   40.20	   148.60	   339.74	   0.05	    0.00	   
m2c445r1.htb	 13.66	    17.82	   23.37	   17.23	   22.97	   28.12	    32.48	   36.24	    35.05	    19.80	    19.01	   52.67	    41.98	    34.26	    18.02	   18.61	    17.23	2.336634e+001	 28.51	    9.50	   35.25	   173.03	   5.86	   0.00	    0.00	   
m2c450r1.htb	 5.74	    12.87	   10.69	   10.30	   11.68	   11.68	    15.84	   16.44	    9.11	    3.37	    10.10	   53.86	    51.49	    37.62	    6.73	   0.99	    1.19	1.386139e+000	 1.78	    8.12	   41.19	   115.73	   2.70	   0.00	    0.00	   
m5c15r1.htb	 3.17	    25.35	   28.71	   24.95	   17.43	   6.93	    8.12	   6.14	    6.73	    13.66	    25.94	   9.90	    10.30	    7.52	    10.50	   13.86	    15.45	1.326733e+001	 18.42	    26.73	   11.29	   8.06	   237.67	   0.00	    0.00	   
m5c25r1.htb	 2.81	    8.42	   5.28	   4.29	   3.80	   5.61	    4.29	   5.78	    4.13	    2.81	    5.78	   13.04	    11.06	    10.40	    6.77	   10.07	    4.13	4.950495e+000	 5.61	    14.36	   17.82	   9.53	   328.16	   0.01	    0.00	   
m5c29r1.htb	 4.95	    1.82	   2.48	   4.62	   3.80	   3.96	    4.46	   9.90	    18.39	    16.50	    5.61	   13.86	    21.12	    19.97	    22.94	   16.83	    8.91	9.075908e+000	 7.43	    6.27	   7.10	   233.22	   64.49	   0.00	    0.00	   
m5c30r1.htb	 20.59	    40.20	   28.32	   22.57	   31.88	   39.01	    35.45	   38.42	    34.06	    39.60	    38.02	   37.23	    28.91	    44.75	    28.51	   37.03	    37.82	3.326733e+001	 40.59	    49.70	   43.76	   268.07	   269.83	   0.00	    0.24	   
m5c35r1.htb	 5.28	    23.43	   14.19	   10.40	   10.23	   14.85	    16.50	   22.94	    16.34	    11.39	    20.96	   22.61	    33.33	    36.96	    35.48	   17.00	    13.37	8.910891e+000	 5.12	    8.25	   21.45	   290.08	   46.49	   0.00	    0.00	   
m5c37r1.htb	 21.19	    17.23	   19.60	   24.16	   27.13	   28.12	    25.94	   19.01	    20.40	    22.57	    21.78	   33.47	    28.32	    32.67	    30.69	   31.29	    28.91	3.069307e+001	 35.64	    50.69	   37.23	   127.30	   276.38	   0.02	    0.00	   
m5c38r1.htb	 34.65	    67.13	   77.62	   72.67	   71.29	   55.84	    58.61	   61.58	    58.22	    48.71	    51.49	   36.04	    40.99	    39.60	    39.80	   51.09	    59.21	8.039604e+001	 86.73	    92.28	   67.13	   71.01	   231.82	   0.08	    0.00	   
m5c40r1.htb	 6.14	    23.56	   18.22	   10.69	   8.32	   5.35	    3.96	   4.55	    6.14	    5.74	    15.84	   2.18	    3.17	    3.96	    8.91	   23.17	    31.88	2.693069e+001	 19.41	    6.14	   3.56	   4.32	   168.63	   0.00	    0.00	   
m5c42r1.htb	 13.86	    26.34	   24.75	   25.15	   22.77	   16.04	    14.46	   10.69	    14.46	    15.45	    18.02	   6.14	    8.12	    4.95	    8.32	   8.51	    7.52	1.485149e+001	 21.19	    14.26	   6.14	   25.41	   216.87	   0.01	    0.00	   
m5c46r1.htb	 19.52	    16.01	   16.83	   17.82	   17.16	   22.28	    21.95	   19.80	    17.00	    14.85	    13.53	   11.72	    12.71	    16.55	    22.28	   16.17	    15.84	9.735974e+000	 10.56	    6.27	   10.56	   140.45	   90.64	   0.01	    0.00	   
m5c49r1.htb	 15.59	    16.58	   14.60	   9.16	   11.14	   14.11	    15.84	   32.92	    23.51	    7.43	    12.38	   7.18	    7.92	    7.43	    25.25	   20.79	    20.05	1.386139e+001	 5.69	    5.45	   12.13	   180.31	   111.65	   0.00	    0.00	   
m5c54r1.htb	 11.88	    5.54	   5.35	   7.92	   4.95	   6.34	    11.29	   6.34	    9.70	    11.29	    6.14	   15.25	    26.34	    40.79	    37.62	   7.33	    4.75	4.950495e+000	 4.95	    6.53	   14.65	   217.56	   50.41	   0.00	    0.00	   
m5c63r1.htb	 24.38	    31.82	   35.79	   42.57	   49.22	   47.81	    44.70	   36.21	    37.62	    38.47	    37.06	   42.43	    50.78	    49.65	    62.52	   54.46	    47.67	3.818953e+001	 24.47	    18.25	   31.40	   126.74	   81.33	   0.00	    0.00	   
m5c66r1.htb	 33.17	    31.19	   37.13	   30.86	   36.80	   50.00	    50.83	   50.99	    41.75	    24.75	    26.07	   11.06	    13.37	    14.85	    19.80	   46.70	    55.45	5.082508e+001	 47.52	    40.10	   18.65	   147.07	   191.58	   0.01	    0.00	   
m5c67r1.htb	 21.29	    23.76	   20.30	   16.34	   19.55	   16.83	    18.56	   19.06	    23.76	    34.90	    32.43	   45.05	    27.97	    15.59	    8.17	   7.18	    8.91	1.732673e+001	 39.36	    92.57	   85.40	   293.59	   296.72	   0.00	    0.00	   
m5c69r1.htb	 6.93	    3.96	   2.23	   0.74	   1.24	   17.82	    22.52	   41.09	    50.99	    12.38	    6.68	   14.11	    24.26	    17.08	    3.47	   1.49	    0.99	3.465347e+000	 1.73	    0.74	   9.90	   202.57	   20.59	   0.00	    0.00	   
m5c70r1.htb	 5.94	    8.17	   11.88	   16.09	   25.74	   26.73	    27.23	   33.66	    33.17	    33.42	    20.30	   20.54	    13.86	    18.81	    22.52	   24.50	    31.44	3.465347e+001	 56.93	    87.87	   59.41	   201.42	   257.90	   0.00	    0.00	   
m5c71r1.htb	 3.96	    8.06	   8.35	   7.36	   3.11	   4.38	    9.19	   9.62	    11.60	    3.96	    3.68	   21.07	    33.95	    34.09	    19.09	   8.20	    1.41	1.980198e+000	 1.70	    3.54	   15.84	   174.47	   28.39	   0.04	    0.00	   
m5c75r1.htb	 16.44	    45.15	   37.23	   22.18	   13.47	   11.29	    12.28	   15.64	    15.64	    18.81	    48.91	   8.32	    12.67	    13.66	    20.99	   54.06	    77.43	8.514851e+001	 69.70	    26.53	   9.70	   347.25	   179.30	   0.00	    0.00	   
m5c79r1.htb	 15.05	    25.54	   28.12	   27.33	   34.06	   24.55	    35.05	   29.90	    18.22	    19.80	    18.61	   14.85	    14.06	    18.02	    22.97	   26.93	    27.13	1.940594e+001	 16.44	    12.08	   12.67	   105.27	   130.26	   0.00	    0.00	   
m5c81r1.htb	 20.79	    21.58	   22.97	   18.02	   19.01	   12.48	    15.64	   13.27	    14.06	    16.24	    19.60	   8.32	    7.52	    6.93	    22.38	   23.76	    26.14	3.069307e+001	 28.91	    16.44	   11.88	   19.81	   178.92	   0.10	    0.00	   
m5c82r1.htb	 15.35	    22.77	   29.70	   27.52	   16.44	   13.07	    17.82	   15.84	    19.21	    14.06	    20.00	   13.66	    32.67	    22.38	    15.05	   18.22	    16.04	1.326733e+001	 18.02	    30.30	   16.24	   27.46	   335.24	   0.00	    0.00	   
m5c83r1.htb	 13.66	    32.87	   28.32	   24.55	   23.76	   20.20	    26.14	   28.71	    27.92	    31.88	    32.67	   22.77	    26.34	    30.10	    21.98	   14.46	    14.46	1.287129e+001	 18.42	    21.78	   23.96	   306.02	   357.62	   0.01	    0.00	   
m5c87r1.htb	 5.12	    5.28	   8.09	   6.77	   9.57	   9.74	    8.25	   6.27	    2.48	    3.63	    3.47	   0.99	    0.99	    1.98	    0.83	   1.32	    6.60	7.920792e+000	 4.13	    8.25	   3.47	   91.75	   213.16	   0.00	    0.00	   
m5c92r1.htb	 22.57	    19.80	   17.03	   21.19	   24.75	   38.42	    32.87	   26.93	    23.37	    29.50	    24.55	   21.98	    24.95	    27.72	    19.60	   15.25	    18.81	1.227723e+001	 12.48	    12.87	   17.82	   190.85	   42.36	   0.04	    0.00	   
m5c95r1.htb	 13.12	    34.41	   23.27	   24.50	   19.55	   17.33	    19.06	   18.07	    23.27	    45.05	    44.06	   7.92	    9.65	    6.93	    5.94	   1.49	    0.00	1.732673e+000	 2.48	    1.73	   8.66	   308.23	   10.29	   0.00	    0.68	   
m5c100r1.htb	 6.27	    13.66	   14.26	   10.50	   7.33	   4.75	    7.13	   6.73	    3.96	    3.76	    7.33	   2.38	    2.57	    1.19	    2.38	   14.46	    21.39	1.722772e+001	 11.49	    6.53	   4.75	   36.72	   177.73	   0.02	    0.00	   
m5c103r1.htb	 8.66	    49.17	   48.18	   34.98	   17.16	   14.19	    14.85	   18.07	    21.53	    36.63	    52.81	   11.88	    10.23	    4.62	    1.24	   7.43	    15.35	1.782178e+001	 15.51	    7.59	   23.43	   340.32	   255.94	   0.00	    0.00	   
m5c107r1.htb	 11.72	    16.24	   17.62	   18.22	   17.43	   13.07	    12.67	   14.46	    11.09	    12.67	    15.25	   24.95	    29.90	    32.08	    30.30	   32.08	    21.78	1.445545e+001	 10.69	    8.71	   20.00	   42.57	   57.94	   0.01	    0.00	   
m5c108r1.htb	 31.29	    28.71	   48.02	   43.07	   41.34	   48.76	    36.88	   31.68	    21.98	    28.71	    22.38	   1.98	    0.25	    1.49	    2.77	   2.77	    2.18	3.960396e+000	 7.67	    8.71	   2.23	   82.84	   237.34	   0.00	    0.00	   
