FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c162r1.htb 0.916 
m2c163r1.htb 0.446 
m2c168r1.htb -0.105 
m2c170r1.htb -0.789 
m2c172r1.htb -0.477 
m2c174r1.htb 0.951 
m2c175r1.htb -0.578 
m2c176r1.htb 0.212 
m2c177r1.htb 0.072 
m2c178r1.htb -0.230 
m2c179r1.htb 0.324 
m2c180r1.htb 0.480 
m2c181r1.htb -0.349 
m2c182r1.htb -0.802 
m2c183r1.htb 0.286 
m2c184r1.htb -0.442 
m2c185r1.htb 0.725 
m2c186r1.htb -0.701 
m2c187r1.htb 0.702 
m2c189r1.htb 0.335 
m2c190r1.htb -0.805 
m2c191r1.htb -0.332 
m2c193r1.htb 0.731 
m2c195r1.htb 0.477 
m2c196r1.htb 0.922 
m2c197r1.htb 0.557 
m2c198r1.htb -0.239 
m2c199r1.htb 0.703 
m2c200r1.htb 0.841 
m2c202r1.htb 0.275 
m2c214r1.htb 0.656 
m2c220r1.htb -0.520 
m2c221r1.htb -0.714 
m2c223r1.htb -0.281 
m2c226r1.htb 0.958 
m2c231r1.htb -0.283 
m2c233r1.htb 0.887 
m2c236r1.htb 0.808 
m2c237r1.htb 0.731 
m2c240r1.htb 0.292 
m2c241r1.htb -0.149 
m2c242r1.htb 0.950 
m2c244r1.htb 0.254 
m2c247r1.htb 0.831 
m2c252r1.htb -0.525 
m2c254r1.htb 0.736 
m2c258r1.htb -0.641 
m2c260r1.htb -0.481 
m2c262r1.htb -0.649 
m2c364r1.htb 0.680 
m2c365r1.htb 0.086 
m2c368r1.htb 0.221 
m2c369r1.htb 0.246 
m2c370r1.htb -0.147 
m2c372r1.htb -0.361 
m2c374r1.htb -0.703 
m2c376r1.htb 0.203 
m2c378r1.htb -0.039 
m2c382r1.htb 0.389 
m2c384r1.htb -0.148 
m2c392r1.htb 0.428 
m2c403r1.htb -0.609 
m2c409r1.htb 0.907 
m2c417r1.htb 0.253 
m2c423r1.htb -0.754 
m2c427r1.htb 0.986 
m2c429r1.htb 0.545 
m2c436r1.htb 0.730 
m2c441r1.htb 0.911 
m2c443r1.htb -0.719 
m2c445r1.htb -0.386 
m2c450r1.htb -0.091 
m5c4r1.htb 0.404 
m5c6r1.htb 0.352 
m5c7r1.htb 0.302 
m5c8r1.htb -0.727 
m5c13r1.htb -0.692 
m5c14r1.htb 0.526 
m5c15r1.htb -0.541 
m5c25r1.htb 0.241 
m5c29r1.htb -0.656 
m5c30r1.htb 0.147 
m5c35r1.htb -0.401 
m5c37r1.htb -0.112 
m5c38r1.htb -0.756 
m5c40r1.htb -0.752 
m5c42r1.htb -0.645 
m5c46r1.htb 0.416 
m5c49r1.htb -0.014 
m5c54r1.htb -0.473 
m5c60r1.htb -0.768 
m5c63r1.htb 0.585 
m5c66r1.htb 0.703 
m5c67r1.htb 0.980 
m5c69r1.htb -0.576 
m5c70r1.htb 0.596 
m5c71r1.htb -0.156 
m5c74r1.htb -0.909 
m5c75r1.htb -0.694 
m5c79r1.htb 0.652 
m5c81r1.htb -0.822 
m5c82r1.htb 0.380 
m5c83r1.htb 0.232 
m5c87r1.htb -0.406 
m5c92r1.htb -0.560 
m5c94r1.htb -0.535 
m5c95r1.htb 0.322 
m5c100r1.htb -0.531 
m5c103r1.htb 0.243 
m5c107r1.htb 0.699 
m5c108r1.htb -0.573 
m5c109r1.htb -0.303 
m5c111r1.htb -0.095 
m5c118r1.htb -0.555 
m5c125r1.htb -0.481 
m5c128r1.htb 0.690 
m5c129r1.htb -0.343 
m5c135r1.htb 0.044 
m5c140r1.htb -0.131 
m5c152r1.htb -0.202 
m5c154r1.htb 0.046 
m5c156r1.htb 0.073 
m5c159r1.htb 0.259 
m5c163r1.htb -0.516 
m5c164r1.htb -0.516 
m5c166r1.htb 0.400 
m5c167r1.htb -0.044 
m5c170r1.htb -0.828 
m5c222r1.htb -0.578 
