FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c184r1.htb 25.743 17.624 22.178 23.366 33.465 45.347 57.228 60.198 57.624 33.267 21.782 3.273 4.016 3.970 1.073 5.267 4.118 4.856 5.371 4.296 2.950 61.386 50.297 52.673 31.485 33.663 42.574 43.564 54.257 42.970 61.584 4.618 1.832 4.264 1.865 4.067 2.295 5.524 5.924 5.068 4.766 
m2c185r1.htb 20.594 76.634 74.455 62.772 41.188 27.129 27.129 27.921 23.960 35.842 57.624 6.287 3.997 2.490 2.175 0.564 3.812 2.534 2.252 1.693 5.114 22.178 25.149 26.733 10.099 10.891 13.267 12.475 5.347 1.386 7.723 2.702 1.736 2.950 1.962 1.852 2.285 1.936 1.243 0.564 0.645 
m2c186r1.htb 22.178 24.356 24.554 22.772 24.158 24.158 22.376 21.188 19.802 25.149 26.931 1.805 0.886 1.526 1.291 1.338 0.965 1.243 1.400 0.899 1.962 7.723 8.713 10.099 10.693 7.327 8.911 9.307 11.089 9.307 5.941 1.073 1.073 2.225 1.182 0.828 1.262 3.064 2.083 1.469 0.700 
m2c187r1.htb 7.921 19.059 22.178 21.188 25.545 26.535 22.970 16.832 18.812 18.317 19.802 2.191 3.258 5.116 2.384 0.886 1.832 2.425 1.069 2.929 2.756 32.277 36.040 34.158 35.396 34.901 36.040 25.149 15.842 14.851 24.554 1.469 2.465 2.304 8.027 1.021 3.812 6.545 2.391 2.011 2.485 
m2c189r1.htb 7.723 17.228 10.693 11.485 16.832 14.257 13.663 16.634 26.535 34.851 19.406 2.610 2.675 2.465 4.644 1.192 3.777 4.792 3.936 3.060 4.883 14.653 18.812 20.990 29.901 23.960 14.851 8.911 15.842 29.901 20.990 1.073 2.778 2.698 4.073 2.916 4.142 0.783 0.990 2.279 3.455 
m2c190r1.htb 7.129 9.703 9.307 5.743 3.960 5.545 2.574 4.356 5.347 10.297 8.317 2.359 2.539 1.542 0.926 1.805 0.751 1.589 2.390 2.311 1.469 4.158 9.505 17.624 16.832 41.188 48.713 37.426 17.822 6.931 5.347 2.053 1.469 1.502 1.949 4.599 3.139 2.979 2.475 1.262 1.664 
m2c191r1.htb 21.782 22.772 17.228 20.000 17.228 13.267 12.079 14.059 18.416 25.941 22.970 1.949 2.146 1.281 2.364 1.243 1.328 0.414 2.146 1.962 1.129 54.455 49.901 69.703 77.822 61.980 63.762 58.812 46.139 53.465 52.079 8.524 2.792 3.780 1.627 1.904 4.572 6.702 1.291 4.926 5.541 
m2c193r1.htb 22.574 47.525 42.970 35.644 36.040 41.386 47.327 60.000 58.812 54.851 48.713 4.316 3.648 6.281 2.118 4.177 2.809 2.465 4.858 5.452 2.460 20.198 17.822 15.446 32.079 67.525 65.941 73.267 86.535 75.446 43.564 4.076 4.037 2.770 4.031 3.793 5.586 4.497 5.694 9.037 1.750 
m2c195r1.htb 1.733 7.921 0.330 2.640 4.950 4.950 9.571 14.851 24.752 39.274 21.782 1.683 0.330 1.190 1.143 0.990 1.838 3.748 2.287 3.148 1.512 4.290 5.281 10.891 10.561 7.261 8.251 2.475 2.970 21.782 7.261 0.873 2.008 1.512 1.190 1.439 2.164 0.572 1.143 2.952 1.439 
m2c196r1.htb 18.416 42.327 45.545 36.139 29.208 18.564 21.782 19.307 25.743 19.307 37.129 1.268 9.074 1.190 1.361 2.351 3.988 4.489 1.044 6.305 4.702 80.941 79.208 84.901 50.248 5.941 5.693 7.178 9.406 6.683 44.059 6.929 9.346 11.672 7.885 1.235 1.178 2.442 1.512 0.976 4.188 
m2c197r1.htb 13.366 21.188 20.198 14.653 20.792 13.861 14.653 16.436 16.238 15.644 16.634 0.965 1.338 1.832 2.711 1.750 2.460 2.390 2.539 1.657 1.799 76.436 88.911 94.059 58.218 15.248 3.564 2.970 4.752 2.574 40.198 4.392 4.766 5.297 2.460 2.702 1.192 0.926 2.023 0.899 1.550 
