FILE	 Spon	 VesPref	 VisPref	 VesP	 VisP	 VesDDI	 VisDDI	 Congruency
m6c69r1.htb	 18.416	 110.937	 218.540	 0.236	 0.000	 1.230	 2.099	 -0.137	 
m6c70r1.htb	 29.703	 101.878	 213.948	 0.775	 0.081	 1.127	 -3.202	 -0.452	 
m6c71r1.htb	 1.980	 141.224	 48.392	 0.014	 0.003	 -0.141	 -1.136	 -0.094	 
m6c72r1.htb	 22.525	 212.388	 21.687	 0.184	 0.000	 0.936	 -1.798	 -0.273	 
m6c73r1.htb	 15.446	 165.853	 57.983	 0.366	 0.000	 -0.829	 0.307	 -0.377	 
m6c74r1.htb	 18.812	 277.752	 356.601	 0.310	 0.000	 0.541	 -3.181	 0.282	 
m6c75r1.htb	 13.663	 313.691	 159.504	 0.391	 0.114	 0.246	 0.540	 -0.809	 
m6c76r1.htb	 9.158	 270.935	 264.491	 0.336	 0.003	 0.000	 -2.359	 0.475	 
m6c77r1.htb	 1.980	 175.216	 107.139	 0.765	 0.350	 -0.168	 3.373	 -0.259	 
m6c78r1.htb	 5.611	 17.258	 101.164	 0.913	 0.001	 -0.246	 2.858	 -0.034	 
m6c79r1.htb	 18.152	 155.671	 80.182	 NaN	 NaN	 1.500	 -0.000	 0.315	 
m6c80r1.htb	 5.743	 51.040	 200.452	 0.000	 0.008	 2.762	 3.600	 -0.112	 
m6c81r1.htb	 43.168	 123.586	 219.520	 0.732	 0.042	 0.457	 0.215	 -0.057	 
m6c82r1.htb	 9.241	 218.788	 5.237	 0.195	 0.027	 -0.685	 -6.328	 -0.543	 
m6c83r1.htb	 7.673	 310.037	 45.531	 0.726	 0.646	 -1.104	 -0.737	 0.635	 
m6c84r1.htb	 2.228	 211.720	 57.380	 0.796	 0.028	 -0.313	 -1.864	 -0.262	 
m6c85r1.htb	 8.713	 63.732	 296.001	 0.031	 0.000	 -1.103	 -1.600	 -0.330	 
m6c86r1.htb	 4.703	 206.354	 231.186	 0.730	 0.044	 -0.320	 0.772	 0.050	 
m6c87r1.htb	 12.673	 117.835	 172.934	 0.195	 0.025	 0.647	 2.250	 0.771	 
m6c88r1.htb	 23.102	 140.236	 212.008	 0.170	 0.004	 3.266	 2.117	 0.373	 
m5c390r1.htb	 71.287	 73.627	 130.812	 0.369	 0.000	 1.171	 2.600	 0.399	 
m5c389r1.htb	 137.294	 312.571	 171.331	 0.967	 0.000	 0.184	 27.706	 -0.344	 
m5c388r1.htb	 74.010	 287.146	 155.080	 0.273	 0.000	 -0.825	 28.949	 -0.651	 	 
m5c391r1.htb	 101.485	 263.496	 176.812	 193.931	 0.022	 0.001	 0.000	 1.382	 10.621	 6.122	 0.113	 
m6c171r1.htb	 4.478	 9.228	 38.363	 0.012	 0.000	 -1.062	 -8.133	 0.453	 
m6c171r1.htb	 4.455	 18.922	 43.882	 0.005	 0.000	 -1.466	 -9.139	 0.478	 
m6c195r1.htb	 3.564	 76.554	 33.151	 0.354	 0.005	 -0.807	 -3.363	 -0.174	 
m6c194r1.htb	 0.743	 197.096	 141.172	 0.694	 0.073	 1.108	 1.370	 0.332	 
m6c204r1.htb	 12.624	 339.178	 170.631	 0.035	 0.044	 -1.521	 1.911	 -0.362	 
m6c204r1.htb	 14.604	 345.391	 175.114	 0.064	 0.159	 -1.334	 1.468	 -0.480	 
m13c40r1.htb	 37.624	 347.609	 96.406	 0.778	 0.000	 0.815	 -1.279	 0.172	 
m13c40r2.htb	 43.168	 97.026	 106.348	 0.065	 0.095	 0.687	 -0.809	 0.289	 
m5c753r1.htb	 3.781	 162.214	 196.447	 0.616	 0.000	 0.372	 2.919	 0.352	 
m5c753r1.htb	 52.637	 262.896	 183.080	 0.018	 0.000	 0.470	 3.744	 0.366	 
m5c753r1.htb	 52.637	 262.896	 183.080	 0.018	 0.000	 0.470	 3.744	 0.366	 
m5c753r1.htb	 52.637	 262.896	 183.080	 0.018	 0.000	 0.470	 3.744	 0.366	 
m5c753r1.htb	 52.637	 262.896	 183.080	 0.018	 0.000	 0.470	 3.744	 0.366	 
m5c753r1.htb	 52.637	 262.896	 183.080	 0.018	 0.000	 0.470	 3.744	 0.366	 
m5c753r1.htb	 52.637	 262.896	 183.080	 0.018	 0.000	 0.470	 3.744	 0.366	 
m5c753r1.htb	 3.781	 162.214	 196.447	 0.616	 0.000	 0.372	 2.919	 0.352	 
m5c753r1.htb	 52.637	 262.896	 183.080	 0.018	 0.000	 0.470	 3.744	 0.366	 
m5c753r1.htb	 6.269	 126.951	 190.156	 0.832	 0.001	 0.230	 1.229	 0.379	 
m5c753r1.htb	 4.179	 183.607	 192.072	 0.996	 0.000	 -0.348	 1.831	 0.469	 
m5c753r1.htb	 9.055	 325.922	 186.728	 0.798	 0.000	 -0.566	 3.521	 -0.092	 
m13c44r1.htb	 62.772	 250.859	 121.160	 0.018	 0.041	 0.109	 1.478	 -0.258	 
m13c44r2.htb	 50.099	 190.232	 218.743	 0.090	 0.024	 0.989	 2.150	 0.315	 
m13c49r2.htb	 47.921	 16.382	 179.485	 0.699	 0.784	 -0.509	 1.305	 -0.925	 
m13c49r1.htb	 53.069	 98.848	 74.923	 0.138	 0.099	 1.168	 0.812	 0.670	 
m13c52r1.htb	 32.673	 254.443	 204.533	 0.002	 0.000	 0.438	 4.633	 0.652	 
m13c52r3.htb	 37.030	 177.699	 224.209	 0.499	 0.000	 0.589	 2.650	 0.495	 
m13c50r1.htb	 34.983	 185.817	 177.137	 0.080	 0.001	 -0.226	 7.244	 0.526	 
m13c51r1.htb	 25.248	 240.782	 189.936	 0.011	 0.005	 1.029	 2.799	 0.576	 
m13c30r1.htb	 23.960	 34.925	 172.946	 0.003	 0.000	 -1.242	 4.296	 -0.171	 
m13c30r1.htb	 24.752	 11.248	 186.305	 0.000	 0.000	 -3.264	 6.199	 -0.412	 
m13c30r1.htb	 14.059	 2.776	 195.582	 0.008	 0.000	 -2.083	 4.623	 -0.268	 
m13c30r1.htb	 20.594	 9.159	 185.500	 0.000	 0.000	 -4.280	 7.201	 -0.436	 
m13c30r1.htb	 15.248	 13.002	 186.233	 0.000	 0.000	 -3.781	 6.533	 -0.482	 
m13c30r1.htb	 15.248	 13.002	 186.233	 0.000	 0.000	 -3.781	 6.533	 -0.482	 
m13c30r1.htb	 0.198	 16.439	 320.796	 0.000	 0.000	 -6.055	 0.707	 0.253	 
m13c30r1.htb	 37.822	 12.358	 186.181	 0.000	 0.000	 -2.642	 7.340	 -0.336	 
m13c30r1.htb	 47.921	 14.149	 186.427	 0.000	 0.000	 -2.471	 8.736	 -0.258	 
m13c56r1.htb	 43.564	 254.095	 330.398	 0.000	 0.001	 1.183	 -0.510	 0.474	 
m13c56r2.htb	 44.950	 25.344	 233.346	 0.807	 0.000	 -0.071	 -0.115	 -0.035	 
