 FILE	        neuro1 	 neuro2 	 stim 	 pref1 	 p1 	 pref2 	 p2 	 DiffPref 	 noisecorrelation
m17c34r1.htb	 2.0000	 3.0000	 1.0000	 315.0000	 0.4290	 315.0000	 0.1311	 95.7585	 0.2170	 
m17c34r1.htb	 2.0000	 3.0000	 2.0000	 48.0631	 0.1581	 48.0631	 0.0031	 8.6298	 -0.4067	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 180.0000	 0.4553	 180.0000	 0.4290	 135.0000	 0.0947	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 208.6751	 0.1144	 208.6751	 0.1581	 160.6119	 -0.1422	 
m17c34r1.htb	 1.0000	 3.0000	 1.0000	 180.0000	 0.4553	 180.0000	 0.1311	 39.2415	 0.2757	 
m17c34r1.htb	 1.0000	 3.0000	 2.0000	 208.6751	 0.1144	 208.6751	 0.0031	 151.9821	 -0.2527	 
m17c34r1.htb	 2.0000	 3.0000	 1.0000	 315.0000	 0.4290	 315.0000	 0.1311	 95.7585	 0.2170	 
m17c34r1.htb	 2.0000	 3.0000	 2.0000	 48.0631	 0.1581	 48.0631	 0.0031	 8.6298	 -0.4067	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 180.0000	 0.4553	 180.0000	 0.4290	 135.0000	 0.0947	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 208.6751	 0.1144	 208.6751	 0.1581	 160.6119	 -0.1422	 
m17c34r1.htb	 1.0000	 3.0000	 1.0000	 180.0000	 0.4553	 180.0000	 0.1311	 39.2415	 0.2757	 
m17c34r1.htb	 1.0000	 3.0000	 2.0000	 208.6751	 0.1144	 208.6751	 0.0031	 151.9821	 -0.2527	 
m17c34r1.htb	 2.0000	 3.0000	 1.0000	 315.0000	 0.4290	 315.0000	 0.1311	 95.7585	 0.2170	 
m17c34r1.htb	 2.0000	 3.0000	 2.0000	 48.0631	 0.1581	 48.0631	 0.0031	 8.6298	 -0.4067	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 180.0000	 0.4553	 180.0000	 0.4290	 135.0000	 0.0947	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 208.6751	 0.1144	 208.6751	 0.1581	 160.6119	 -0.1422	 
m17c34r1.htb	 1.0000	 3.0000	 1.0000	 180.0000	 0.4553	 180.0000	 0.1311	 39.2415	 0.2757	 
m17c34r1.htb	 1.0000	 3.0000	 2.0000	 208.6751	 0.1144	 208.6751	 0.0031	 151.9821	 -0.2527	 
m17c34r1.htb	 2.0000	 3.0000	 1.0000	 315.0000	 0.4290	 315.0000	 0.1311	 95.7585	 0.2170	 
m17c34r1.htb	 2.0000	 3.0000	 2.0000	 48.0631	 0.1581	 48.0631	 0.0031	 8.6298	 -0.4067	 
m17c33r1.htb	 1.0000	 2.0000	 1.0000	 38.1872	 NaN	 38.1872	 NaN	 2.7842	 0.7500	 
m17c33r1.htb	 1.0000	 2.0000	 2.0000	 339.3931	 NaN	 339.3931	 NaN	 167.5129	 0.7143	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 354.1904	 0.9569	 354.1904	 0.0868	 130.6431	 0.0469	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 50.3607	 0.0000	 50.3607	 0.0000	 12.9701	 -0.3280	 
m17c35r1.htb	 1.0000	 2.0000	 1.0000	 242.4520	 0.2034	 242.4520	 0.0019	 47.3767	 0.1047	 
m17c35r1.htb	 1.0000	 2.0000	 2.0000	 111.1881	 0.0000	 111.1881	 0.0000	 9.9001	 0.2212	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 354.1904	 0.9569	 354.1904	 0.0868	 130.6431	 0.0469	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 50.3607	 0.0000	 50.3607	 0.0000	 12.9701	 -0.3280	 
m17c33r1.htb	 1.0000	 2.0000	 1.0000	 341.0006	 NaN	 341.0006	 NaN	 329.3101	 0.5000	 
m17c33r1.htb	 1.0000	 2.0000	 2.0000	 20.4225	 NaN	 20.4225	 NaN	 75.5814	 0.1429	 
m18c101r1.htb	 1.0000	 2.0000	 1.0000	 124.6522	 0.0034	 124.6522	 0.0001	 208.1075	 0.1096	 
m18c101r1.htb	 1.0000	 2.0000	 2.0000	 100.2917	 0.0000	 100.2917	 0.0000	 93.3642	 -0.1432	 
m18c101r1.htb	 1.0000	 2.0000	 1.0000	 124.6522	 0.0034	 124.6522	 0.0001	 208.1075	 0.1096	 
m18c101r1.htb	 1.0000	 2.0000	 2.0000	 100.2917	 0.0000	 100.2917	 0.0000	 93.3642	 -0.1432	 
m18c101r3.htb	 1.0000	 2.0000	 1.0000	 74.0061	 0.9618	 74.0061	 0.5753	 276.2232	 0.0073	 
m18c101r3.htb	 1.0000	 2.0000	 2.0000	 120.6877	 0.0000	 120.6877	 0.0000	 99.1293	 -0.1825	 
m18c104r1.htb	 1.0000	 2.0000	 1.0000	 173.3607	 0.6120	 173.3607	 0.0356	 116.5978	 -0.0748	 
m18c104r1.htb	 1.0000	 2.0000	 2.0000	 18.3129	 0.0000	 18.3129	 0.0000	 217.3002	 0.1624	 
m18c101r3.htb	 1.0000	 2.0000	 1.0000	 74.0061	 0.9618	 74.0061	 0.5753	 276.2232	 0.0073	 
m18c101r3.htb	 1.0000	 2.0000	 2.0000	 120.6877	 0.0000	 120.6877	 0.0000	 99.1293	 -0.1825	 
m18c107r1.htb	 1.0000	 2.0000	 1.0000	 49.9496	 0.8942	 49.9496	 0.5114	 12.9157	 0.3039	 
m18c107r1.htb	 1.0000	 2.0000	 2.0000	 153.5517	 0.0000	 153.5517	 0.0095	 57.9788	 0.3039	 
m17c32r1.htb	 1.0000	 2.0000	 2.0000	 195.4703	 0.6712	 195.4703	 0.5070	 29.5231	 -0.1133	 
m17c33r1.htb	 1.0000	 2.0000	 1.0000	 38.1872	 NaN	 38.1872	 NaN	 2.7842	 0.7500	 
m17c33r1.htb	 1.0000	 2.0000	 2.0000	 339.3931	 NaN	 339.3931	 NaN	 167.5129	 0.7143	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 354.1904	 0.9569	 354.1904	 0.0868	 130.6431	 0.0469	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 50.3607	 0.0000	 50.3607	 0.0000	 12.9701	 -0.3280	 
m17c35r1.htb	 1.0000	 2.0000	 1.0000	 242.4520	 0.2034	 242.4520	 0.0019	 47.3767	 0.1047	 
m17c35r1.htb	 1.0000	 2.0000	 2.0000	 111.1881	 0.0000	 111.1881	 0.0000	 9.9001	 0.2212	 
m17c32r1.htb	 1.0000	 2.0000	 2.0000	 195.4703	 0.6712	 195.4703	 0.5070	 29.5231	 -0.1133	 
m17c33r1.htb	 1.0000	 2.0000	 1.0000	 38.1872	 NaN	 38.1872	 NaN	 2.7842	 0.7500	 
m17c33r1.htb	 1.0000	 2.0000	 2.0000	 339.3931	 NaN	 339.3931	 NaN	 167.5129	 0.7143	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 354.1904	 0.9569	 354.1904	 0.0868	 130.6431	 0.0469	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 50.3607	 0.0000	 50.3607	 0.0000	 12.9701	 -0.3280	 
m17c35r1.htb	 1.0000	 2.0000	 1.0000	 242.4520	 0.2034	 242.4520	 0.0019	 47.3767	 0.1047	 
m17c35r1.htb	 1.0000	 2.0000	 2.0000	 111.1881	 0.0000	 111.1881	 0.0000	 9.9001	 0.2212	 
m18c101r1.htb	 1.0000	 2.0000	 1.0000	 134.9466	 0.0002	 134.9466	 0.0000	 130.0688	 0.1810	 
m18c101r1.htb	 1.0000	 2.0000	 2.0000	 88.9995	 0.0000	 88.9995	 0.0000	 78.7435	 -0.0380	 
m18c101r3.htb	 1.0000	 2.0000	 1.0000	 116.7744	 0.6293	 116.7744	 0.4144	 89.9827	 0.0070	 
m18c101r3.htb	 1.0000	 2.0000	 2.0000	 114.8771	 0.0000	 114.8771	 0.0000	 92.9882	 -0.1799	 
m17c32r1.htb	 1.0000	 2.0000	 2.0000	 195.4703	 0.6712	 195.4703	 0.5070	 29.5231	 -0.1133	 
m17c33r1.htb	 1.0000	 2.0000	 1.0000	 38.1872	 NaN	 38.1872	 NaN	 2.7842	 0.7500	 
m17c33r1.htb	 1.0000	 2.0000	 2.0000	 339.3931	 NaN	 339.3931	 NaN	 167.5129	 0.7143	 
m17c32r1.htb	 1.0000	 2.0000	 2.0000	 195.4703	 0.6712	 195.4703	 0.5070	 29.5231	 -0.1133	 
m17c33r1.htb	 1.0000	 2.0000	 1.0000	 38.1872	 NaN	 38.1872	 NaN	 2.7842	 0.7500	 
m17c33r1.htb	 1.0000	 2.0000	 2.0000	 339.3931	 NaN	 339.3931	 NaN	 167.5129	 0.7143	 
m17c34r1.htb	 1.0000	 2.0000	 1.0000	 354.1904	 0.9569	 354.1904	 0.0868	 130.6431	 0.0469	 
m17c34r1.htb	 1.0000	 2.0000	 2.0000	 50.3607	 0.0000	 50.3607	 0.0000	 12.9701	 -0.3280	 
m17c35r1.htb	 1.0000	 2.0000	 1.0000	 242.4520	 0.2034	 242.4520	 0.0019	 47.3767	 0.1047	 
m17c35r1.htb	 1.0000	 2.0000	 2.0000	 111.1881	 0.0000	 111.1881	 0.0000	 9.9001	 0.2212	 
m18c101r1.htb	 1.0000	 2.0000	 1.0000	 134.9466	 0.0002	 134.9466	 0.0000	 130.0688	 0.1810	 
m18c101r1.htb	 1.0000	 2.0000	 2.0000	 88.9995	 0.0000	 88.9995	 0.0000	 78.7435	 -0.0380	 
m18c101r3.htb	 1.0000	 2.0000	 1.0000	 116.7744	 0.6293	 116.7744	 0.4144	 89.9827	 0.0070	 
m18c101r3.htb	 1.0000	 2.0000	 2.0000	 114.8771	 0.0000	 114.8771	 0.0000	 92.9882	 -0.1799	 
m18c103r1.htb	 1.0000	 2.0000	 1.0000	 334.2268	 0.8350	 334.2268	 0.4497	 40.1132	 -0.2882	 
m18c103r1.htb	 1.0000	 2.0000	 2.0000	 0.0000	 1.0000	 0.0000	 0.0325	 224.5042	 0.0270	 
m18c103r1.htb	 1.0000	 3.0000	 1.0000	 334.2268	 0.8350	 334.2268	 0.0149	 14.6276	 -0.0051	 
m18c103r1.htb	 1.0000	 3.0000	 2.0000	 0.0000	 1.0000	 0.0000	 0.1376	 68.1688	 -0.0733	 
m18c103r1.htb	 2.0000	 3.0000	 1.0000	 294.1136	 0.4497	 294.1136	 0.0149	 54.7408	 0.3712	 
m18c103r1.htb	 2.0000	 3.0000	 2.0000	 224.5042	 0.0325	 224.5042	 0.1376	 156.3355	 0.3221	 
m18c104r1.htb	 1.0000	 2.0000	 1.0000	 176.7875	 0.0001	 176.7875	 0.1224	 121.0746	 -0.1524	 
m18c104r1.htb	 1.0000	 2.0000	 2.0000	 23.8717	 0.0000	 23.8717	 0.0000	 205.8359	 0.0365	 
m18c107r1.htb	 1.0000	 2.0000	 1.0000	 42.2100	 0.5094	 42.2100	 0.4105	 29.3669	 0.3991	 
m18c107r1.htb	 1.0000	 2.0000	 2.0000	 151.9951	 0.0000	 151.9951	 0.0434	 66.5609	 0.1802	 
m18c109r1.htb	 1.0000	 2.0000	 1.0000	 146.4064	 0.0038	 146.4064	 0.7979	 44.4183	 0.0965	 
m18c109r1.htb	 1.0000	 2.0000	 2.0000	 152.7433	 0.0000	 152.7433	 0.0008	 47.5660	 0.1311	 
m18c109r3.htb	 1.0000	 2.0000	 1.0000	 5.9731	 0.1639	 5.9731	 0.7103	 65.0464	 -0.1417	 
m18c109r3.htb	 1.0000	 2.0000	 2.0000	 178.2542	 0.0000	 178.2542	 0.0189	 43.3634	 0.0047	 
m18c110r1.htb	 1.0000	 2.0000	 1.0000	 172.0359	 0.0005	 172.0359	 0.0007	 161.7340	 0.1244	 
m18c110r1.htb	 1.0000	 2.0000	 2.0000	 148.5842	 0.0311	 148.5842	 0.0000	 135.4447	 0.3128	 
m18c108r1.htb	 1.0000	 2.0000	 1.0000	 275.9151	 0.7987	 275.9151	 0.1034	 87.0987	 0.4463	 
m18c108r1.htb	 1.0000	 2.0000	 2.0000	 253.4889	 0.7322	 253.4889	 0.0000	 82.4572	 0.4651	 
m18c108r2.htb	 1.0000	 2.0000	 1.0000	 13.4915	 0.4246	 13.4915	 0.3767	 139.5560	 -0.1662	 
m18c108r2.htb	 1.0000	 2.0000	 2.0000	 313.4294	 0.0020	 313.4294	 0.0079	 99.9449	 -0.0419	 
m18c109r3.htb	 1.0000	 2.0000	 1.0000	 5.9731	 0.1639	 5.9731	 0.7103	 65.0464	 -0.1417	 
m18c109r3.htb	 1.0000	 2.0000	 2.0000	 178.2542	 0.0000	 178.2542	 0.0189	 43.3634	 0.0047	 
m18c101r3.htb	 1.0000	 2.0000	 1.0000	 5.9731	 0.1639	 5.9731	 0.7103	 65.0464	 -0.1417	 
m18c101r3.htb	 1.0000	 2.0000	 2.0000	 178.2542	 0.0000	 178.2542	 0.0189	 43.3634	 0.0047	 
m18c101r1.htb	 1.0000	 2.0000	 1.0000	 124.6522	 0.0034	 124.6522	 0.0001	 208.1075	 0.1096	 
m18c101r1.htb	 1.0000	 2.0000	 2.0000	 100.2917	 0.0000	 100.2917	 0.0000	 93.3642	 -0.1432	 
m18c108r2.htb	 1.0000	 2.0000	 1.0000	 13.4915	 0.4246	 13.4915	 0.3767	 139.5560	 -0.1662	 
m18c108r2.htb	 1.0000	 2.0000	 2.0000	 313.4294	 0.0020	 313.4294	 0.0079	 99.9449	 -0.0419	 
m18c112r1.htb	 1.0000	 2.0000	 1.0000	 244.1011	 0.5205	 244.1011	 0.9653	 30.6231	 0.2684	 
m18c112r1.htb	 1.0000	 2.0000	 2.0000	 196.9895	 0.0000	 196.9895	 0.0000	 45.7292	 0.2441	 
m18c111r1.htb	 1.0000	 2.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.7973	 80.2082	 0.1711	 
m18c111r1.htb	 1.0000	 2.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0526	 309.9325	 -0.2792	 
m18c111r1.htb	 1.0000	 3.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.6128	 37.6691	 0.0898	 
m18c111r1.htb	 1.0000	 3.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0000	 241.2494	 -0.2834	 
m18c111r1.htb	 2.0000	 3.0000	 1.0000	 132.8028	 0.7973	 132.8028	 0.6128	 42.5391	 0.0562	 
m18c111r1.htb	 2.0000	 3.0000	 2.0000	 309.9325	 0.0526	 309.9325	 0.0000	 68.6831	 0.0587	 
m18c111r1.htb	 1.0000	 2.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.7973	 80.2082	 0.1711	 
m18c111r1.htb	 1.0000	 2.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0526	 309.9325	 -0.2792	 
m18c111r1.htb	 1.0000	 3.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.6128	 37.6691	 0.0898	 
m18c111r1.htb	 1.0000	 3.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0000	 241.2494	 -0.2834	 
m18c111r1.htb	 2.0000	 3.0000	 1.0000	 132.8028	 0.7973	 132.8028	 0.6128	 42.5391	 0.0562	 
m18c111r1.htb	 2.0000	 3.0000	 2.0000	 309.9325	 0.0526	 309.9325	 0.0000	 68.6831	 0.0587	 
m18c111r11.htb	 1.0000	 2.0000	 1.0000	 314.4455	 0.3599	 314.4455	 0.7261	 172.0570	 0.6884	 
m18c111r11.htb	 1.0000	 2.0000	 2.0000	 178.7177	 0.9313	 178.7177	 0.6215	 66.3526	 0.3702	 
m18c111r11.htb	 1.0000	 3.0000	 1.0000	 314.4455	 0.3599	 314.4455	 0.3568	 213.5986	 -0.2422	 
m18c111r11.htb	 1.0000	 3.0000	 2.0000	 178.7177	 0.9313	 178.7177	 0.0241	 79.2884	 0.0525	 
m18c111r11.htb	 2.0000	 3.0000	 1.0000	 142.3885	 0.7261	 142.3885	 0.3568	 41.5416	 -0.2346	 
m18c111r11.htb	 2.0000	 3.0000	 2.0000	 245.0703	 0.6215	 245.0703	 0.0241	 12.9358	 0.0346	 
m18c111r1.htb	 1.0000	 2.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.7973	 80.2082	 0.1711	 
m18c111r1.htb	 1.0000	 2.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0526	 309.9325	 -0.2792	 
m18c111r1.htb	 1.0000	 3.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.6128	 37.6691	 0.0898	 
m18c111r1.htb	 1.0000	 3.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0000	 241.2494	 -0.2834	 
m18c111r1.htb	 2.0000	 3.0000	 1.0000	 132.8028	 0.7973	 132.8028	 0.6128	 42.5391	 0.0562	 
m18c111r1.htb	 2.0000	 3.0000	 2.0000	 309.9325	 0.0526	 309.9325	 0.0000	 68.6831	 0.0587	 
m18c113r1.htb	 1.0000	 2.0000	 1.0000	 12.1454	 0.4995	 12.1454	 0.8511	 167.9904	 0.2818	 
m18c113r1.htb	 1.0000	 2.0000	 2.0000	 347.3047	 0.0000	 347.3047	 0.0111	 10.3799	 0.2884	 
m18c114r1.htb	 1.0000	 2.0000	 1.0000	 203.2916	 0.0465	 203.2916	 0.0109	 62.7854	 0.1153	 
m18c114r1.htb	 1.0000	 2.0000	 2.0000	 211.3396	 0.0000	 211.3396	 0.1368	 109.4655	 -0.0591	 
m18c111r1.htb	 1.0000	 2.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.7973	 80.2082	 0.1711	 
m18c111r1.htb	 1.0000	 2.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0526	 309.9325	 -0.2792	 
m18c111r1.htb	 1.0000	 3.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.6128	 37.6691	 0.0898	 
m18c111r1.htb	 1.0000	 3.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0000	 241.2494	 -0.2834	 
m18c111r1.htb	 2.0000	 3.0000	 1.0000	 132.8028	 0.7973	 132.8028	 0.6128	 42.5391	 0.0562	 
m18c111r1.htb	 2.0000	 3.0000	 2.0000	 309.9325	 0.0526	 309.9325	 0.0000	 68.6831	 0.0587	 
m18c102r22.htb	 1.0000	 2.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.7973	 80.2082	 0.1711	 
m18c102r22.htb	 1.0000	 2.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0526	 309.9325	 -0.2792	 
m18c102r22.htb	 1.0000	 3.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.6128	 37.6691	 0.0898	 
m18c102r22.htb	 1.0000	 3.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0000	 241.2494	 -0.2834	 
m18c102r22.htb	 2.0000	 3.0000	 1.0000	 132.8028	 0.7973	 132.8028	 0.6128	 42.5391	 0.0562	 
m18c102r22.htb	 2.0000	 3.0000	 2.0000	 309.9325	 0.0526	 309.9325	 0.0000	 68.6831	 0.0587	 
m18c102r22.htb	 1.0000	 2.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.7973	 80.2082	 0.1711	 
m18c102r22.htb	 1.0000	 2.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0526	 309.9325	 -0.2792	 
m18c102r22.htb	 1.0000	 3.0000	 1.0000	 52.5946	 0.4780	 52.5946	 0.6128	 37.6691	 0.0898	 
m18c102r22.htb	 1.0000	 3.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0000	 241.2494	 -0.2834	 
m18c102r22.htb	 2.0000	 3.0000	 1.0000	 132.8028	 0.7973	 132.8028	 0.6128	 42.5391	 0.0562	 
m18c102r22.htb	 2.0000	 3.0000	 2.0000	 309.9325	 0.0526	 309.9325	 0.0000	 68.6831	 0.0587	 
m18c112r1.htb	 1.0000	 2.0000	 1.0000	 244.1011	 0.5205	 244.1011	 0.9653	 30.6231	 0.2684	 
m18c112r1.htb	 1.0000	 2.0000	 2.0000	 196.9895	 0.0000	 196.9895	 0.0000	 45.7292	 0.2441	 
m18c112r1.htb	 1.0000	 2.0000	 1.0000	 244.1011	 0.5205	 244.1011	 0.9653	 30.6231	 0.2684	 
m18c112r1.htb	 1.0000	 2.0000	 2.0000	 196.9895	 0.0000	 196.9895	 0.0000	 45.7292	 0.2441	 
m18c108r22.htb	 1.0000	 2.0000	 1.0000	 13.4012	 0.6523	 13.4012	 0.8296	 191.0809	 -0.1626	 
m18c108r22.htb	 1.0000	 2.0000	 2.0000	 314.6656	 0.0030	 314.6656	 0.0726	 91.4244	 0.0487	 
m18c115r1.htb	 1.0000	 2.0000	 1.0000	 160.9158	 0.0001	 160.9158	 0.0080	 192.5411	 -0.3152	 
m18c115r1.htb	 1.0000	 2.0000	 2.0000	 12.8070	 0.0000	 12.8070	 0.0785	 73.7483	 -0.2238	 
m18c115r1.htb	 1.0000	 2.0000	 1.0000	 159.9604	 0.0099	 159.9604	 0.0347	 149.5302	 -0.3441	 
m18c115r1.htb	 1.0000	 2.0000	 2.0000	 14.1218	 0.0000	 14.1218	 0.1507	 116.8088	 -0.4161	 
m18c115r11.htb	 1.0000	 2.0000	 1.0000	 138.6224	 0.5794	 138.6224	 0.4612	 138.6224	 -0.2679	 
m18c115r11.htb	 1.0000	 2.0000	 2.0000	 1.4351	 0.0000	 1.4351	 NaN	 1.4351	 0.2178	 
m18c115r11.htb	 1.0000	 3.0000	 1.0000	 138.6224	 0.5794	 138.6224	 0.3897	 165.5815	 -0.5435	 
m18c115r11.htb	 1.0000	 3.0000	 2.0000	 1.4351	 0.0000	 1.4351	 0.0050	 92.6030	 -0.1315	 
m18c115r11.htb	 2.0000	 3.0000	 1.0000	 0.0000	 0.4612	 0.0000	 0.3897	 304.2039	 0.3754	 
m18c115r11.htb	 2.0000	 3.0000	 2.0000	 0.0000	 NaN	 0.0000	 0.0050	 94.0381	 -0.0689	 
m18c115r1.htb	 1.0000	 2.0000	 1.0000	 160.9158	 0.0001	 160.9158	 0.0080	 192.5411	 -0.3152	 
m18c115r1.htb	 1.0000	 2.0000	 2.0000	 12.8070	 0.0000	 12.8070	 0.0785	 73.7483	 -0.2238	 
m18c115r1.htb	 1.0000	 2.0000	 1.0000	 160.9158	 0.0001	 160.9158	 0.0080	 192.5411	 -0.3152	 
m18c115r1.htb	 1.0000	 2.0000	 2.0000	 12.8070	 0.0000	 12.8070	 0.0785	 73.7483	 -0.2238	 
m18c115r1.htb	 1.0000	 2.0000	 1.0000	 160.9158	 0.0001	 160.9158	 0.0080	 192.5411	 -0.3152	 
m18c115r1.htb	 1.0000	 2.0000	 2.0000	 12.8070	 0.0000	 12.8070	 0.0785	 73.7483	 -0.2238	 
m18c116r1.htb	 1.0000	 2.0000	 1.0000	 173.2585	 0.0924	 173.2585	 0.1183	 79.6149	 0.0024	 
m18c116r1.htb	 1.0000	 2.0000	 2.0000	 235.7645	 0.2219	 235.7645	 0.0003	 115.6562	 -0.2623	 
m18c117r2.htb	 1.0000	 2.0000	 1.0000	 183.7712	 0.3202	 183.7712	 0.4945	 15.8594	 0.5792	 
m18c117r2.htb	 1.0000	 2.0000	 2.0000	 166.5944	 0.0000	 166.5944	 0.0000	 13.1983	 0.8004	 
m18c117r2.htb	 1.0000	 2.0000	 1.0000	 183.7712	 0.3202	 183.7712	 0.4945	 15.8594	 0.5792	 
m18c117r2.htb	 1.0000	 2.0000	 2.0000	 166.5944	 0.0000	 166.5944	 0.0000	 13.1983	 0.8004	 
m18c117r1.htb	 1.0000	 2.0000	 1.0000	 173.6777	 0.4884	 173.6777	 0.4519	 89.3458	 0.1451	 
m18c117r1.htb	 1.0000	 2.0000	 2.0000	 170.7396	 0.0000	 170.7396	 0.0271	 117.0226	 0.0942	 
m18c119r11.htb	 1.0000	 2.0000	 1.0000	 137.9979	 0.0023	 137.9979	 0.2843	 39.7269	 0.3277	 
m18c119r11.htb	 1.0000	 2.0000	 2.0000	 166.8531	 0.4362	 166.8531	 0.3315	 13.6461	 0.1790	 
m18c118r1.htb	 1.0000	 2.0000	 1.0000	 260.2402	 0.2714	 260.2402	 0.4735	 6.2692	 -0.1107	 
m18c118r1.htb	 1.0000	 2.0000	 2.0000	 332.7966	 0.0115	 332.7966	 0.0490	 19.4492	 0.1062	 
m18c121r11.htb	 1.0000	 2.0000	 1.0000	 101.6859	 0.3769	 101.6859	 0.8141	 99.8783	 -0.0893	 
m18c121r11.htb	 1.0000	 2.0000	 2.0000	 2.7354	 0.0000	 2.7354	 0.0000	 59.9646	 -0.0554	 
m17c38r1.htb	 1.0000	 2.0000	 1.0000	 193.8631	 0.0553	 193.8631	 0.4356	 58.8631	 0.0119	 
m17c38r1.htb	 1.0000	 2.0000	 2.0000	 65.5470	 0.0000	 65.5470	 1.0000	 65.5470	 0.0391	 
m17c38r1.htb	 1.0000	 2.0000	 1.0000	 190.1428	 0.1480	 190.1428	 0.4385	 55.1428	 0.0321	 
m17c38r1.htb	 1.0000	 2.0000	 2.0000	 67.5460	 0.0000	 67.5460	 1.0000	 67.5460	 0.3035	 
m17c36r1.htb	 1.0000	 2.0000	 1.0000	 0.8019	 0.4901	 0.8019	 0.0599	 338.5517	 -0.1162	 
m17c36r1.htb	 1.0000	 2.0000	 2.0000	 79.2009	 0.2224	 79.2009	 0.2205	 17.8923	 0.0490	 
m17c36r1.htb	 1.0000	 2.0000	 1.0000	 0.8019	 0.4901	 0.8019	 0.0599	 338.5517	 -0.1162	 
m17c36r1.htb	 1.0000	 2.0000	 2.0000	 79.2009	 0.2224	 79.2009	 0.2205	 17.8923	 0.0490	 
m17c37r1.htb	 1.0000	 2.0000	 1.0000	 301.5032	 0.9879	 301.5032	 0.7876	 56.5063	 0.1752	 
m17c37r1.htb	 1.0000	 2.0000	 2.0000	 146.0579	 0.2585	 146.0579	 0.0050	 1.1606	 0.2048	 
m17c38r1.htb	 1.0000	 2.0000	 1.0000	 193.8631	 0.0553	 193.8631	 0.4356	 58.8631	 0.0119	 
m17c38r1.htb	 1.0000	 2.0000	 2.0000	 65.5470	 0.0000	 65.5470	 1.0000	 65.5470	 0.0391	 
m17c38r1.htb	 1.0000	 2.0000	 1.0000	 193.8631	 0.0553	 193.8631	 0.4356	 58.8631	 0.0119	 
m17c38r1.htb	 1.0000	 2.0000	 2.0000	 65.5470	 0.0000	 65.5470	 1.0000	 65.5470	 0.0391	 
m17c39r1.htb	 1.0000	 2.0000	 1.0000	 140.1212	 0.9847	 140.1212	 0.7993	 86.5768	 0.2879	 
m17c39r1.htb	 1.0000	 2.0000	 2.0000	 345.6077	 0.0182	 345.6077	 0.0720	 179.0147	 0.0004	 
m17c39r1.htb	 1.0000	 2.0000	 1.0000	 140.1212	 0.9847	 140.1212	 0.7993	 86.5768	 0.2879	 
m17c39r1.htb	 1.0000	 2.0000	 2.0000	 345.6077	 0.0182	 345.6077	 0.0720	 179.0147	 0.0004	 
m17c40r1.htb	 1.0000	 2.0000	 1.0000	 345.8747	 0.9901	 345.8747	 1.0000	 262.2947	 0.6946	 
m17c40r1.htb	 1.0000	 2.0000	 2.0000	 81.7145	 0.0693	 81.7145	 0.0027	 175.0628	 0.2741	 
m17c41r1.htb	 1.0000	 2.0000	 1.0000	 19.6214	 0.0662	 19.6214	 0.6303	 36.6885	 -0.1279	 
m17c41r1.htb	 1.0000	 2.0000	 2.0000	 5.1656	 0.0000	 5.1656	 0.7360	 101.9737	 -0.0147	 
m17c41r1.htb	 1.0000	 3.0000	 1.0000	 19.6214	 0.0662	 19.6214	 0.2922	 275.7314	 0.2625	 
m17c41r1.htb	 1.0000	 3.0000	 2.0000	 5.1656	 0.0000	 5.1656	 0.0000	 125.2655	 0.0906	 
