 FILE	        neuro1 	 neuro2 	 stim 	 pref1 	 p1 	 pref2 	 p2 	 DiffPref 	 noisecorrelation
m17c23r1.htb	 1.0000	 3.0000	 1.0000	 332.9657	 0.1998	 332.9657	 0.1998	 42.1440	 0.1040	 
m17c23r1.htb	 1.0000	 3.0000	 2.0000	 162.7062	 0.0136	 162.7062	 0.0136	 40.0785	 0.0626	 
m17c23r1.htb	 2.0000	 3.0000	 1.0000	 146.5221	 0.1998	 146.5221	 0.1998	 144.2997	 0.0532	 
m17c23r1.htb	 2.0000	 3.0000	 2.0000	 206.1736	 0.0136	 206.1736	 0.0136	 3.3889	 -0.0584	 
m17c25r1.htb	 1.0000	 2.0000	 1.0000	 77.7153	 0.3547	 77.7153	 0.3547	 32.1898	 -0.0476	 
m17c25r1.htb	 1.0000	 2.0000	 2.0000	 187.6224	 0.0000	 187.6224	 0.0000	 138.6724	 -0.0121	 
m17c26r1.htb	 1.0000	 2.0000	 1.0000	 55.4422	 0.5386	 55.4422	 0.5386	 0.3336	 -0.0010	 
m17c26r1.htb	 1.0000	 2.0000	 2.0000	 64.6972	 0.1732	 64.6972	 0.1732	 45.3630	 0.1062	 
m17c26r1.htb	 1.0000	 3.0000	 1.0000	 55.4422	 0.8860	 55.4422	 0.8860	 34.3689	 0.1950	 
m17c26r1.htb	 1.0000	 3.0000	 2.0000	 64.6972	 0.1394	 64.6972	 0.1394	 21.7044	 0.1679	 
m17c26r1.htb	 1.0000	 4.0000	 1.0000	 55.4422	 0.0125	 55.4422	 0.0125	 38.3093	 -0.3301	 
m17c26r1.htb	 1.0000	 4.0000	 2.0000	 64.6972	 0.0000	 64.6972	 0.0000	 152.1566	 0.0138	 
m17c26r1.htb	 2.0000	 3.0000	 1.0000	 55.1086	 0.8860	 55.1086	 0.8860	 34.0353	 -0.1261	 
m17c26r1.htb	 2.0000	 3.0000	 2.0000	 19.3342	 0.1394	 19.3342	 0.1394	 67.0674	 -0.0987	 
m17c26r1.htb	 2.0000	 4.0000	 1.0000	 55.1086	 0.0125	 55.1086	 0.0125	 37.9756	 0.2117	 
m17c26r1.htb	 2.0000	 4.0000	 2.0000	 19.3342	 0.0000	 19.3342	 0.0000	 197.5196	 0.0035	 
m17c26r1.htb	 3.0000	 4.0000	 1.0000	 21.0733	 0.0125	 21.0733	 0.0125	 3.9404	 0.0503	 
m17c26r1.htb	 3.0000	 4.0000	 2.0000	 86.4016	 0.0000	 86.4016	 0.0000	 130.4522	 0.2239	 
m17c27r1.htb	 1.0000	 2.0000	 1.0000	 10.7991	 0.2563	 10.7991	 0.2563	 15.9674	 -0.0769	 
m17c27r1.htb	 1.0000	 2.0000	 2.0000	 193.6387	 0.0006	 193.6387	 0.0006	 60.6827	 0.2709	 
m17c27r1.htb	 1.0000	 3.0000	 1.0000	 10.7991	 0.8965	 10.7991	 0.8965	 228.1238	 -0.0290	 
m17c27r1.htb	 1.0000	 3.0000	 2.0000	 193.6387	 0.3064	 193.6387	 0.3064	 95.2797	 0.0883	 
m17c27r1.htb	 2.0000	 3.0000	 1.0000	 26.7665	 0.8965	 26.7665	 0.8965	 212.1564	 -0.0113	 
m17c27r1.htb	 2.0000	 3.0000	 2.0000	 132.9560	 0.3064	 132.9560	 0.3064	 155.9624	 -0.2514	 
m17c28r1.htb	 1.0000	 2.0000	 1.0000	 342.7846	 0.0754	 342.7846	 0.0754	 282.1514	 -0.1401	 
m17c28r1.htb	 1.0000	 2.0000	 2.0000	 248.5391	 0.6634	 248.5391	 0.6634	 194.9169	 -0.0377	 
m17c28r1.htb	 1.0000	 3.0000	 1.0000	 342.7846	 0.0017	 342.7846	 0.0017	 4.8293	 0.0601	 
