FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c195r1.htb	 53.71	    223.97	   228.76	   0.23	   0.23	   
m2c196r1.htb	 43.76	    9.54	   28.11	   0.03	   0.00	   
m2c197r1.htb	 35.15	    316.30	   31.77	   0.78	   0.00	   
m2c198r1.htb	 50.30	    3.95	   157.89	   0.68	   0.47	   
m2c199r1.htb	 18.61	    117.97	   87.42	   0.47	   0.00	   
m2c200r1.htb	 40.59	    314.10	   1.32	   0.35	   0.00	   
m2c202r1.htb	 38.81	    297.14	   339.49	   0.82	   0.06	   
m2c214r1.htb	 31.49	    180.23	   164.64	   0.96	   0.00	   
m2c220r1.htb	 26.14	    355.67	   178.26	   0.04	   0.00	   
m2c221r1.htb	 34.06	    19.87	   202.74	   0.03	   0.00	   
m2c223r1.htb	 35.93	    9.47	   215.97	   0.12	   0.00	   
m2c226r1.htb	 50.89	    225.33	   349.88	   0.00	   0.00	   
m2c231r1.htb	 39.60	    298.55	   224.03	   0.40	   0.00	   
m2c233r1.htb	 40.99	    260.55	   251.84	   0.18	   0.00	   
m2c236r1.htb	 46.53	    279.27	   197.72	   0.53	   0.00	   
m2c237r1.htb	 45.12	    184.81	   159.58	   0.68	   0.00	   
m2c240r1.htb	 31.49	    120.65	   33.52	   0.97	   0.96	   
m2c241r1.htb	 36.44	    315.63	   41.23	   0.43	   0.99	   
m2c242r1.htb	 43.76	    81.51	   105.76	   0.25	   0.00	   
m2c252r1.htb	 48.71	    261.31	   119.33	   0.40	   0.04	   
m2c254r1.htb	 42.97	    318.81	   320.00	   0.07	   0.00	   
m2c258r1.htb	 41.91	    252.04	   179.03	   0.16	   0.42	   
m2c260r1.htb	 39.41	    130.27	   181.93	   0.61	   0.55	   
m2c262r1.htb	 49.36	    81.66	   144.45	   0.56	   0.00	   
m2c364r1.htb	 38.78	    176.28	   98.82	   0.11	   0.00	   
m2c365r1.htb	 46.37	    350.49	   169.13	   0.44	   0.88	   
m2c368r1.htb	 34.41	    83.14	   116.78	   0.73	   0.00	   
m2c369r1.htb	 46.25	    152.39	   70.61	   0.40	   0.08	   
m2c370r1.htb	 28.57	    78.59	   107.08	   0.48	   0.00	   
m2c374r1.htb	 43.96	    190.74	   9.19	   0.47	   0.00	   
m2c376r1.htb	 41.42	    149.75	   184.50	   0.13	   0.00	   
m2c378r1.htb	 51.68	    321.83	   185.18	   0.55	   0.00	   
m2c382r1.htb	 40.74	    327.75	   351.27	   0.98	   0.02	   
m2c384r1.htb	 34.98	    315.03	   211.97	   0.62	   0.00	   
m2c392r1.htb	 41.98	    44.00	   117.64	   0.03	   0.00	   
m2c403r1.htb	 34.46	    200.68	   5.63	   0.87	   0.00	   
m2c409r1.htb	 42.18	    44.80	   98.76	   0.98	   0.99	   
m2c417r1.htb	 41.58	    25.07	   32.81	   0.31	   0.42	   
m2c423r1.htb	 32.51	    202.43	   20.50	   0.00	   0.00	   
m2c427r1.htb	 39.80	    339.59	   326.43	   0.15	   0.00	   
m2c429r1.htb	 31.09	    53.59	   78.06	   0.37	   0.05	   
m2c436r1.htb	 32.28	    132.34	   124.98	   0.00	   0.00	   
m2c441r1.htb	 41.78	    29.81	   31.60	   0.03	   0.00	   
m2c443r1.htb	 44.88	    173.66	   343.01	   0.00	   0.00	   
m2c445r1.htb	 43.17	    197.34	   10.52	   0.00	   0.00	   
m2c450r1.htb	 41.58	    117.15	   19.20	   0.45	   0.00	   
m5c25r1.htb	 39.77	    355.59	   13.67	   0.10	   0.00	   
m5c29r1.htb	 48.37	    165.44	   47.67	   0.29	   0.01	   
m5c30r1.htb	 43.17	    156.61	   300.95	   0.00	   0.00	   
m5c35r1.htb	 48.02	    208.19	   17.20	   0.03	   0.01	   
m5c37r1.htb	 37.62	    227.99	   278.07	   0.34	   0.00	   
m5c40r1.htb	 42.77	    3.75	   174.05	   0.08	   0.00	   
m5c42r1.htb	 51.68	    324.54	   264.75	   0.66	   0.74	   
m5c46r1.htb	 42.57	    194.22	   126.37	   0.16	   0.00	   
m5c54r1.htb	 39.41	    211.77	   57.45	   0.15	   0.00	   
m5c60r1.htb	 48.12	    311.33	   140.77	   0.91	   0.00	   
m5c63r1.htb	 38.74	    174.57	   65.80	   0.72	   0.00	   
m5c66r1.htb	 39.93	    7.58	   162.66	   0.85	   0.00	   
m5c67r1.htb	 23.76	    270.17	   287.84	   0.15	   0.00	   
m5c69r1.htb	 50.74	    247.24	   349.32	   0.00	   0.01	   
m5c70r1.htb	 40.59	    189.55	   267.00	   0.00	   0.00	   
m5c71r1.htb	 56.15	    144.87	   27.50	   0.10	   0.00	   
m5c74r1.htb	 28.85	    268.00	   68.97	   0.00	   0.00	   
m5c75r1.htb	 38.61	    329.55	   166.66	   0.00	   0.00	   
m5c79r1.htb	 25.94	    106.75	   125.36	   0.79	   0.46	   
m5c82r1.htb	 55.45	    67.50	   232.44	   0.26	   0.01	   
m5c83r1.htb	 45.35	    206.90	   96.62	   0.00	   0.00	   
m5c87r1.htb	 46.04	    200.93	   31.50	   0.32	   0.00	   
m5c92r1.htb	 28.12	    212.74	   141.62	   0.08	   0.00	   
m5c94r1.htb	 52.15	    126.54	   240.13	   0.91	   0.00	   
m5c95r1.htb	 42.82	    223.83	   10.44	   0.08	   0.01	   
m5c100r1.htb	 55.45	    52.09	   195.40	   0.14	   0.00	   
m5c103r1.htb	 38.61	    312.36	   286.53	   0.00	   0.00	   
m5c107r1.htb	 44.39	    169.91	   32.81	   0.55	   0.00	   
m5c108r1.htb	 30.50	    105.99	   248.99	   0.00	   0.00	   
m5c109r1.htb	 47.52	    27.46	   172.74	   0.06	   0.00	   
m5c111r1.htb	 34.46	    192.90	   4.54	   0.17	   0.00	   
m5c118r1.htb	 28.22	    143.98	   346.04	   0.78	   0.21	   
m5c125r1.htb	 34.16	    152.66	   341.46	   0.05	   0.01	   
m5c128r1.htb	 43.32	    53.02	   108.12	   0.50	   0.00	   
m5c129r1.htb	 48.51	    158.51	   298.97	   0.48	   0.00	   
m5c135r1.htb	 49.50	    243.23	   292.01	   0.02	   0.00	   
m5c140r1.htb	 39.41	    4.09	   316.30	   0.02	   0.00	   
m5c152r1.htb	 48.71	    224.81	   278.24	   0.01	   0.00	   
m5c154r1.htb	 38.22	    323.44	   192.65	   0.03	   0.46	   
m5c156r1.htb	 25.58	    26.47	   32.52	   0.00	   0.05	   
m5c159r1.htb	 41.19	    190.50	   8.04	   0.00	   0.00	   
m5c163r1.htb	 38.42	    299.34	   104.56	   0.04	   0.92	   
m5c166r1.htb	 41.19	    236.69	   25.07	   0.22	   0.00	   
m5c167r1.htb	 45.54	    31.26	   139.99	   0.22	   0.04	   
m5c170r1.htb	 42.18	    215.66	   14.79	   0.00	   0.00	   
