
m2c30r1.htb	 -1.165	 1.011	 
m2c37r1.htb	 0.806	 -2.026	 
m2c39r1.htb	 0.205	 3.070	 
m2c44r1.htb	 1.635	 6.801	 
m2c56r1.htb	 -1.121	 -8.181	 
m2c66r1.htb	 -1.470	 4.053	 
m2c73r1.htb	 0.043	 0.433	 
m2c76r1.htb	 -1.108	 -0.141	 
m2c77r1.htb	 -0.865	 1.886	 
m2c95r1.htb	 0.938	 -0.573	 
m2c116r1.htb	 0.651	 -5.118	 
m2c121r1.htb	 1.434	 2.583	 
m2c123r1.htb	 0.026	 -1.305	 
m2c129r1.htb	 1.273	 8.403	 
m2c147r1.htb	 -0.360	 -0.017	 
m2c148r1.htb	 -0.242	 1.091	 
m2c151r1.htb	 3.174	 7.362	 
m2c155r1.htb	 -2.028	 3.515	 
m2c162r1.htb	 -2.439	 0.442	 
m2c169r1.htb	 1.256	 2.522	 
m2c170r1.htb	 0.872	 -4.906	 
m2c172r1.htb	 -0.032	 -0.853	 
m2c183r1.htb	 0.035	 -0.440	 
m2c193r1.htb	 0.703	 4.284	 
m2c201r1.htb	 0.419	 -4.201	 
m2c218r1.htb	 0.556	 3.203	 
m2c231r1.htb	 0.185	 9.071	 
m2c232r1.htb	 1.127	 4.767	 
m2c233r1.htb	 1.264	 4.079	 
m2c370r1.htb	 0.150	 1.535	 
m2c404r1.htb	 0.909	 -0.193	 
m2c407r1.htb	 -0.305	 3.524	 
m2c417r1.htb	 -0.159	 -1.190	 
m2c418r1.htb	 -0.404	 -1.562	 
m2c425r1.htb	 1.573	 -0.667	 
m2c430r1.htb	 1.027	 4.955	 
m2c442r1.htb	 -0.846	 2.911	 
m2c443r1.htb	 1.742	 -2.523	 
m2c446r1.htb	 1.000	 -11.239	 
m5c40r1.htb	 -0.654	 2.822	 
m5c62r1.htb	 -0.167	 4.875	 
m5c65r1.htb	 1.511	 5.469	 
m5c69r1.htb	 4.188	 -3.359	 
m5c109r1.htb	 -0.644	 3.578	 
m5c111r1.htb	 0.269	 -6.263	 
m5c135r1.htb	 1.271	 -0.972	 
m5c150r1.htb	 -0.101	 0.311	 
m5c153r1.htb	 2.687	 -3.860	 
m5c159r1.htb	 -0.580	 -1.343	 
m5c167r1.htb	 -0.562	 0.444	 
m13c150r1.htb	 -0.804	 0.649	 
m13c154r1.htb	 0.123	 -3.685	 
m13c189r1.htb	 -1.286	 0.026	 
m2c257r1.htb	 -0.123	 14.495	 
m2c378r1.htb	 -0.176	 4.739	 
m13c128r1.htb	 4.569	 0.313	 
m13c142r2.htb	 0.216	 -0.496	 
