FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c94r1.htb 9.307 209.624 2.412 0.003 0.000 17.822 14.851 9.703 16.634 18.614 21.782 34.653 26.139 16.832 27.129 4.052 3.914 3.216 2.605 2.279 2.214 6.824 2.792 2.620 3.369 67.129 51.485 53.069 33.861 21.980 14.257 12.277 13.663 23.168 60.396 3.455 6.378 5.176 6.645 4.163 3.003 2.175 1.374 1.771 12.573 
m2c97r1.htb 24.950 32.027 30.347 0.005 0.000 33.267 37.426 31.881 33.267 23.762 25.743 24.752 31.485 27.921 27.129 2.792 1.619 3.197 1.805 1.310 2.711 2.865 2.874 3.936 1.936 97.426 123.564 121.782 79.208 30.297 15.050 15.050 16.040 19.208 53.663 3.084 3.841 3.671 2.908 2.118 2.053 2.359 4.088 3.423 2.852 
m2c98r1.htb 22.178 83.559 291.072 0.000 0.000 38.218 41.386 44.554 49.703 44.158 40.000 34.455 27.525 20.792 28.317 5.116 3.119 2.450 1.993 1.771 1.338 2.053 3.216 1.949 1.627 21.980 18.812 17.228 42.772 14.059 13.069 17.030 30.693 54.455 38.812 1.619 1.262 2.146 3.695 0.886 0.813 1.374 2.778 1.679 0.886 
m2c99r1.htb 19.472 181.213 90.669 0.075 0.000 22.178 21.386 18.416 20.792 22.574 28.317 34.257 25.347 23.168 21.584 3.201 2.285 1.627 3.638 3.841 3.387 3.580 2.770 3.064 3.158 23.366 23.564 31.881 36.832 33.663 27.723 17.228 12.673 9.109 7.327 2.634 2.485 4.133 3.793 1.785 2.822 1.936 1.619 1.015 1.338 
m2c100r1.htb 29.703 180.152 95.076 0.026 0.000 34.936 28.996 30.410 32.390 41.749 35.502 43.140 34.795 31.966 30.363 3.999 2.739 2.532 2.295 3.166 2.900 2.019 3.020 3.004 2.578 24.470 32.343 34.795 44.696 41.726 35.078 25.318 16.407 15.276 13.296 2.070 3.032 3.852 2.624 3.831 1.713 1.760 2.332 1.275 1.908 
m2c101r1.htb 22.348 174.727 106.929 0.020 0.000 29.373 26.733 33.003 34.158 33.828 37.789 36.964 32.178 34.653 29.373 1.108 2.814 1.304 2.608 2.400 3.124 2.782 0.728 1.048 2.252 15.017 22.631 22.442 30.363 26.568 27.723 19.472 14.686 14.427 12.023 2.122 2.249 1.808 2.234 2.367 2.715 1.974 1.736 1.531 1.543 
m2c103r1.htb 7.525 275.496 317.289 0.001 0.000 25.545 13.465 10.099 8.713 11.881 17.624 21.188 23.168 23.168 24.752 6.439 2.941 3.040 1.542 3.553 2.765 3.860 3.084 5.822 2.322 39.604 18.416 15.644 12.475 12.673 4.752 8.317 19.802 37.030 49.703 3.976 2.634 2.023 1.999 3.119 1.374 1.701 2.991 5.618 4.447 
m2c109r1.htb 1.980 309.019 193.108 0.000 0.000 11.683 5.743 5.545 1.782 4.158 1.485 4.950 8.911 6.683 11.139 2.252 1.129 1.192 0.645 1.182 0.286 1.939 1.069 2.036 1.636 5.149 1.782 1.188 1.238 14.851 16.040 24.752 15.446 4.950 8.515 2.023 0.414 0.542 0.623 1.161 4.307 4.037 3.239 1.213 1.839 
m2c110r1.htb 2.574 331.122 181.720 0.003 0.000 22.525 19.059 10.396 9.158 9.901 9.901 10.644 15.099 15.347 24.752 3.596 2.208 3.919 2.486 1.924 1.476 1.178 1.503 3.446 1.924 6.683 2.970 2.228 4.950 13.861 25.248 28.218 19.554 5.941 9.158 0.976 1.320 0.547 0.467 1.808 2.008 3.539 4.791 2.034 1.429 
m2c116r1.htb 15.446 350.032 30.956 0.037 0.000 21.040 25.495 24.752 18.069 15.594 14.109 18.069 21.040 19.554 18.812 2.001 2.486 2.189 0.857 2.208 1.889 3.859 2.486 2.853 2.800 75.990 94.059 102.228 60.891 15.842 3.713 1.485 4.950 4.455 36.386 4.859 2.915 2.397 1.190 2.034 1.429 0.330 1.320 1.953 2.486 
m2c119r1.htb 72.937 173.896 30.164 0.083 0.007 67.525 60.231 64.158 80.792 71.881 74.851 82.376 81.584 58.614 80.990 7.346 4.659 4.968 7.769 8.325 5.998 8.527 6.238 4.741 7.404 51.683 51.287 53.663 47.525 25.347 31.089 53.069 26.733 40.990 44.158 9.640 7.262 4.307 4.735 6.592 2.539 6.498 5.468 6.059 5.128 
m2c121r1.htb 9.901 349.311 34.046 0.001 0.036 19.406 12.475 6.931 19.604 11.089 19.208 10.891 18.416 14.059 22.970 3.003 3.892 1.885 3.490 1.129 6.109 2.524 2.835 1.930 4.931 9.901 9.505 12.475 9.505 10.099 7.327 4.950 3.960 6.337 8.251 1.443 1.664 3.295 2.634 3.139 1.140 0.606 0.495 1.701 1.023 
m2c125r1.htb 8.416 282.304 39.288 0.026 0.000 17.228 14.851 19.802 16.832 16.172 8.911 14.026 20.462 20.396 13.267 1.276 1.743 2.425 3.284 3.471 1.904 2.085 2.108 2.536 2.417 38.812 49.703 58.086 39.604 10.396 3.762 2.145 2.970 4.158 12.673 1.103 3.392 3.012 2.544 1.915 2.133 0.859 0.443 0.485 1.547 
m2c126r1.htb 31.931 301.506 327.052 0.000 0.000 53.135 37.129 32.178 26.485 31.188 35.974 31.683 47.030 56.766 66.667 2.877 0.738 3.974 2.351 3.748 2.877 0.990 2.535 0.873 7.350 92.574 51.485 36.304 19.142 10.561 12.871 9.241 16.172 86.799 123.432 1.512 4.069 1.650 2.310 2.380 2.287 1.746 1.746 4.056 9.080 
m2c127r1.htb 13.663 53.250 27.814 0.003 0.000 14.356 19.554 18.564 18.812 16.337 15.347 13.119 13.366 14.851 15.842 1.777 1.268 0.976 2.425 0.990 2.214 1.082 1.896 1.400 2.761 69.802 85.644 79.455 51.733 9.158 2.970 3.713 4.703 5.941 38.119 4.537 3.974 4.582 2.736 1.429 0.000 3.178 3.971 2.287 3.630 
m2c128r1.htb 21.980 353.246 26.356 0.007 0.000 24.554 26.733 25.248 24.356 17.079 20.396 19.554 25.248 24.950 22.277 1.729 1.457 2.001 1.701 1.098 1.872 0.845 1.310 2.721 1.310 71.287 84.653 89.109 55.050 18.416 9.703 4.356 6.188 10.099 47.327 2.100 3.888 2.459 1.291 1.383 2.510 1.243 0.474 2.053 2.558 
m2c129r1.htb 0.248 163.308 172.692 0.001 0.000 2.475 0.000 1.733 2.475 2.970 7.178 7.921 4.290 0.330 0.248 0.990 0.000 0.976 1.715 0.990 0.547 1.512 2.380 0.330 0.286 0.330 5.941 1.733 4.455 37.376 50.743 44.059 30.941 9.571 0.990 0.330 5.453 1.268 1.650 4.948 2.696 4.489 2.486 0.873 0.467 
m2c130r1.htb 3.960 111.149 28.192 0.000 0.000 5.446 4.703 9.901 13.861 10.891 10.644 8.168 2.475 4.703 3.713 1.777 1.503 1.808 2.139 2.513 1.268 1.429 0.572 3.657 1.642 10.149 6.931 9.406 21.287 16.584 10.644 2.970 3.465 5.941 22.277 2.107 1.980 0.738 1.777 1.429 6.199 1.143 1.361 2.034 3.570 
m2c131r1.htb 1.584 165.179 171.986 0.000 0.000 1.485 0.495 3.465 4.158 7.525 6.436 8.168 4.950 1.238 0.990 0.639 0.286 1.642 0.645 1.192 1.429 1.302 2.021 0.474 0.606 2.970 1.980 3.218 7.673 38.614 56.436 49.010 34.158 8.168 2.228 0.808 1.213 0.937 2.504 3.813 2.711 4.400 2.929 1.021 1.302 
m2c134r1.htb 1.980 349.051 209.111 0.012 0.000 17.492 20.462 15.512 9.901 9.571 7.921 5.281 8.251 14.851 21.452 1.762 4.967 2.459 0.700 1.762 2.100 0.404 3.981 1.852 2.651 19.472 13.861 13.861 10.891 27.393 39.604 40.264 36.304 27.063 29.043 1.069 1.852 1.213 1.400 2.251 3.052 3.856 3.593 4.042 2.829 
m2c135r1.htb 5.693 341.745 226.807 0.000 0.000 25.413 21.782 17.574 16.172 13.366 12.624 12.211 13.614 22.772 24.092 3.806 2.287 2.257 0.873 2.310 1.178 0.873 0.719 2.061 1.190 23.515 15.842 14.191 13.366 21.782 30.363 39.356 38.614 30.446 30.941 2.351 3.398 1.190 1.777 1.143 3.300 0.547 1.980 3.144 1.946 
m2c137r1.htb 27.063 213.858 217.283 0.001 0.000 36.634 39.109 34.653 28.053 47.030 79.208 103.465 110.891 84.653 55.116 7.921 4.455 12.871 0.808 0.495 4.372 11.386 6.931 20.297 7.962 6.271 10.891 4.455 4.455 27.063 27.228 36.139 46.040 37.294 14.356 1.762 5.941 1.485 2.475 1.617 1.485 0.495 5.446 4.662 0.495 
m2c138r1.htb 6.931 66.590 20.123 0.068 0.000 17.822 21.386 18.482 23.564 17.228 16.040 15.842 12.277 12.871 15.050 2.887 3.239 3.188 2.582 3.258 2.410 3.111 3.511 2.475 2.787 33.465 33.069 39.802 46.733 22.970 15.248 15.644 14.257 29.307 35.248 3.100 3.064 2.053 2.787 2.053 4.464 1.281 2.702 2.725 1.291 
m2c139r1.htb 26.238 47.665 246.724 0.010 0.000 37.294 36.634 37.954 36.634 29.703 26.073 24.752 12.211 22.772 25.000 4.967 2.524 1.762 6.103 3.898 0.404 7.376 1.069 7.952 3.541 7.591 7.921 6.931 8.581 7.921 17.492 27.723 34.323 47.525 31.353 1.762 2.524 0.700 2.829 0.000 1.457 2.425 2.829 1.852 2.829 
