FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c176r1.htb 20.594 28.515 18.020 20.396 16.040 14.059 9.703 10.099 14.653 18.218 
m2c177r1.htb 12.277 15.446 7.327 11.881 15.248 11.089 6.931 4.752 2.574 10.693 
m2c178r1.htb 36.634 35.050 33.168 29.950 34.653 39.109 40.594 31.436 23.762 35.891 
m2c179r1.htb 31.485 33.861 31.881 24.158 20.594 11.485 7.525 5.545 7.921 17.426 
m2c180r1.htb 23.762 23.564 20.000 16.634 17.624 20.792 24.092 25.149 18.218 25.347 
m2c181r1.htb 26.139 35.842 50.099 59.802 62.970 60.594 47.723 17.030 5.545 15.050 
m2c182r1.htb 19.406 21.386 18.614 16.634 18.218 14.653 10.693 5.149 8.515 13.465 
m2c183r1.htb 36.634 25.941 29.505 26.535 34.059 48.515 61.386 64.752 35.842 32.475 
m2c184r1.htb 17.624 22.178 23.366 33.465 45.347 57.228 60.198 57.624 33.267 21.782 
m2c185r1.htb 76.634 74.455 62.772 41.188 27.129 27.129 27.921 23.960 35.842 57.624 
m2c186r1.htb 24.356 24.554 22.772 24.158 24.158 22.376 21.188 19.802 25.149 26.931 
m2c187r1.htb 19.059 22.178 21.188 25.545 26.535 22.970 16.832 18.812 18.317 19.802 
m2c189r1.htb 17.228 10.693 11.485 16.832 14.257 13.663 16.634 26.535 34.851 19.406 
m2c190r1.htb 9.703 9.307 5.743 3.960 5.545 2.574 4.356 5.347 10.297 8.317 
m2c191r1.htb 22.772 17.228 20.000 17.228 13.267 12.079 14.059 18.416 25.941 22.970 
m2c193r1.htb 47.525 42.970 35.644 36.040 41.386 47.327 60.000 58.812 54.851 48.713 
m2c195r1.htb 7.921 0.330 2.640 4.950 4.950 9.571 14.851 24.752 39.274 21.782 
m2c196r1.htb 42.327 45.545 36.139 29.208 18.564 21.782 19.307 25.743 19.307 37.129 
m2c197r1.htb 21.188 20.198 14.653 20.792 13.861 14.653 16.436 16.238 15.644 16.634 
m2c198r1.htb 23.020 29.208 23.515 15.099 8.663 6.436 11.386 10.644 7.921 14.604 
m2c199r1.htb 36.832 49.505 49.505 48.515 53.267 49.109 41.980 36.040 29.505 29.307 
m2c200r1.htb 18.218 19.802 9.901 12.079 2.772 5.743 4.554 4.752 6.139 10.495 
m2c202r1.htb 15.644 21.386 22.574 18.812 32.277 31.881 19.208 17.426 14.653 10.891 
m2c214r1.htb 16.634 19.010 18.812 11.485 23.960 26.337 28.713 19.010 10.297 16.634 
m2c220r1.htb 10.693 15.248 9.901 6.139 5.149 6.931 9.307 5.347 6.931 11.881 
m2c221r1.htb 52.871 48.119 43.366 38.416 27.525 17.624 16.634 18.614 22.772 39.208 
m2c223r1.htb 28.878 23.927 14.356 11.551 14.356 21.452 15.842 14.191 16.337 21.617 
m2c226r1.htb 49.307 39.208 31.683 24.554 19.208 20.396 22.574 22.970 27.723 42.574 
m2c231r1.htb 48.713 28.119 30.891 33.465 30.495 26.931 31.089 40.198 43.762 46.535 
m2c233r1.htb 28.713 22.525 21.287 24.752 25.495 25.990 32.426 33.416 36.881 31.188 
m2c236r1.htb 15.182 22.277 15.347 18.812 25.578 26.568 35.149 29.868 20.792 16.172 
m2c237r1.htb 21.947 27.063 28.548 34.983 36.799 33.946 35.974 32.249 22.112 26.874 
m2c240r1.htb 48.317 56.238 62.376 61.188 58.614 63.366 52.277 36.436 36.040 40.594 
m2c241r1.htb 15.446 13.663 11.287 11.881 18.416 19.010 15.842 28.119 27.129 25.941 
m2c242r1.htb 36.040 40.198 55.842 63.960 64.752 68.911 62.178 48.713 33.267 29.703 
m2c244r1.htb 27.723 24.010 23.267 29.950 21.535 20.545 16.089 23.515 23.515 20.792 
m2c247r1.htb 20.462 20.462 21.782 27.228 31.188 25.578 26.568 24.422 19.142 25.083 
m2c252r1.htb 3.762 7.921 7.129 11.485 10.099 13.465 13.069 19.010 6.733 6.535 
m2c254r1.htb 9.109 9.505 8.713 7.327 5.347 2.772 2.574 2.574 5.545 9.703 
m2c258r1.htb 30.363 36.436 28.713 29.901 25.908 23.102 12.706 25.149 38.218 21.287 
m2c260r1.htb 16.832 19.554 20.396 17.426 13.861 12.871 17.327 15.446 20.297 16.832 
m2c262r1.htb 17.162 13.201 13.036 7.426 11.551 7.921 7.426 14.686 17.327 27.228 
m2c364r1.htb 11.089 10.297 10.297 15.050 14.653 13.267 11.881 14.059 10.099 6.337 
m2c365r1.htb 43.168 36.040 37.426 25.941 26.337 23.960 29.109 29.307 27.723 35.050 
m2c368r1.htb 43.706 44.837 33.522 37.341 36.775 36.775 42.574 39.321 34.229 41.160 
m2c369r1.htb 16.407 16.007 22.348 22.112 21.452 23.102 25.908 21.122 17.822 12.541 
m2c370r1.htb 16.667 18.482 22.937 27.393 24.752 31.023 25.248 22.442 13.531 16.997 
m2c372r1.htb 13.267 15.050 16.832 13.267 16.634 15.248 11.485 17.030 22.574 19.010 
m2c374r1.htb 15.644 14.257 15.446 20.990 22.376 24.554 28.515 20.990 18.812 19.208 
m2c376r1.htb 15.644 12.079 10.891 9.505 19.010 22.772 17.822 17.228 10.297 11.683 
m2c378r1.htb 28.218 11.683 3.465 3.713 6.931 10.149 8.911 17.822 5.941 11.139 
m2c382r1.htb 7.214 10.184 6.931 5.941 9.477 9.901 12.164 9.477 13.013 13.154 
m2c384r1.htb 37.822 39.802 30.297 22.376 28.911 28.911 26.139 34.653 30.891 41.584 
m2c392r1.htb 27.723 24.505 29.703 36.634 39.604 37.376 45.297 38.614 39.604 30.446 
m2c403r1.htb 21.782 19.406 22.772 21.980 26.931 30.891 29.109 28.713 26.535 24.752 
m2c409r1.htb 3.564 6.535 7.921 12.871 9.901 8.119 4.356 4.752 2.772 4.950 
m2c417r1.htb 24.356 21.386 25.743 24.356 20.792 18.020 18.020 15.446 19.010 23.168 
m2c423r1.htb 6.139 7.327 8.911 11.881 15.446 13.663 15.050 10.693 10.099 7.921 
m2c427r1.htb 2.970 2.772 0.396 0.594 0.594 0.396 1.188 0.990 7.525 6.931 
m2c429r1.htb 27.970 26.980 26.980 23.267 19.802 14.356 12.376 9.406 8.911 20.792 
m2c436r1.htb 19.208 16.832 23.366 22.574 27.525 31.089 32.673 29.505 25.347 20.990 
m2c441r1.htb 13.861 16.436 14.653 11.089 3.960 2.970 1.584 1.980 2.970 5.743 
m2c443r1.htb 5.941 6.106 10.297 10.891 8.515 9.406 11.881 8.911 4.752 6.931 
m2c445r1.htb 17.822 23.366 17.228 22.970 28.119 32.475 36.238 35.050 19.802 19.010 
m2c450r1.htb 12.871 10.693 10.297 11.683 11.683 15.842 16.436 9.109 3.366 10.099 
m5c4r1.htb 35.502 35.644 39.463 47.808 39.745 42.291 45.686 42.433 53.465 42.574 
m5c6r1.htb 54.059 75.248 46.535 50.099 48.515 49.505 71.089 65.347 79.802 65.941 
m5c7r1.htb 7.261 5.116 6.337 7.096 7.525 7.921 7.921 5.776 6.931 7.591 
m5c8r1.htb 9.901 7.723 14.257 16.238 24.752 31.089 25.743 19.604 12.475 11.683 
m5c13r1.htb 7.129 4.752 4.356 5.545 9.505 14.653 15.644 13.465 9.901 6.535 
m5c14r1.htb 28.713 37.822 33.465 38.614 32.079 28.515 17.624 19.604 31.287 28.119 
m5c15r1.htb 25.347 28.713 24.950 17.426 6.931 8.119 6.139 6.733 13.663 25.941 
m5c25r1.htb 8.416 5.281 4.290 3.795 5.611 4.290 5.776 4.125 2.805 5.776 
m5c29r1.htb 1.815 2.475 4.620 3.795 3.960 4.455 9.901 18.388 16.502 5.611 
m5c30r1.htb 40.198 28.317 22.574 31.881 39.010 35.446 38.416 34.059 39.604 38.020 
m5c35r1.htb 23.432 14.191 10.396 10.231 14.851 16.502 22.937 16.337 11.386 20.957 
m5c37r1.htb 17.228 19.604 24.158 27.129 28.119 25.941 19.010 20.396 22.574 21.782 
m5c38r1.htb 67.129 77.624 72.673 71.287 55.842 58.614 61.584 58.218 48.713 51.485 
m5c40r1.htb 23.564 18.218 10.693 8.317 5.347 3.960 4.554 6.139 5.743 15.842 
m5c42r1.htb 26.337 24.752 25.149 22.772 16.040 14.455 10.693 14.455 15.446 18.020 
m5c46r1.htb 16.007 16.832 17.822 17.162 22.277 21.947 19.802 16.997 14.851 13.531 
m5c49r1.htb 16.584 14.604 9.158 11.139 14.109 15.842 32.921 23.515 7.426 12.376 
m5c54r1.htb 5.545 5.347 7.921 4.950 6.337 11.287 6.337 9.703 11.287 6.139 
m5c60r1.htb 37.228 31.881 22.970 22.376 19.208 17.822 28.911 30.297 27.525 36.436 
m5c63r1.htb 31.825 35.785 42.574 49.222 47.808 44.696 36.209 37.624 38.472 37.058 
m5c66r1.htb 31.188 37.129 30.858 36.799 50.000 50.825 50.990 41.749 24.752 26.073 
m5c67r1.htb 23.762 20.297 16.337 19.554 16.832 18.564 19.059 23.762 34.901 32.426 
m5c69r1.htb 3.960 2.228 0.743 1.238 17.822 22.525 41.089 50.990 12.376 6.683 
m5c70r1.htb 8.168 11.881 16.089 25.743 26.733 27.228 33.663 33.168 33.416 20.297 
m5c71r1.htb 8.062 8.345 7.355 3.112 4.385 9.194 9.618 11.598 3.960 3.678 
m5c74r1.htb 27.228 20.462 18.647 19.142 22.112 27.228 48.515 57.096 57.096 39.934 
m5c75r1.htb 45.149 37.228 22.178 13.465 11.287 12.277 15.644 15.644 18.812 48.911 
m5c79r1.htb 25.545 28.119 27.327 34.059 24.554 35.050 29.901 18.218 19.802 18.614 
m5c81r1.htb 21.584 22.970 18.020 19.010 12.475 15.644 13.267 14.059 16.238 19.604 
m5c82r1.htb 22.772 29.703 27.525 16.436 13.069 17.822 15.842 19.208 14.059 20.000 
m5c83r1.htb 32.871 28.317 24.554 23.762 20.198 26.139 28.713 27.921 31.881 32.673 
m5c87r1.htb 5.281 8.086 6.766 9.571 9.736 8.251 6.271 2.475 3.630 3.465 
m5c92r1.htb 19.802 17.030 21.188 24.752 38.416 32.871 26.931 23.366 29.505 24.554 
m5c94r1.htb 22.970 27.525 27.129 19.010 13.465 15.446 9.703 8.317 12.673 14.653 
m5c95r1.htb 34.406 23.267 24.505 19.554 17.327 19.059 18.069 23.267 45.050 44.059 
m5c100r1.htb 13.663 14.257 10.495 7.327 4.752 7.129 6.733 3.960 3.762 7.327 
m5c103r1.htb 49.175 48.185 34.983 17.162 14.191 14.851 18.069 21.535 36.634 52.805 
m5c107r1.htb 16.238 17.624 18.218 17.426 13.069 12.673 14.455 11.089 12.673 15.248 
m5c108r1.htb 28.713 48.020 43.069 41.337 48.762 36.881 31.683 21.980 28.713 22.376 
m5c109r1.htb 15.644 13.465 9.505 6.337 5.941 10.891 9.109 8.515 7.723 10.297 
m5c111r1.htb 14.851 14.109 11.634 11.683 8.911 12.871 16.832 21.386 18.317 16.832 
m5c118r1.htb 17.574 22.772 28.053 42.904 41.914 37.954 37.624 11.221 20.297 16.832 
m5c125r1.htb 17.822 21.782 17.079 17.822 33.416 33.663 29.950 27.970 21.782 26.073 
m5c128r1.htb 12.541 10.231 9.571 16.502 15.512 13.531 2.970 6.931 9.571 5.941 
m5c129r1.htb 9.158 13.119 19.307 24.257 26.733 21.782 17.822 14.604 19.554 11.139 
m5c135r1.htb 15.248 8.911 15.248 15.050 20.792 21.188 18.812 14.653 14.604 15.842 
m5c140r1.htb 49.109 41.980 40.792 40.396 36.040 33.069 24.554 21.386 33.069 39.604 
m5c152r1.htb 26.733 18.069 24.505 38.366 39.604 40.842 41.832 38.366 28.960 32.178 
m5c154r1.htb 45.743 38.614 32.277 31.089 33.663 36.238 40.396 43.564 41.980 44.752 
m5c156r1.htb 33.267 26.733 20.792 17.162 27.723 22.112 27.723 23.960 21.947 17.822 
m5c159r1.htb 9.703 9.505 12.871 9.307 9.307 10.891 29.109 16.436 9.505 9.307 
m5c163r1.htb 44.307 30.198 23.267 15.347 14.851 19.307 24.752 27.970 32.178 42.079 
m5c164r1.htb 44.307 30.198 23.267 15.347 14.851 19.307 24.752 27.970 32.178 42.079 
m5c166r1.htb 14.851 15.347 11.287 9.307 8.119 4.554 8.416 5.941 8.911 15.842 
m5c167r1.htb 6.683 9.406 6.931 3.218 3.465 3.713 2.723 2.475 5.941 5.446 
m5c170r1.htb 7.673 5.198 5.446 18.812 30.446 46.782 50.248 40.842 18.317 11.139 
