FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c129r1.htb 2.475 0.000 1.733 2.475 2.970 7.178 7.921 4.290 0.330 0.248 1.715 0.000 1.691 2.970 1.715 0.948 2.620 4.122 0.572 0.495 
m2c130r1.htb 5.446 4.703 9.901 13.861 10.891 10.644 8.168 2.475 4.703 3.713 3.078 2.604 3.131 3.705 4.353 2.195 2.475 0.990 6.333 2.844 
m2c131r1.htb 1.485 0.495 3.465 4.158 7.525 6.436 8.168 4.950 1.238 0.990 1.278 0.572 3.284 1.291 2.384 2.858 2.604 4.042 0.948 1.213 
m2c134r1.htb 17.492 20.462 15.512 9.901 9.571 7.921 5.281 8.251 14.851 21.452 2.492 7.024 3.477 0.990 2.492 2.970 0.572 5.630 2.620 3.748 
m2c135r1.htb 25.413 21.782 17.574 16.172 13.366 12.624 12.211 13.614 22.772 24.092 6.592 3.960 3.908 1.512 4.001 2.041 1.512 1.246 3.570 2.061 
m2c137r1.htb 36.634 39.109 34.653 28.053 47.030 79.208 103.465 110.891 84.653 55.116 11.202 6.301 18.203 1.143 0.700 6.183 16.102 9.801 28.704 11.260 
m2c138r1.htb 17.822 21.386 18.482 23.564 17.228 16.040 15.842 12.277 12.871 15.050 5.773 6.477 6.376 5.164 6.515 4.820 6.223 7.022 4.950 5.575 
m2c139r1.htb 37.294 36.634 37.954 36.634 29.703 26.073 24.752 12.211 22.772 25.000 7.024 3.570 2.492 8.631 5.513 0.572 10.431 1.512 11.245 5.008 
m2c140r1.htb 28.465 28.465 27.228 16.337 2.475 2.970 5.198 12.129 3.960 16.337 6.016 7.936 8.104 9.164 0.990 2.800 0.948 2.844 1.980 4.748 
m2c141r1.htb 21.584 24.950 20.396 15.677 12.277 14.653 20.000 20.396 16.040 22.178 7.255 8.500 3.873 5.545 4.177 7.586 4.612 5.841 3.796 7.462 
m2c143r1.htb 42.772 38.218 31.881 34.455 35.842 42.178 45.347 46.931 38.416 38.416 7.682 8.620 8.086 9.325 5.998 7.091 3.458 2.852 7.995 8.086 
m2c144r1.htb 18.317 18.564 19.307 16.584 21.782 25.990 35.149 39.109 28.713 16.584 4.001 5.446 3.835 2.604 5.542 2.604 3.078 8.575 4.783 5.961 
m2c145r1.htb 12.129 11.386 11.634 18.317 20.792 29.208 18.812 29.950 15.099 16.089 5.680 3.835 5.008 4.950 5.773 5.145 1.617 8.338 6.782 3.558 
m2c148r1.htb 46.337 50.297 39.604 37.228 33.267 45.545 45.347 49.307 42.376 42.376 6.079 7.422 4.259 5.126 6.701 8.669 4.717 6.199 6.432 6.545 
m2c149r1.htb 9.406 7.921 7.673 13.861 12.376 18.317 25.248 29.455 22.030 9.158 4.001 3.705 4.306 6.314 2.357 3.835 3.078 4.072 6.177 3.370 
m2c150r1.htb 33.416 18.317 15.594 18.812 17.327 16.337 21.287 18.317 32.178 41.584 5.262 3.660 7.337 2.681 2.061 2.858 7.253 1.278 6.978 3.524 
m2c151r1.htb 7.178 7.129 6.733 10.891 18.564 20.545 18.069 11.287 12.277 12.079 3.558 1.291 1.085 1.400 2.195 2.195 0.948 1.799 1.657 3.084 
m2c152r1.htb 11.881 8.911 7.426 4.703 4.455 7.673 10.891 12.624 24.752 20.198 2.915 2.800 3.284 2.475 3.078 2.195 4.644 5.851 9.262 9.382 
m2c155r1.htb 34.323 28.713 24.422 21.782 18.812 14.521 14.191 14.851 21.122 37.294 6.365 4.537 4.465 4.950 1.980 1.512 0.572 3.960 1.512 6.592 
