FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m5c6r1.htb	 37.62	    272.66	   283.95	   0.35	   0.32	   
m5c7r1.htb	 5.12	    182.88	   114.73	   0.30	   0.40	   
m5c8r1.htb	 14.46	    166.54	   322.21	   -0.73	   0.02	   
m5c13r1.htb	 5.35	    193.17	   356.79	   -0.69	   0.03	   
m5c14r1.htb	 7.33	    40.85	   99.25	   0.53	   0.12	   
m5c15r1.htb	 3.17	    8.06	   237.67	   -0.54	   0.11	   
m5c25r1.htb	 2.81	    9.53	   328.16	   0.24	   0.50	   
m5c29r1.htb	 4.95	    233.22	   64.49	   -0.66	   0.04	   
m5c30r1.htb	 20.59	    268.07	   269.83	   0.15	   0.69	   
m5c35r1.htb	 5.28	    290.08	   46.49	   -0.40	   0.25	   
m5c37r1.htb	 21.19	    127.30	   276.38	   -0.11	   0.76	   
m5c38r1.htb	 34.65	    71.01	   231.82	   -0.76	   0.01	   
m5c40r1.htb	 6.14	    4.32	   168.63	   -0.75	   0.01	   
m5c42r1.htb	 13.86	    25.41	   216.87	   -0.64	   0.04	   
m5c46r1.htb	 19.52	    140.45	   90.64	   0.42	   0.23	   
m5c49r1.htb	 15.59	    180.31	   111.65	   -0.01	   0.97	   
m5c54r1.htb	 11.88	    217.56	   50.41	   -0.47	   0.17	   
m5c60r1.htb	 12.08	    322.74	   154.04	   -0.77	   0.01	   
m5c63r1.htb	 24.38	    126.74	   81.33	   0.58	   0.08	   
m5c66r1.htb	 33.17	    147.07	   191.58	   0.70	   0.02	   
m5c67r1.htb	 21.29	    293.59	   296.72	   0.98	   0.00	   
m5c69r1.htb	 6.93	    202.57	   20.59	   -0.58	   0.08	   
m5c70r1.htb	 5.94	    201.42	   257.90	   0.60	   0.07	   
m5c71r1.htb	 3.96	    174.47	   28.39	   -0.16	   0.67	   
m5c74r1.htb	 26.31	    242.32	   60.99	   -0.91	   0.00	   
m5c75r1.htb	 16.44	    347.25	   179.30	   -0.69	   0.03	   
m5c79r1.htb	 15.05	    105.27	   130.26	   0.65	   0.04	   
m5c81r1.htb	 20.79	    19.81	   178.92	   -0.82	   0.00	   
m5c82r1.htb	 15.35	    27.46	   335.24	   0.38	   0.28	   
m5c83r1.htb	 13.66	    306.02	   357.62	   0.23	   0.52	   
m5c87r1.htb	 5.12	    91.75	   213.16	   -0.41	   0.24	   
m5c92r1.htb	 22.57	    190.85	   42.36	   -0.56	   0.09	   
m5c94r1.htb	 7.43	    37.92	   249.37	   -0.54	   0.11	   
m5c95r1.htb	 13.12	    308.23	   10.29	   0.32	   0.36	   
m5c100r1.htb	 6.27	    36.72	   177.73	   -0.53	   0.11	   
m5c103r1.htb	 8.66	    340.32	   255.94	   0.24	   0.50	   
m5c107r1.htb	 11.72	    42.57	   57.94	   0.70	   0.02	   
m5c108r1.htb	 31.29	    82.84	   237.34	   -0.57	   0.08	   
m5c109r1.htb	 5.54	    14.77	   180.56	   -0.30	   0.39	   
m5c111r1.htb	 12.48	    253.48	   6.94	   -0.09	   0.80	   
m5c118r1.htb	 32.43	    120.40	   280.30	   -0.56	   0.10	   
m5c125r1.htb	 11.88	    187.73	   345.20	   -0.48	   0.16	   
m5c128r1.htb	 10.15	    65.93	   112.87	   0.69	   0.03	   
m5c129r1.htb	 11.68	    147.04	   286.87	   -0.34	   0.33	   
m5c135r1.htb	 16.44	    179.17	   246.77	   0.04	   0.90	   
m5c140r1.htb	 16.24	    21.54	   285.67	   -0.13	   0.72	   
m5c152r1.htb	 10.10	    178.10	   289.98	   -0.20	   0.58	   
m5c154r1.htb	 23.76	    291.08	   177.98	   0.05	   0.90	   
m5c156r1.htb	 19.64	    2.67	   73.61	   0.07	   0.84	   
m5c159r1.htb	 9.50	    188.89	   275.54	   0.26	   0.47	   
m5c163r1.htb	 18.22	    319.89	   168.21	   -0.52	   0.13	   
m5c164r1.htb	 18.22	    319.89	   168.21	   -0.52	   0.13	   
m5c166r1.htb	 7.52	    357.46	   306.37	   0.40	   0.25	   
m5c167r1.htb	 1.19	    5.40	   247.80	   -0.04	   0.90	
m5c170r1.htb	 15.05	    179.69	   3.71	   -0.83	   0.00	   
m5c178r1.htb	 9.76	    61.16	   44.46	   0.88	   0.00	   
m5c179r1.htb	 25.94	    266.82	   98.70	   -0.69	   0.03	   
m5c180r1.htb	 2.64	    191.05	   357.39	   -0.28	   0.44	   
m5c181r1.htb	 6.06	    211.32	   358.07	   -0.00	   0.99	   
m5c182r1.htb	 12.67	    83.23	   75.42	   0.93	   0.00	   
m5c183r1.htb	 4.24	    194.23	   64.37	   -0.25	   0.49	   
m5c185r1.htb	 31.68	    341.67	   150.45	   -0.59	   0.07	   
m5c186r1.htb	 9.90	    322.59	   342.02	   0.87	   0.00	   
m5c188r1.htb	 17.03	    3.68	   210.04	   -0.53	   0.11	   
m5c189r1.htb	 2.97	    232.42	   92.15	   -0.41	   0.24	   
m5c190r1.htb	 16.44	    56.77	   261.12	   -0.84	   0.00	   
m5c190r4.htb	 16.24	    57.50	   265.62	   -0.82	   0.00	   
m5c192r1.htb	 3.37	    225.07	   41.57	   -0.60	   0.06	   
m5c192r3.htb	 30.20	    208.66	   43.86	   -0.68	   0.03	   
m5c194r1.htb	 11.49	    55.71	   36.03	   0.82	   0.00	   
m5c196r1.htb	 7.76	    260.19	   308.99	   0.49	   0.15	   
m5c197r1.htb	 28.32	    323.68	   178.54	   -0.39	   0.27	   
m5c201r1.htb	 27.23	    244.99	   211.61	   0.62	   0.06	   
m5c202r1.htb	 7.59	    162.73	   33.03	   -0.39	   0.27	   
m5c198r1.htb	 4.55	    176.61	   52.86	   -0.32	   0.37	   
m5c200r1.htb	 17.08	    72.19	   275.56	   -0.51	   0.14	   
m5c204r1.htb	 10.07	    4.34	   267.25	   0.26	   0.46	   
m5c205r1.htb	 19.14	    159.00	   194.46	   0.43	   0.22	   
m5c205r1.htb	 19.14	    159.00	   194.46	   0.43	   0.22	   
m5c206r1.htb	 25.94	    61.80	   39.55	   0.77	   0.01	   
m5c207r1.htb	 9.24	    28.15	   219.87	   -0.81	   0.00	   
m5c209r1.htb	 11.55	    263.09	   331.85	   -0.15	   0.68	   	   
   
m5c210r1.htb	 6.14	    216.67	   220.80	   0.82	   0.00	   
m5c211r1.htb	 26.34	    109.98	   206.72	   -0.13	   0.72	   
m5c212r1.htb	 27.89	    105.25	   343.05	   -0.47	   0.17	   
m5c213r4.htb	 4.53	    141.83	   85.26	   0.45	   0.20	   
m5c214r1.htb	 0.00	    18.62	   220.35	   -0.53	   0.12	   
m5c215r1.htb	 4.53	    230.28	   228.77	   0.61	   0.06	   
m5c216r1.htb	 8.91	    173.91	   22.75	   -0.29	   0.42	   
m5c217r1.htb	 11.88	    275.70	   8.56	   0.20	   0.57	   
m5c219r1.htb	 10.23	    178.64	   44.54	   -0.31	   0.39	   
m5c220r1.htb	 12.21	    137.90	   70.00	   0.41	   0.24	   
m5c221r1.htb	 8.25	    333.98	   123.55	   -0.43	   0.21	   
m5c222r1.htb	 11.88	    194.56	   55.71	   -0.58	   0.08	   
m5c226r1.htb	 13.20	    347.61	   205.50	   -0.71	   0.02	   
m5c228r1.htb	 1.32	    8.97	   164.13	   -0.67	   0.03	   
m5c229r1.htb	 91.25	    27.34	   338.91	   0.62	   0.06	   
m5c231r1.htb	 11.88	    355.40	   143.97	   -0.77	   0.01	   
m5c233r1.htb	 14.52	    141.22	   329.43	   -0.13	   0.73	   
m5c233r2.htb	 13.37	    23.03	   1.22	   0.03	   0.94	   
m5c236r1.htb	 16.67	    103.36	   61.16	   -0.28	   0.44	   
m5c239r1.htb	 8.42	    0.04	   191.49	   -0.34	   0.33	   
m5c240r1.htb	 6.79	    112.62	   210.61	   -0.00	   1.00	   
m5c241r1.htb	 32.08	    256.70	   242.57	   0.51	   0.13	   
m5c242r1.htb	 4.75	    256.43	   199.23	   -0.04	   0.91	   
m5c243r1.htb	 3.96	    355.83	   197.83	   -0.67	   0.03	   
m5c246r1.htb	 6.93	    48.66	   249.73	   -0.54	   0.11	   
