
m2c30r1.htb	 2.000	 73.126	 48.091	 13.720	 11.033	 318.592	 304.357	 74.817	 299.515	 208.689	 209.049	 206.862	 209.950	 0.174	 0.115	 0.187	 0.210	 0.000	 0.000	 0.000	 0.000	 1.000	 0.990	 0.000	 0.000	 1.000	 0.983	 1.000	 0.999	 0.000	 0.000	 0.000	 0.000	 
m2c37r1.htb	 2.000	 81.782	 72.871	 25.149	 4.752	 162.899	 133.575	 124.077	 205.919	 53.000	 107.620	 138.128	 351.269	 0.135	 0.673	 0.808	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.895	 0.000	 0.000	 1.000	 0.887	 1.000	 0.760	 0.000	 0.003	 0.000	 0.029	 
m2c39r1.htb	 2.000	 71.089	 55.644	 7.723	 4.752	 271.832	 254.939	 304.740	 284.239	 107.237	 94.537	 175.568	 61.410	 0.013	 0.010	 0.002	 0.009	 0.000	 0.000	 0.000	 0.000	 1.000	 0.958	 0.000	 0.000	 1.000	 0.961	 1.000	 0.972	 0.000	 0.000	 0.000	 0.000	 
m2c44r1.htb	 2.000	 78.878	 32.178	 27.888	 0.495	 176.710	 175.351	 163.607	 245.096	 189.781	 183.854	 197.600	 139.559	 0.000	 0.004	 0.014	 0.100	 0.000	 0.000	 0.000	 0.000	 1.000	 0.551	 0.000	 0.000	 1.000	 0.988	 1.000	 0.993	 0.000	 0.000	 0.000	 0.000	 
m2c56r1.htb	 2.000	 102.475	 55.446	 35.974	 16.667	 241.963	 252.230	 230.248	 318.935	 33.867	 47.343	 5.824	 78.435	 0.004	 0.002	 0.152	 0.189	 0.000	 0.000	 0.000	 0.000	 1.000	 0.850	 0.000	 0.000	 1.000	 0.968	 1.000	 0.969	 0.000	 0.000	 0.000	 0.000	 
m2c66r1.htb	 2.000	 56.106	 47.855	 4.620	 2.805	 16.054	 15.432	 206.751	 20.074	 124.252	 133.637	 154.613	 40.425	 0.000	 0.001	 0.034	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.944	 0.000	 0.000	 1.000	 0.935	 1.000	 0.983	 0.000	 0.000	 0.000	 0.000	 
m2c73r1.htb	 2.000	 73.663	 67.921	 3.168	 11.287	 327.980	 4.403	 275.801	 40.809	 70.279	 71.384	 274.977	 72.597	 0.516	 0.667	 0.000	 0.601	 0.000	 0.000	 0.000	 0.000	 1.000	 0.993	 0.000	 0.000	 1.000	 0.895	 1.000	 0.998	 0.000	 0.000	 0.000	 0.000	 
m2c76r1.htb	 2.000	 73.432	 64.521	 8.086	 9.406	 246.544	 266.637	 181.729	 290.570	 294.199	 301.359	 173.036	 287.144	 0.686	 0.643	 0.470	 0.675	 0.030	 0.041	 0.005	 0.271	 1.000	 0.978	 0.000	 0.000	 1.000	 0.973	 1.000	 0.997	 0.000	 0.000	 0.000	 0.000	 
m2c77r1.htb	 2.000	 78.784	 63.083	 7.921	 13.579	 335.474	 326.472	 29.494	 304.162	 185.876	 216.786	 139.234	 283.773	 0.002	 0.000	 0.023	 0.002	 0.020	 0.206	 0.000	 0.061	 1.000	 0.930	 0.000	 0.000	 1.000	 0.983	 1.000	 0.909	 0.000	 0.000	 0.000	 0.000	 
m2c95r1.htb	 2.000	 47.855	 45.710	 1.980	 1.650	 243.728	 240.772	 162.526	 325.465	 146.797	 134.323	 146.276	 207.215	 0.024	 0.012	 0.000	 0.754	 0.203	 0.312	 0.042	 0.001	 1.000	 0.961	 0.000	 0.000	 1.000	 0.994	 1.000	 0.976	 0.000	 0.000	 0.000	 0.000	 
m2c116r1.htb	 2.000	 81.188	 54.653	 14.653	 17.228	 173.606	 170.052	 322.191	 151.569	 9.271	 357.333	 36.923	 335.800	 0.150	 0.087	 0.006	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.961	 0.000	 0.000	 1.000	 0.948	 1.000	 0.952	 0.000	 0.000	 0.000	 0.000	 
m2c121r1.htb	 2.000	 62.211	 44.059	 7.591	 13.036	 219.375	 206.442	 341.995	 198.335	 138.162	 144.703	 38.874	 151.832	 0.000	 0.000	 0.000	 0.006	 0.000	 0.000	 0.005	 0.000	 1.000	 0.910	 0.000	 0.000	 1.000	 0.969	 1.000	 0.991	 0.000	 0.000	 0.000	 0.000	 
m2c123r1.htb	 2.000	 62.772	 34.257	 13.069	 6.733	 10.833	 25.142	 221.916	 21.725	 28.703	 8.849	 133.183	 1.529	 0.309	 0.207	 0.438	 0.221	 0.000	 0.000	 0.000	 0.000	 1.000	 0.807	 0.000	 0.000	 1.000	 0.918	 1.000	 0.929	 0.000	 0.000	 0.000	 0.000	 
m2c129r1.htb	 2.000	 50.990	 49.505	 0.248	 3.713	 162.981	 163.372	 162.079	 210.313	 181.984	 185.990	 172.378	 197.955	 0.015	 0.029	 0.010	 0.271	 0.000	 0.000	 0.000	 0.001	 1.000	 0.983	 0.000	 0.000	 1.000	 0.991	 1.000	 0.985	 0.000	 0.000	 0.000	 0.000	 
m2c147r1.htb	 2.000	 108.168	 58.911	 22.277	 33.416	 33.632	 15.909	 137.278	 14.495	 55.284	 39.387	 78.651	 31.346	 0.026	 0.001	 0.021	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.850	 0.000	 0.000	 1.000	 0.881	 1.000	 0.933	 0.000	 0.001	 0.000	 0.000	 
m2c148r1.htb	 2.000	 109.307	 51.683	 22.574	 29.109	 87.632	 91.804	 274.537	 85.129	 335.570	 85.037	 301.204	 87.467	 0.456	 0.075	 0.306	 0.022	 0.000	 0.000	 0.000	 0.000	 1.000	 0.826	 0.000	 0.000	 1.000	 0.515	 1.000	 0.549	 0.000	 0.128	 0.000	 0.100	 
m2c151r1.htb	 2.000	 85.941	 64.158	 10.495	 18.218	 207.730	 233.945	 183.715	 322.231	 142.872	 148.051	 127.394	 165.626	 0.000	 0.002	 0.000	 0.120	 0.000	 0.000	 0.000	 0.000	 1.000	 0.978	 0.000	 0.000	 1.000	 0.976	 1.000	 0.998	 0.000	 0.000	 0.000	 0.000	 
m2c155r1.htb	 2.000	 77.723	 63.366	 9.406	 8.663	 339.660	 333.429	 355.347	 327.354	 193.660	 189.912	 209.277	 182.207	 0.002	 0.005	 0.008	 0.010	 0.000	 0.001	 0.000	 0.012	 1.000	 0.860	 0.000	 0.000	 1.000	 0.990	 1.000	 0.994	 0.000	 0.000	 0.000	 0.000	 
m2c162r1.htb	 2.000	 79.406	 49.307	 16.436	 5.347	 275.941	 347.559	 236.128	 12.298	 210.447	 200.579	 223.058	 171.586	 0.004	 0.048	 0.000	 0.042	 0.000	 0.000	 0.000	 0.000	 1.000	 0.795	 0.000	 0.000	 1.000	 0.737	 1.000	 0.977	 0.000	 0.015	 0.000	 0.000	 
m2c169r1.htb	 2.000	 90.099	 67.129	 10.891	 29.505	 211.264	 185.732	 221.310	 127.209	 189.829	 171.087	 217.857	 161.955	 0.000	 0.236	 0.000	 0.509	 0.000	 0.000	 0.000	 0.000	 1.000	 0.851	 0.000	 0.000	 1.000	 0.825	 1.000	 0.911	 0.000	 0.003	 0.000	 0.000	 
m2c170r1.htb	 2.000	 107.327	 61.386	 23.564	 16.832	 169.259	 161.741	 180.190	 65.972	 25.650	 29.757	 21.066	 136.139	 0.008	 0.004	 0.006	 0.438	 0.000	 0.000	 0.000	 0.311	 1.000	 0.928	 0.000	 0.000	 1.000	 0.989	 1.000	 0.994	 0.000	 0.000	 0.000	 0.000	 
m2c172r1.htb	 2.000	 98.020	 78.218	 8.911	 37.871	 255.264	 218.143	 357.051	 205.254	 44.168	 35.098	 139.539	 30.110	 0.024	 0.002	 0.000	 0.003	 0.000	 0.000	 0.001	 0.000	 1.000	 0.917	 0.000	 0.000	 1.000	 0.844	 1.000	 0.970	 0.000	 0.002	 0.000	 0.000	 
m2c183r1.htb	 2.000	 87.921	 56.832	 23.960	 14.653	 200.355	 28.126	 205.410	 34.400	 69.995	 80.708	 286.259	 37.186	 0.154	 0.454	 0.000	 0.008	 0.830	 0.737	 0.004	 0.000	 1.000	 0.947	 0.000	 0.000	 1.000	 0.151	 1.000	 0.590	 0.000	 0.677	 0.000	 0.073	 
m2c193r1.htb	 2.000	 78.812	 34.851	 19.010	 16.832	 252.698	 271.043	 215.469	 305.043	 228.900	 237.766	 209.514	 260.966	 0.001	 0.021	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.928	 0.000	 0.000	 1.000	 0.946	 1.000	 0.974	 0.000	 0.000	 0.000	 0.000	 
m2c201r1.htb	 2.000	 51.089	 33.861	 5.941	 6.139	 214.076	 222.287	 191.229	 238.152	 43.239	 47.487	 34.297	 49.215	 0.337	 0.372	 0.119	 0.622	 0.000	 0.000	 0.000	 0.000	 1.000	 0.893	 0.000	 0.000	 1.000	 0.886	 1.000	 0.994	 0.000	 0.001	 0.000	 0.000	 
m2c218r1.htb	 2.000	 59.802	 40.792	 11.287	 8.317	 120.187	 244.756	 92.580	 226.525	 134.613	 116.343	 170.983	 70.901	 0.081	 0.028	 0.278	 0.072	 0.000	 0.000	 0.000	 0.000	 1.000	 0.856	 0.000	 0.000	 1.000	 0.950	 1.000	 0.942	 0.000	 0.000	 0.000	 0.000	 
m2c231r1.htb	 2.000	 112.475	 59.802	 34.851	 29.703	 301.809	 309.590	 301.879	 318.963	 205.070	 220.525	 192.774	 249.462	 0.147	 0.520	 0.001	 0.663	 0.000	 0.000	 0.000	 0.000	 1.000	 0.899	 0.000	 0.000	 1.000	 0.941	 1.000	 0.941	 0.000	 0.000	 0.000	 0.000	 
m2c232r1.htb	 2.000	 62.376	 49.175	 6.436	 3.465	 200.098	 197.130	 312.002	 220.061	 215.497	 203.180	 271.664	 196.496	 0.014	 0.021	 0.234	 0.002	 0.000	 0.000	 0.000	 0.000	 1.000	 0.907	 0.000	 0.000	 1.000	 0.992	 1.000	 0.971	 0.000	 0.000	 0.000	 0.000	 
m2c233r1.htb	 2.000	 105.347	 65.149	 18.416	 40.198	 258.193	 262.741	 244.548	 266.690	 248.752	 241.381	 258.551	 223.355	 0.000	 0.023	 0.001	 0.125	 0.000	 0.000	 0.000	 0.000	 1.000	 0.873	 0.000	 0.000	 1.000	 0.973	 1.000	 0.993	 0.000	 0.000	 0.000	 0.000	 
m2c257r1.htb	 3.000	 62.178	 40.594	 9.307	 8.317	 7.921	 300.173	 302.631	 329.342	 168.706	 356.947	 178.867	 171.434	 188.704	 115.079	 213.521	 0.940	 0.810	 0.603	 0.396	 0.501	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.860	 0.297	 0.000	 0.000	 0.007	 1.000	 0.885	 0.778	 1.000	 0.987	 0.976	 0.000	 0.001	 0.008	 0.000	 0.000	 0.000	 
m2c370r1.htb	 2.000	 67.327	 28.430	 15.276	 10.184	 122.005	 79.082	 135.671	 336.464	 58.626	 106.127	 13.597	 106.936	 0.013	 0.370	 0.000	 0.930	 0.000	 0.000	 0.000	 0.000	 1.000	 0.811	 0.000	 0.000	 1.000	 0.671	 1.000	 0.866	 0.000	 0.034	 0.000	 0.001	 
m2c378r1.htb	 3.000	 88.911	 84.554	 1.782	 12.079	 14.653	 309.133	 302.553	 319.315	 332.932	 279.944	 187.390	 185.226	 189.297	 180.757	 191.378	 0.012	 0.190	 0.000	 0.300	 0.037	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 0.934	 0.265	 0.000	 0.000	 0.014	 1.000	 0.921	 0.836	 1.000	 0.991	 0.987	 0.000	 0.000	 0.003	 0.000	 0.000	 0.000	 
