FILE	 Spon	 VesPref	 VisPref	 VesP	 VisP	 VesDDI	 VisDDI	 Congruency
m5c778r1.htb	 41.914	 313.723	 125.195	 0.002	 0.001	 -2.287	 1.315	 -0.200	 
m5c779r1.htb	 42.574	 335.814	 72.877	 0.362	 0.453	 0.404	 0.268	 0.189	 
m5c780r1.htb	 37.822	 304.681	 27.866	 0.067	 0.000	 -0.707	 -3.210	 0.148	 
m5c781r1.htb	 58.086	 293.437	 62.281	 0.157	 0.000	 0.295	 -0.954	 -0.335	 
m5c784r1.htb	 13.861	 238.253	 354.068	 0.066	 0.000	 1.461	 -4.744	 -0.425	 
m5c785r1.htb	 37.426	 228.425	 352.279	 0.402	 0.000	 1.032	 -10.223	 -0.306	 
m5c783r1.htb	 60.396	 147.258	 354.997	 0.737	 0.000	 0.164	 -4.720	 0.083	 
m5c786r1.htb	 37.871	 341.251	 45.928	 0.347	 0.343	 0.479	 -1.026	 0.084	 
m5c787r1.htb	 84.818	 191.598	 25.215	 0.223	 0.509	 0.284	 -2.344	 -0.459	 
m5c788r1.htb	 63.696	 66.300	 28.786	 0.593	 0.082	 0.783	 -0.037	 0.277	 
m5c790r1.htb	 63.366	 321.450	 12.049	 0.772	 0.000	 0.586	 -3.043	 -0.204	 
m5c789r1.htb	 66.584	 227.880	 340.318	 0.089	 0.039	 0.410	 -2.069	 -0.414	 
m5c791r1.htb	 60.396	 354.083	 340.540	 0.018	 0.012	 -1.106	 -2.422	 0.256	 
m5c792r1.htb	 43.234	 102.010	 10.778	 0.290	 0.022	 -0.402	 -0.324	 -0.361	 
m5c793r1.htb	 78.878	 106.068	 119.493	 NaN	 NaN	 -0.987	 1.118	 0.338	 
m5c794r1.htb	 60.891	 262.976	 42.979	 0.508	 0.001	 -0.509	 -1.872	 0.337	 
m5c795r1.htb	 77.822	 295.064	 82.695	 0.959	 0.000	 -0.235	 -4.586	 -0.334	 
m5c796r1.htb	 21.782	 310.859	 82.531	 0.361	 0.000	 0.665	 -0.706	 -0.221	 
m5c798r1.htb	 51.155	 305.558	 336.830	 0.539	 0.002	 0.000	 -3.394	 0.525	 
m5c799r1.htb	 54.257	 18.147	 348.819	 0.442	 0.000	 0.667	 -4.813	 0.170	 
m5c797r1.htb	 45.050	 54.589	 346.547	 0.526	 0.000	 1.246	 -3.452	 0.248	 
m5c800r1.htb	 74.587	 329.269	 290.076	 0.948	 0.401	 0.291	 -0.547	 -0.452	 
m5c802r1.htb	 45.347	 307.975	 28.172	 0.242	 0.000	 -0.444	 1.280	 -0.533	 
m5c801r1.htb	 32.343	 274.720	 51.480	 0.542	 0.007	 1.704	 0.359	 0.023	 
m5c806r1.htb	 48.845	 312.485	 354.772	 0.333	 0.002	 -1.356	 -9.153	 0.260	 
m5c803r1.htb	 56.436	 332.325	 348.080	 0.676	 0.000	 -0.077	 -5.123	 0.524	 
m5c805r1.htb	 54.455	 337.837	 75.428	 0.071	 0.012	 -0.981	 -1.704	 0.286	 
m5c804r1.htb	 41.914	 3.578	 56.477	 0.449	 0.214	 -0.715	 -0.730	 0.673	 
m5c808r1.htb	 31.683	 14.583	 147.100	 0.016	 0.156	 0.780	 1.051	 -0.004	 
m5c810r1.htb	 28.218	 86.096	 120.527	 0.967	 0.000	 0.192	 4.308	 0.723	 
m5c809r1.htb	 49.175	 69.915	 107.279	 0.479	 0.002	 -0.285	 1.045	 0.483	 
m5c811r1.htb	 57.426	 256.610	 242.355	 0.868	 0.000	 0.484	 -0.059	 0.681	 
m5c812r1.htb	 46.205	 260.725	 270.428	 0.284	 0.485	 0.357	 0.054	 -0.002	 
m5c813r1.htb	 52.145	 279.175	 306.378	 0.620	 0.026	 1.182	 0.349	 0.643	 
m5c815r1.htb	 42.574	 340.867	 164.190	 0.053	 0.002	 -1.263	 0.791	 -0.549	 
m5c816r1.htb	 40.924	 31.088	 193.022	 0.439	 0.628	 -0.138	 0.486	 0.312	 
m5c817r1.htb	 40.594	 290.398	 75.126	 0.297	 0.016	 0.705	 -0.656	 -0.722	 
m5c819r1.htb	 37.954	 339.106	 182.026	 0.018	 0.000	 0.000	 6.536	 -0.175	 
m5c821r1.htb	 39.406	 271.914	 183.981	 0.004	 0.271	 -0.438	 1.554	 0.037	 
m5c820r1.htb	 52.228	 70.459	 156.927	 0.169	 0.004	 0.061	 0.239	 0.048	 
m5c822r1.htb	 31.188	 288.411	 25.955	 0.363	 0.506	 1.269	 -0.587	 -0.160	 
m5c824r1.htb	 35.974	 306.406	 16.114	 0.602	 0.034	 0.316	 -1.475	 -0.123	 
m5c823r1.htb	 17.162	 273.851	 18.187	 0.608	 0.007	 -0.362	 -7.846	 0.098	 
m5c826r1.htb	 34.983	 52.458	 155.993	 0.642	 0.000	 -0.291	 2.906	 -0.003	 
m5c828r1.htb	 25.545	 339.273	 164.058	 0.215	 0.000	 0.049	 5.840	 -0.557	 
m5c827r1.htb	 37.129	 16.352	 219.064	 0.284	 0.346	 0.019	 -0.357	 0.446	 
m5c830r1.htb	 63.366	 294.292	 120.683	 0.474	 0.000	 -0.279	 5.177	 -0.555	 
m5c832r1.htb	 62.772	 340.153	 95.813	 0.000	 0.000	 -1.890	 2.285	 -0.403	 
m5c831r1.htb	 77.723	 321.695	 79.012	 0.676	 0.269	 -0.673	 0.295	 -0.605	 
m5c833r1.htb	 52.970	 143.638	 104.015	 0.990	 0.001	 0.173	 0.357	 -0.010	 
m5c834r1.htb	 35.396	 247.930	 157.273	 0.947	 0.017	 1.346	 3.450	 0.120	 
m5c835r1.htb	 86.931	 315.540	 186.901	 0.025	 0.000	 1.331	 3.018	 -0.112	 
m5c836r1.htb	 31.353	 258.152	 118.235	 0.929	 0.236	 0.050	 -0.135	 -0.529	 
m5c838r1.htb	 40.396	 247.275	 64.534	 0.493	 0.000	 0.265	 -4.962	 -0.028	 
m5c837r1.htb	 20.545	 299.642	 81.525	 0.656	 0.002	 -0.252	 -3.550	 -0.341	 
m5c859r1.htb	 62.046	 282.255	 131.148	 0.681	 0.047	 -2.963	 2.716	 -0.379	 
m5c860r1.htb	 67.079	 243.348	 154.812	 0.264	 0.002	 0.237	 2.066	 0.348	 
m5c862r1.htb	 42.772	 257.066	 158.295	 0.591	 0.000	 0.563	 6.044	 -0.001	 
m5c861r1.htb	 66.584	 297.034	 150.935	 0.025	 0.000	 1.512	 2.496	 -0.352	 
m5c866r1.htb	 44.059	 295.879	 148.440	 0.077	 0.009	 1.190	 0.565	 0.201	 
m5c863r1.htb	 42.327	 265.970	 155.738	 0.035	 0.010	 1.173	 3.197	 0.443	 
m5c864r1.htb	 52.723	 221.742	 170.290	 0.662	 0.037	 0.083	 0.776	 0.426	 
m5c867r1.htb	 67.574	 221.381	 167.494	 0.033	 0.000	 -0.938	 2.069	 -0.076	 
m5c868r1.htb	 64.356	 307.860	 155.559	 0.618	 0.047	 -0.614	 1.380	 -0.361	 
m5c482r2.htb	 42.822	 273.949	 145.118	 183.157	 0.004	 0.770	 0.086	 0.278	 1.175	 -0.079	 0.016	 
m13c4r1.htb	 43.168	 341.377	 181.258	 0.675	 0.000	 0.081	 4.143	 -0.368	 
m13c4r2.htb	 55.446	 172.242	 268.335	 0.054	 0.102	 1.796	 1.206	 -0.031	 
m13c7r1.htb	 88.614	 9.430	 180.988	 0.196	 0.000	 -1.846	 7.423	 -0.441	 
m13c7r2.htb	 63.614	 199.148	 192.859	 0.186	 0.000	 1.575	 0.712	 0.171	 
m13c11r1.htb	 52.970	 128.634	 59.411	 0.133	 0.003	 -0.097	 -1.485	 0.010	 
m13c11r2.htb	 75.446	 200.073	 193.868	 0.018	 0.170	 -1.273	 0.339	 0.405	 
m13c15r1.htb	 54.851	 1.910	 134.524	 0.928	 0.000	 -0.369	 3.234	 -0.198	 
m13c15r2.htb	 59.604	 213.547	 316.053	 0.392	 0.393	 1.116	 -0.959	 -0.492	 
m13c17r1.htb	 62.376	 323.708	 187.000	 0.097	 0.000	 -1.008	 2.353	 -0.626	 
m13c17r2.htb	 59.208	 250.791	 330.545	 0.172	 0.179	 0.196	 1.200	 0.164	 
m13c21r1.htb	 58.663	 245.180	 211.804	 0.010	 0.000	 0.094	 1.774	 0.616	 
m13c21r2.htb	 72.772	 197.807	 235.354	 0.365	 0.000	 -0.337	 0.912	 0.272	 
m13c27r1.htb	 39.604	 256.714	 198.890	 0.941	 0.006	 -0.828	 1.022	 0.215	 
m13c27r2.htb	 41.584	 203.427	 256.182	 0.144	 0.034	 0.031	 -0.869	 0.335	 
m5c753r1.htb	 51.683	 233.285	 184.969	 0.004	 0.000	 0.141	 8.267	 0.398	 
m13c30r1.htb	 23.960	 34.925	 172.946	 0.003	 0.000	 -1.242	 4.296	 -0.171	 
m13c30r2.htb	 22.772	 186.450	 216.435	 0.181	 0.000	 1.906	 0.846	 0.232	 
m13c36r1.htb	 57.624	 170.554	 351.645	 0.001	 0.000	 0.944	 -7.416	 -0.154	 
m13c36r2.htb	 52.673	 355.335	 335.381	 0.001	 0.000	 -3.302	 -0.680	 0.321	 
m13c3r1.htb	 50.248	 302.617	 200.653	 0.290	 0.000	 -0.768	 4.406	 -0.115	 
m13c1r1.htb	 11.881	 313.223	 187.661	 0.224	 0.000	 1.904	 2.657	 0.122	 
m13c2r1.htb	 43.564	 65.040	 168.560	 0.227	 0.000	 0.006	 2.660	 -0.134	 
m13c5r1.htb	 44.307	 39.708	 16.916	 0.980	 0.000	 -0.343	 -6.139	 0.370	 
m13c3r1.htb	 50.248	 302.617	 200.653	 0.290	 0.000	 -0.768	 4.406	 -0.115	 
m13c1r1.htb	 11.881	 313.223	 187.661	 0.224	 0.000	 1.904	 2.657	 0.122	 
m13c2r1.htb	 43.564	 65.040	 168.560	 0.227	 0.000	 0.006	 2.660	 -0.134	 
m13c5r1.htb	 44.307	 39.708	 16.916	 0.980	 0.000	 -0.343	 -6.139	 0.370	 
m13c6r1.htb	 69.554	 355.635	 183.702	 0.694	 0.002	 -1.962	 3.828	 -0.626	 
m13c7r1.htb	 88.614	 9.430	 180.988	 0.196	 0.000	 -1.846	 7.423	 -0.441	 
m13c9r1.htb	 63.366	 188.631	 37.563	 0.642	 0.002	 0.150	 -1.601	 -0.668	 
m13c11r1.htb	 52.970	 128.634	 59.411	 0.133	 0.003	 -0.097	 -1.485	 0.010	 
m13c10r1.htb	 33.168	 293.192	 62.572	 0.367	 0.000	 1.119	 -0.590	 -0.372	 
m13c12r1.htb	 80.446	 136.769	 144.884	 0.606	 0.003	 0.041	 1.867	 -0.264	 
m13c13r1.htb	 47.195	 355.558	 117.252	 0.480	 0.003	 2.022	 2.287	 0.117	 
m13c14r1.htb	 23.432	 272.780	 136.178	 0.305	 0.367	 -0.055	 2.190	 -0.379	 
m13c16r1.htb	 80.446	 116.302	 166.238	 0.317	 0.000	 1.040	 9.337	 0.281	 
m13c17r1.htb	 62.376	 323.708	 187.000	 0.097	 0.000	 -1.008	 2.353	 -0.626	 
m13c18r1.htb	 50.693	 327.791	 198.270	 0.180	 0.000	 -1.600	 3.810	 -0.489	 
m13c20r1.htb	 69.059	 232.929	 268.314	 0.355	 0.000	 1.039	 2.547	 0.713	 
m13c19r1.htb	 89.109	 217.321	 246.474	 0.001	 0.000	 2.846	 0.581	 0.724	 
m13c21r1.htb	 58.663	 245.180	 211.804	 0.010	 0.000	 0.094	 1.774	 0.616	 
m13c22r1.htb	 58.614	 358.450	 228.407	 0.007	 0.000	 1.154	 2.055	 -0.497	 
m13c23r1.htb	 39.604	 236.604	 253.136	 0.281	 0.011	 -0.179	 0.103	 0.858	 
m13c24r1.htb	 50.248	 187.104	 227.690	 0.437	 0.027	 -0.882	 0.972	 0.007	 
m13c25r1.htb	 40.594	 319.670	 205.439	 0.874	 0.000	 0.496	 0.000	 -0.205	 
m13c26r1.htb	 38.614	 175.920	 193.147	 0.165	 0.000	 -0.342	 0.849	 0.239	 
m13c31r1.htb	 38.284	 244.562	 172.749	 0.482	 0.022	 1.122	 2.559	 0.145	 
m13c30r1.htb	 23.960	 34.925	 172.946	 0.003	 0.000	 -1.242	 4.296	 -0.171	 
m13c28r1.htb	 23.762	 16.574	 185.344	 0.008	 0.006	 0.044	 0.921	 0.084	 
m13c29r1.htb	 32.673	 163.141	 98.669	 0.984	 0.167	 0.812	 0.531	 -0.195	 
m13c33r1.htb	 63.696	 201.228	 66.364	 0.162	 0.003	 -0.504	 -2.204	 -0.118	 
m13c34r1.htb	 55.776	 202.786	 12.784	 0.009	 0.000	 -0.271	 -3.351	 -0.441	 
m13c35r1.htb	 72.277	 268.348	 353.816	 0.075	 0.000	 -0.715	 -7.144	 0.257	 
